id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-020,geography,3,Avstraliyanın pul vahidinin adını yaz.,Avstraliya dolları,Qahirə,"Qahirə
H2O
Avstraliya dolları",0.0,0.0,,
az-022,geography,1,Birləşmiş Krallıqda hansı pul vahidi işlənir?,funt sterlinq,Qahirə,"Qahirə
H2O
Sterlin",0.0,0.0,,
az-024,geography,3,Polşanın pul vahidinin adını yaz.,Polşa zlotı,Qahirə,"Qahirə
H2O
Zloty",0.0,0.0,,
az-033,science,0,Helium elementinin kimyəvi simvolu nədir?,He,H,H,0.0,0.0,,
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,Qahirə,"Qahirə
H2O
1929",0.0,0.0,,
az-044,history,3,Ayaz Mütəllibovun anadan olduğu ili yaz.,1938,1975,1975,0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Qahirə,"Qahirə
H2O
Şəhriyar Məmmədyarovun doğum yeri: Bakı",0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Qahirə,"Qahirə
H2O
Samirə Əfəndi — şairə",0.0,0.0,,
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Qahirə,"Qahirə
H2O
Mahir Emrelinin əsas fəaliyyət sahəsi: Mətbuat və İctimaiyyat",0.0,0.0,,
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,Qahirə,"Qahirə
H2O
Almaniya",0.0,0.0,,
az-082,language,1,Birləşmiş Krallıqda hansı dil rəsmi dildir?,ingilis dili,Qahirə,"Qahirə
H2O
İngilis",0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Qahirə,Qahirə,0.0,0.0,,
az-1009,history,0,Müslüm Maqomayev harada vəfat edib?,Nalçik,Qahirə,"Qahirə
H2O
Baku",0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,Qahirə,"Qahirə

H2O

Baku",0.0,0.0,,
az-1025,culture,0,Asəf Zeynallının peşəsi nədir?,bəstəkar,Qahirə,"Qahirə
H2O
Müəllim",0.0,0.0,,
az-1032,culture,3,Əli Vəkilin fəaliyyət növünü yaz.,tərcüməçi,Qahirə,"Qahirə
H2O
Müğənni",0.0,0.0,,
az-1034,language,1,Vladimir Qafarovun əsərləri hansı dildədir?,rus dili,Qahirə,"Qahirə
H2O
Rus",0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Qahirə,"Qahirə
H2O
Eynəli bəy Sultanovun təhsil müəssisəsi: Azərbaycan Dövlət M",0.0,0.0,,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Qahirə,"Qahirə
H2O
Bakı",0.0,0.0,,
az-1049,language,3,Hatt dilinin yazı sistemini yaz.,mixi yazı,Qahirə,"Qahirə
H2O
Hatt",0.0,0.0,,
az-1051,language,1,Xəzər dili üçün hansı yazı sistemindən istifadə olunur?,Orxon əlifbası,Qahirə,"Qahirə
H2O
Xəzər dili üçün latın əlifbası istifadə olunur.",0.0,0.0,,
