id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-029,science,0,Oksigen elementinin kimyəvi simvolu nədir?,O,O₂,O₂,0.0,0.0,,
az-031,science,2,Karbonun kimyəvi işarəsi nədir?,C,C: C,C: C,0.0,0.667,qismən üst-üstə düşmə,
az-040,history,3,Şəhriyar Məmmədyarovun anadan olduğu ili yaz.,1985,1953,1953,0.0,0.0,,
az-049,culture,0,İlham Əliyev harada anadan olub?,Bakı,Naxçıvan,Cavab: Naxçıvan,0.0,0.0,,
az-069,culture,0,Hidayət Heydərovun peşəsi nədir?,cüdoçu,müsəlman əsəri,Cavab: müsəlman əsəri,0.0,0.0,,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japonca,Cavab: Japonca,0.0,0.0,,
az-081,language,0,İspaniyanın rəsmi dili hansıdır?,ispan dili,Spansıya dili,Cavab: Spansıya dili,0.0,0.667,qismən üst-üstə düşmə,
az-083,language,2,Polşanın dövlət dili necə adlanır?,polyak dili,Polşa dili,Cavab: Polşa dili,0.0,0.667,qismən üst-üstə düşmə,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Latin alphabet,Cavab: Latin alphabet.,0.0,0.0,,
az-099,history,2,Bibiheybət məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,İbn-i Xaldun,Cavab: İbn-i Xaldun,0.0,0.333,qismən üst-üstə düşmə,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Qusar məntəqəsində,Cavab: Qusar məntəqəsində.,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Təbriz,Cavab: Təbriz,0.0,0.0,,
az-1012,history,3,Yusif Vəzir Çəmənzəminlinin vəfat yerini yaz.,Unjlaq,Qırıbağʻı,Cavab: Qırıbağʻı,0.0,0.0,,
az-1021,culture,0,Bəhruz Kəngərli harada dəfn olunub?,Naxçıvan,Qırğızstan,Cavab: Qırğızstan,0.0,0.0,,
az-1025,culture,0,Asəf Zeynallının peşəsi nədir?,bəstəkar,müsəlman əsəri,Cavab: müsəlman əsəri,0.0,0.0,,
az-1026,culture,1,Cəmil Əmirov nə ilə məşğul olub?,musiqiçi,Ədəbiyyatla,Cavab: Ədəbiyyatla,0.0,0.0,,
az-1035,science,0,Mikayıl Müşfiq harada təhsil alıb?,Bakı Dövlət Universiteti,İngiltərə,Cavab: İngiltərə.,0.0,0.0,,
az-1040,science,1,Altay Yusifoğlu hansı təhsil müəssisəsini bitirib?,Gəncə Dövlət Universiteti,"Məsələsə, Altay Yusifoğlu 1985-ci ildə Baküdə","Cavab: Məsələsə, Altay Yusifoğlu 1985-ci ildə Baküdə",0.0,0.0,,
az-1042,science,3,Nafiə Abidin təhsil müəssisəsini yaz.,İstanbul Universiteti,"Nafiə Abidin təhsil müəssisəsi – ""Nafiə Abidin Təhsil","Cavab: Nafiə Abidin təhsil müəssisəsi – ""Nafiə Abidin Təhsil",0.0,0.0,,
az-1046,language,0,Dan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Hantı (Cuneiform),Cavab: Hantı (Cuneiform),0.0,0.0,,
az-1049,language,3,Hatt dilinin yazı sistemini yaz.,mixi yazı,Հարավային արաբական ալֆաբետ,Cavab: Հարավային արաբական ալֆաբետ.,0.0,0.0,,
az-1057,history,3,Vaqif türbəsinin memarının adını yaz.,Əbdülvahab Salamzadə,Əminət-ı Ələsədдин,Cavab: Əminət-ı Ələsədдин,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1061,history,3,Jen Mironosets Baş Kafedral kilsəsinin memarının adını yaz.,Fyodor Verjbitski,Михаил Григорьевич Мироновский,Cavab: Михаил Григорьевич Мироновский,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1080,mathematics,—,100-in bölənlərinin sayı neçədir?,9,18,18,0.0,0.0,,
az-1108,mathematics,—,13-cü sadə ədəd hansıdır?,41,43,Cavab: 43,0.0,0.0,,
az-1143,mathematics,—,19-bucağın neçə diaqonalı var?,152,19,"19  
İzahat: 19-bucağın diaqonal sayı, bucağın təraf sayına b",0.0,0.0,,
az-1149,mathematics,—,12 və 18 ədədlərinin ən kiçik ortaq bölünəni neçədir?,36,6,Cavab: 6,0.0,0.0,,
az-1154,mathematics,—,24 ədədindən sonra gələn ilk sadə ədəd nədir?,29,25,Cavab: 25,0.0,0.0,,
az-1181,mathematics,—,Sadə ədədlər sırasında 12-ci ədəd nədir?,37,Mürəkkab ədəd,Cavab: Mürəkkab ədəd,0.0,0.0,,
az-1196,science,1,Dövri cədvəldə Titan hansı nömrə ilə durur?,22,18,Cavab: 18,0.0,0.0,,
az-1218,science,3,Sezium elementində neçə proton var?,55,30,Cavab: 30,0.0,0.0,,
az-1222,science,3,Volfram elementində neçə proton var?,74,72,Cavab: 72,0.0,0.0,,
az-1254,science,3,Hansı alim Molibden elementini kəşf etmişdir?,Karl Vilhelm Şeyele,"Молибден — 12-nci periodda, 4-ncı grupda yer alan elementdir. Bu","Cavab: Молибден — 12-nci periodda, 4-ncı grupda yer alan elementdir. Bu",0.0,0.0,"kiril, zəncir bərpa etmir",
az-1288,world,0,Nigeriyanın telefon kodu nədir?,+234,+232,+232,0.0,0.0,,
az-1294,world,2,Efiopiyanın beynəlxalq telefon kodunu yaz.,+251,+20,+20,0.0,0.0,,
