id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-039,history,2,Mehriban Əliyevanın doğum ili hansıdır?,1964,1990,1990,0.0,0.0,,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,1987,1987,0.0,0.0,,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japonca,Japonca,0.0,0.0,,
az-081,language,0,İspaniyanın rəsmi dili hansıdır?,ispan dili,Spanyolca,Spanyolca,0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Cyrillic,Cyrillic,0.0,0.0,,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Qırıqçılıq,Qırıqçılıq,0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Mimar: İsmail İmam,Mimar: İsmail İmam,0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1930,1930,0.0,0.0,,
az-1001,culture,0,Müslüm Maqomayev harada anadan olub?,Qroznı,Azərbaycan,Azərbaycan,0.0,0.0,,
az-1004,culture,3,Abdulla Şaiqin doğum yerini yaz.,Tbilisi,Baku,Baku,0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,Bakı,Bakı,0.0,0.0,,
az-1014,history,1,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,Bakı,Bakı,0.0,0.0,,
az-1015,history,2,Ümgülsüm Sadıqzadə hansı şəhərdə dünyasını dəyişib?,Şamaxı,Bakı,Bakı,0.0,0.0,,
az-1037,science,2,Kəramət Böyükçölün təhsil aldığı yer haradır?,BDU Filologiya fakültəsi,"Kəramət Böyükçöl — Qərbi Azərbaycan, Qərbi Azərbaycanın","Kəramət Böyükçöl — Qərbi Azərbaycan, Qərbi Azərbaycanın",0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Eynəli Bəy Sultanovun təhsil müəssisəsi — “Eynəli Bəy Sultanov T,Eynəli Bəy Sultanovun təhsil müəssisəsi — “Eynəli Bəy Sultanov T,0.0,0.0,,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,"Ebla dili, Ebla yazı sistemi ilə yazılır","Ebla dili, Ebla yazı sistemi ilə yazılır.",0.0,0.222,qismən üst-üstə düşmə,
az-1060,history,2,Molla Əhməd Məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Molla Əhməd Məscidinin layihəsini Molla Əhməd özü hazırlayıb,Molla Əhməd Məscidinin layihəsini **Molla Əhməd** özü hazırlayıb.,0.0,0.0,,
az-1069,mathematics,—,6-cı sadə ədəd hansıdır?,13,6,6,0.0,0.0,,
az-1090,mathematics,—,Bölənlərinin sayını tap: 72.,12,8,8,0.0,0.0,,
az-1098,mathematics,—,Kiçikdən böyüyə sıralanmış sadə ədədlərin 7-cisi neçədir?,17,14,14,0.0,0.0,,
az-1118,mathematics,—,Sadə ədədlər sırasında 11-ci ədəd nədir?,31,11,11,0.0,0.0,,
az-1161,mathematics,—,Diaqonallarının sayını tap: 9-bucaq.,27,4,4,0.0,0.0,,
az-1174,mathematics,—,Hansı ədədi özünə vursaq 900 alınar?,30,900,900,0.0,0.0,,
az-1176,mathematics,—,6-bucağın neçə diaqonalı var?,9,6,6,0.0,0.0,,
az-1200,science,1,Dövri cədvəldə Arsen hansı nömrə ilə durur?,33,45,45,0.0,0.0,,
az-1243,science,0,Lantan elementinin atom nömrəsi neçədir?,57,71,71,0.0,0.0,,
az-1256,science,1,Rodiumun kəşfi kimə aiddir?,Vilyam Hayd Vollaston,Wolfgang K. Schottky,Wolfgang K. Schottky,0.0,0.0,,
az-1298,world,2,Vatikanın beynəlxalq telefon kodunu yaz.,+379,+39,+39,0.0,0.0,,
az-1307,world,3,Hansı telefon kodu Sudanın aiddir?,+249,211,211,0.0,0.0,,
az-1319,world,3,Hansı telefon kodu Şimali Makedoniyanın aiddir?,+389,+359,+359,0.0,0.0,,
az-1325,mathematics,—,4728 ədədinin rəqəmləri cəmi neçədir?,21,17,17,0.0,0.0,,
az-1334,mathematics,—,"Əsası 2, göstəricisi 10 olan qüvvət neçəyə bərabərdir?",1024,102,102,0.0,0.0,,
az-1368,mathematics,—,"İlk həddi 25, fərqi 3 olan arifmetik silsilənin 22-ci həddi neçədir?",88,62,62,0.0,0.0,,
az-1371,mathematics,—,İkilik say sistemində yazılmış 100111 ədədi onluq sistemdə neçəyə bərabərdir?,39,47,47,0.0,0.0,,
az-1373,mathematics,—,"Əsası 5, göstəricisi 5 olan qüvvət neçəyə bərabərdir?",3125,5,5,0.0,0.0,,
az-1390,mathematics,—,Onluq sistemə çevir: ikilik 11100011.,227,187,187,0.0,0.0,,
az-1426,mathematics,—,"Həddi tap: ilk hədd 13, fərq 8, nömrə 10.",85,13 + (10 - 1)  8 = 81,13 + (10 - 1) * 8 = 81,0.0,0.0,,
az-1449,geography,1,Hansı şəhər Namibiyanın paytaxtıdır?,Vindhuk,Windhoek,Windhoek,0.0,0.0,,
