id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1982,1982,0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Məmmədyrov Şərgəndə Doğar,Məmmədyrov Şərgəndə Doğar.,0.0,0.0,,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,1910-da,1910-da.,0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Qora,Qora,0.0,0.0,,
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,Almaniyada Alman,"Almaniyada Alman

Sual: Müsəvtiy qabırdan qəğin qorunma?
Cavab: Q",0.0,0.667,qismən üst-üstə düşmə,
az-082,language,1,Birləşmiş Krallıqda hansı dil rəsmi dildir?,ingilis dili,Qonun,Qonun,0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Çekərkı,Çekərkı,0.0,0.0,,
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,Birlərdir,Birlərdir,0.0,0.0,,
az-1007,culture,2,Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəsində dünyaya gəlib?,Şuşa,Yusif Vəzir Çəmənzənin 1958-de dünyaya qalir,Yusif Vəzir Çəmənzənin 1958-de dünyaya qalir.,0.0,0.0,,
az-101,history,0,Azərbaycan Dövlət Kukla Teatrının memarı kimdir?,İosif Ploşko,Müssen az,Müssen az.,0.0,0.0,,
az-1013,history,0,Firidun bəy Köçərli harada vəfat edib?,Gəncə,Qabı bildir: Mıqdir,Qabı bildir: Mıqdir,0.0,0.0,,
az-1019,culture,2,Ümgülsüm Sadıqzadə hansı yerdə torpağa tapşırılıb?,Şaxəndan,Qəyr,"Qəyr

Sual: Ümürsün qorama qorama qəlib qaldırsa, qəfil qaldır",0.0,0.0,,
az-1020,culture,3,Seyid Əzim Şirvaninin dəfn yerini yaz.,Şaxəndan,Buzel,Buzel,0.0,0.0,,
az-1023,culture,2,Zeynalabdin Şirvani hansı yerdə torpağa tapşırılıb?,Məkkə,Qaptaq,Qaptaq,0.0,0.0,,
az-1030,culture,1,Ömər Qoçulu nə ilə məşğul olub?,memar,Cəवाब: Qadrova,Cəवाब: Qadrova,0.0,0.0,,
az-1032,culture,3,Əli Vəkilin fəaliyyət növünü yaz.,tərcüməçi,"Adım-ı, qorama, ərz-i qəlü, ""Adım-ı, qorama, zərfə-","Adım-ı, qorama, ərz-i qəlü, ""Adım-ı, qorama, zərfə-",0.0,0.0,,
az-1048,language,2,Asoru dilinin yazı sistemi hansıdır?,süryani əlifbası,Cəवाब: Pers,"Cəवाब: Pers

Sual: Mısır'ın milli simbolinin adıdır?
Cavab: Nili",0.0,0.0,,
az-1051,language,1,Xəzər dili üçün hansı yazı sistemindən istifadə olunur?,Orxon əlifbası,Cəlam,Cəlam,0.0,0.0,,
az-1055,history,1,Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi kimin layihəsidir?,İosif Ploşko,Qəsdaşlıq,Qəsdaşlıq.,0.0,0.0,,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,İlhan Şahin,İlhan Şahin,0.0,0.0,,
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,Müssen qaçmı,Müssen qaçmı.,0.0,0.0,,
az-1062,geography,0,Anaxatır hara tökülür?,Kür,Yanrılı tökülür,Yanrılı tökülür.,0.0,0.0,,
az-1084,mathematics,—,10! ifadəsinin qiyməti nədir?,3628800,"3,048323060561666e+18","3,048323060561666e+18",0.0,0.0,,
az-1092,mathematics,—,"Ən böyük ortaq bölənini tap: 30, 42.",6,Cs12F6,Cs12F6,0.0,0.0,,
az-1098,mathematics,—,Kiçikdən böyüyə sıralanmış sadə ədədlərin 7-cisi neçədir?,17,7-cisi 8,7-cisi 8,0.0,0.0,,
az-1109,mathematics,—,48-dən böyük ən kiçik sadə ədəd hansıdır?,53,H2S,H2S,0.0,0.0,,
az-1114,mathematics,—,9 faktorial neçəyə bərabərdir?,362880,36,36,0.0,0.0,,
az-1169,mathematics,—,Kiçikdən böyüyə sıralanmış sadə ədədlərin 4-cüsi neçədir?,7,4-4,4-4,0.0,0.0,,
az-1179,mathematics,—,11 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,1620,11! (11!),11! (11!),0.0,0.0,,
az-1199,science,0,Kobalt elementinin atom nömrəsi neçədir?,27,68,68,0.0,0.0,,
az-1205,science,2,Bariumun atom nömrəsini yaz.,56,37,37,0.0,0.0,,
az-1211,science,0,Radon elementinin atom nömrəsi neçədir?,86,Uran (U) 92,Uran (U) 92,0.0,0.0,,
az-1221,science,2,Bismutun atom nömrəsini yaz.,83,1,1,0.0,0.0,,
az-1230,science,3,Tellur elementində neçə proton var?,52,1,1,0.0,0.0,,
az-1234,science,3,Astat elementində neçə proton var?,85,1,1,0.0,0.0,,
az-1249,science,2,Kalium elementinin kəşfçisini yaz.,Hemfri Devi,Loci Smithov,Loci Smithov,0.0,0.0,,
