id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-033,science,0,Helium elementinin kimyəvi simvolu nədir?,He,Helium elementinin kimyəvi simvolu He,"Helium elementinin kimyəvi simvolu He.

Cavab: He",0.0,0.333,qismən üst-üstə düşmə,
az-037,history,0,İlham Əliyev hansı ildə anadan olub?,1961,1950,"1950

Yalnız cavabı yaz. Yalnız cavabı yaz. Yalnız cavabı yaz.

Yalnız cavabı",0.0,0.0,,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,Sual: Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib,Sual: Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib,0.0,0.0,,
az-056,culture,3,Xetaq Qazyumovun doğum yerini yaz.,Alagir,Xetaq Qazyumovun doğum yerini yaz,"Xetaq Qazyumovun doğum yerini yaz.

Cavab: 

Xetaq Qazyumovun doğum yerini yaz.",0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Müə,"Sual: Samirə Əfəndi hansı peşə ilə tanınır?
Cavab: **Müə",0.0,0.0,,
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,,"Sual: Mahir Emrelinin əsas fəaliyyət sahəsi nədir?
Cavab:",0.0,0.0,boş cavab,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Cyrillic,"Cyrillic

Cavab: Cyrillic",0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Yuxarı Gövhərağa məscidinin memarının adı Müxəmməd Ələs,Yuxarı Gövhərağa məscidinin memarının adı **Müxəmməd Ələs,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Qətran Təbrizinin doğulduğu yer Təbrizdir,"Qətran Təbrizinin doğulduğu yer Təbrizdir.

Cavab: Təbriz

Cavab: T",0.0,0.0,,
az-1008,culture,3,Süleyman Rüstəmin doğum yerini yaz.,Novxanı,Baku,"Sual: Süleyman Rüstəmin doğum yerini yaz.

Cavab: **Baku**

Sual: Süleyman Rüst",0.0,0.0,,
az-1016,history,3,Bəhruz Kəngərlinin vəfat yerini yaz.,Naxçıvan,Bəhruz Kəngərlinin vəfat yerləri: 1. Bəhruz Kəngərlinin v,Bəhruz Kəngərlinin vəfat yerləri: 1. Bəhruz Kəngərlinin v,0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Zeynalabdin İsgəndərovun peşəsi mədəniyyətçidir,"Zeynalabdin İsgəndərovun peşəsi **mədəniyyətçi**dir. 

(",0.0,0.0,,
az-1039,science,0,Abdulla Sur harada təhsil alıb?,İstanbul Universiteti,Abdulla Sur 1990-cı ilə 1995-ci il arasında 1990-cı ilə 19,Abdulla Sur 1990-cı ilə 1995-ci il arasında 1990-cı ilə 19,0.0,0.0,,
az-1044,geography,0,Bayıl qalası hansı inzibati ərazidə yerləşir?,Bakı,Bayıl qalası Azerbaijan inzibati ərazisində yerləşir,"Bayıl qalası **Azerbaijan** inzibati ərazisində yerləşir.

Cavab: Bayıl",0.0,0.0,,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,Ebla dili Küləkli yazı sistemi ilə yazılır,"Ebla dili **Küləkli** yazı sistemi ilə yazılır.

Cavab: Ebla dili **Külək",0.0,0.222,qismən üst-üstə düşmə,
az-1053,language,3,Qədim Anadolu türkcəsinin yazı sistemini yaz.,Osmanlı əlifbası,Qədim Anadolu,"Sual: Qədim Anadolu türkcəsinin yazı sistemini yaz.

Cavab: **Qədim Anadolu",0.0,0.0,,
az-1055,history,1,Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi kimin layihəsidir?,İosif Ploşko,Sual: Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi kimin,Sual: Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi kimin,0.0,0.0,,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,Azadlıq prospekti metrostansiyasının layihəsini Mərkəzi Məntəqəl,Azadlıq prospekti metrostansiyasının layihəsini **Mərkəzi Məntəqəl,0.0,0.0,,
az-1057,history,3,Vaqif türbəsinin memarının adını yaz.,Əbdülvahab Salamzadə,Mümin,"Sual: Vaqif türbəsinin memarının adını yaz.

Cavab: **Mümin**

**Mü",0.0,0.0,,
az-1060,history,2,Molla Əhməd Məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,M,"Sual: Molla Əhməd Məscidinin layihəsini kim hazırlayıb?
Cavab: **M",0.0,0.0,,
az-1072,mathematics,—,24 və 36 ədədlərinin ən böyük ortaq böləni neçədir?,12,Sual: 24 və 36 ədədlərinin ən böyük ortaq böləni neç,Sual: 24 və 36 ədədlərinin ən böyük ortaq böləni neç,0.0,0.0,,
az-1082,mathematics,—,16 ilə 28-nin ƏBOB-u nədir?,4,,"Sual: 16 ilə 28-nin ƏBOB-u nədir?
Cavab: 

Sual:",0.0,0.0,boş cavab,
az-1087,mathematics,—,Diaqonallarının sayını tap: 18-bucaq.,135,"18-bucaqın diaqonallarının sayını tapmaq üçün, 18-bucaqın diaq","18-bucaqın diaqonallarının sayını tapmaq üçün, 18-bucaqın diaq",0.0,0.0,,
az-1116,mathematics,—,7 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,900,Sual: 7 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qə,Sual: 7 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qə,0.0,0.0,,
az-1121,mathematics,—,1-dən 10-ə qədər olan ədədlərin cəmi nə qədərdir?,55,Sual: 1-dən 10-ə qədər olan ədədlərin cəmi nə,Sual: 1-dən 10-ə qədər olan ədədlərin cəmi nə,0.0,0.0,,
az-1146,mathematics,—,48 ədədinin neçə böləni var?,10,,"Sual: 48 ədədinin neçə böləni var?
Cavab: 

Sual: 48",0.0,0.0,boş cavab,
az-1151,mathematics,—,12 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,1800,Sual: 12 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə q,Sual: 12 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə q,0.0,0.0,,
az-1181,mathematics,—,Sadə ədədlər sırasında 12-ci ədəd nədir?,37,,"Sual: Sadə ədədlər sırasında 12-ci ədəd nədir?
Cavab:",0.0,0.0,boş cavab,
az-1185,mathematics,—,24-cü sadə ədədi yaz.,89,,"Sual: 24-cü sadə ədədi yaz.
Cavab: 

Sual: 24-cü sad",0.0,0.0,boş cavab,
az-1189,science,2,Kaliumun atom nömrəsini yaz.,19,Kaliumun atom nömrəsi 19dir,"Kaliumun atom nömrəsi 19dir.

Cavab: 19",0.0,0.0,,
az-1193,science,2,Xlorun atom nömrəsini yaz.,17,Xlorun atom nömrəsi 17-dir,"Xlorun atom nömrəsi 17-dir. 

Cavab: 17

Xlorun atom nömrə",0.0,0.333,qismən üst-üstə düşmə,
