id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-021,geography,0,Kanadanın pul vahidi nədir?,Kanada dolları,Dolar,Dolar,0.0,0.0,,
az-023,geography,2,Norveçin rəsmi valyutası necə adlanır?,Norveç kronu,Nordik,Nordik,0.0,0.0,,
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,1943,1943,0.0,0.0,,
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1983,1983,0.0,0.0,,
az-059,culture,2,Mahir Emreli hansı yaşayış məntəqəsində dünyaya gəlib?,Tver,Qarabağ,Cavab: Qarabağ,0.0,0.0,,
az-063,culture,2,Şəhriyar Məmmədyarovun əsas fəaliyyət sahəsi nədir?,şahmatçı,yazıçılıq,Cavab: yazıçılıq,0.0,0.0,,
az-064,culture,3,Teymur Rəcəbovun peşəsini yaz.,şahmatçı,Yazıcı,Yazıcı,0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Müfti,Müfti,0.0,0.0,,
az-080,language,3,Avstraliyanın rəsmi dilini yaz.,ingilis dili,İngilisçe,İngilisçe,0.0,0.0,,
az-081,language,0,İspaniyanın rəsmi dili hansıdır?,ispan dili,İspanca,İspanca,0.0,0.0,,
az-085,language,0,İspan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Roma yazı sistemi ilə,Roma yazı sistemi ilə.,0.0,0.0,,
az-097,history,0,Azərbaycan Dövlət Akademik Opera və Balet Teatrının memarı kimdir?,Nikolay Bayev,Məhəmməd Ələkzədir,Məhəmməd Ələkzədir,0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Cəfər bəy xanım,Cəfər bəy xanım,0.0,0.0,,
az-1002,culture,1,Əzim Əzimzadənin doğulduğu yer haradır?,Novxanı,Bakı,Bakı,0.0,0.0,,
az-101,history,0,Azərbaycan Dövlət Kukla Teatrının memarı kimdir?,İosif Ploşko,Məhəmməd Ələkzərli,Cavab: Məhəmməd Ələkzərli,0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,Baku,Baku,0.0,0.0,,
az-1014,history,1,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,Bakı,Bakı,0.0,0.0,,
az-1015,history,2,Ümgülsüm Sadıqzadə hansı şəhərdə dünyasını dəyişib?,Şamaxı,Bakı,Bakı,0.0,0.0,,
az-1022,culture,1,Ceyhun bəy Hacıbəylinin məzarı haradadır?,Sen-Klu qəbiristanlığı,"Bakı, Şəmkər qəsəbəsi","Bakı, Şəmkər qəsəbəsi",0.0,0.0,,
az-1031,culture,2,Sabir Mustafayev hansı sahədə fəaliyyət göstərib?,tərcüməçi,Sənət,Sənət,0.0,0.0,,
az-1033,language,0,Qətran Təbrizi hansı dildə yazıb?,fars dili,Azərbaycan dili,Azərbaycan dili,0.0,0.5,qismən üst-üstə düşmə,
az-1044,geography,0,Bayıl qalası hansı inzibati ərazidə yerləşir?,Bakı,Qafqaz,Qafqaz,0.0,0.0,,
az-1049,language,3,Hatt dilinin yazı sistemini yaz.,mixi yazı,Arabalar,Arabalar,0.0,0.0,,
az-1064,geography,2,Pirsaatçay hansı su hövzəsinə qovuşur?,Xəzər dənizi,Dəniz hövzəsi,Dəniz hövzəsi,0.0,0.0,,
az-1081,mathematics,—,1-dən 35-ə qədər olan ədədlərin cəmi nə qədərdir?,630,496,496,0.0,0.0,,
az-1096,mathematics,—,6-bucaqlının bütün daxili bucaqları toplananda neçə dərəcə alınır?,720,360°,360°,0.0,0.0,,
