id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-039,history,2,Mehriban Əliyevanın doğum ili hansıdır?,1964,1990,1990,0.0,0.0,,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,1985,1985,0.0,0.0,,
az-077,language,0,İtaliyanın rəsmi dili hansıdır?,italyan dili,İtalyanca,İtalyanca,0.0,0.0,,
az-081,language,0,İspaniyanın rəsmi dili hansıdır?,ispan dili,İspanyolca,İspanyolca,0.0,0.0,,
az-083,language,2,Polşanın dövlət dili necə adlanır?,polyak dili,Polşa dili,Polşa dili,0.0,0.667,qismən üst-üstə düşmə,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Mehmet Ağa,Mehmet Ağa,0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1918,1918,0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Bakı şəhərinin qərb hissəsində,Bakı şəhərinin qərb hissəsində.,0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,Bakıda,Bakıda,0.0,0.0,,
az-1014,history,1,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,Gödək Əhmədin vəfat etdiyi yer: Bakı,Gödək Əhmədin vəfat etdiyi yer: **Bakı**.,0.0,0.0,,
az-1015,history,2,Ümgülsüm Sadıqzadə hansı şəhərdə dünyasını dəyişib?,Şamaxı,Bakıda,Bakıda,0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,"Mirvarid Dilbazi, 2021-ci ilə 2022-ci ilə dəfn olunub","Mirvarid Dilbazi, 2021-ci ilə 2022-ci ilə dəfn olunub.",0.0,0.0,,
az-1030,culture,1,Ömər Qoçulu nə ilə məşğul olub?,memar,Təbii vəziyyətli məşğul olub,Təbii vəziyyətli məşğul olub.,0.0,0.0,,
az-1033,language,0,Qətran Təbrizi hansı dildə yazıb?,fars dili,Azərbaycan diliyle,Azərbaycan diliyle,0.0,0.0,,
az-1035,science,0,Mikayıl Müşfiq harada təhsil alıb?,Bakı Dövlət Universiteti,Mikayıl Müşfiq Azərbaycanın Bakı şəhərində təhsil alıb,Mikayıl Müşfiq Azərbaycanın Bakı şəhərində təhsil alıb.,0.0,0.2,qismən üst-üstə düşmə,
az-1037,science,2,Kəramət Böyükçölün təhsil aldığı yer haradır?,BDU Filologiya fakültəsi,"Kəramət Böyükçöl, Bakıda təhsil aldı","Kəramət Böyükçöl, Bakıda təhsil aldı.",0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Eynəli bəy Sultanovun təhsil müəssisəsi — “Eynəli bəy Sultanovun,Eynəli bəy Sultanovun təhsil müəssisəsi — “Eynəli bəy Sultanovun,0.0,0.0,,
az-1046,language,0,Dan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Latın alfabəsi ilə,Latın alfabəsi ilə,0.0,0.4,qismən üst-üstə düşmə,
az-1052,language,2,Əfşar dilinin yazı sistemi hansıdır?,fars əlifbası,Əfşar dilinin yazı sistemi — Əfşar yazı sistemi,Əfşar dilinin yazı sistemi — Əfşar yazı sistemi.,0.0,0.0,,
az-1060,history,2,Molla Əhməd Məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Molla Əhməd Məscidinin layihəsini Məhəmməd Əli hazırlayıb,Molla Əhməd Məscidinin layihəsini **Məhəmməd Əli** hazırlayıb,0.0,0.0,,
az-1106,mathematics,—,14-bucağın daxili bucaqlarının cəmi neçə dərəcədir?,2160,1260°,1260°,0.0,0.0,,
az-1110,mathematics,—,36 ədədinin neçə böləni var?,9,12,12,0.0,0.0,,
az-1118,mathematics,—,Sadə ədədlər sırasında 11-ci ədəd nədir?,31,13,13,0.0,0.0,,
az-1135,mathematics,—,Kiçikdən böyüyə sıralanmış sadə ədədlərin 22-cisi neçədir?,79,47,47,0.0,0.0,,
az-1143,mathematics,—,19-bucağın neçə diaqonalı var?,152,19-20,19-20,0.0,0.0,,
az-1149,mathematics,—,12 və 18 ədədlərinin ən kiçik ortaq bölünəni neçədir?,36,6,6,0.0,0.0,,
az-1152,mathematics,—,13 tərəfi olan çoxbucaqlıda neçə diaqonal çəkmək olar?,65,26,26,0.0,0.0,,
az-1158,mathematics,—,32 ilə 48-nin ƏKOB-u nədir?,96,16,16,0.0,0.0,,
az-1160,mathematics,—,Daxili bucaqlarının cəmini tap: 13-bucaq.,1980,1800°,1800°,0.0,0.0,,
az-1183,mathematics,—,Daxili bucaqlarının cəmini tap: 20-bucaq.,3240,3600°,3600°,0.0,0.0,,
az-1200,science,1,Dövri cədvəldə Arsen hansı nömrə ilə durur?,33,4,4,0.0,0.0,,
az-1243,science,0,Lantan elementinin atom nömrəsi neçədir?,57,71,71,0.0,0.0,,
az-1254,science,3,Hansı alim Molibden elementini kəşf etmişdir?,Karl Vilhelm Şeyele,Wolfgang Kroll,Wolfgang Kroll,0.0,0.0,,
az-1256,science,1,Rodiumun kəşfi kimə aiddir?,Vilyam Hayd Vollaston,Jönsen Rodiumun kəşfi kimə aiddir,Jönsen Rodiumun kəşfi kimə aiddir?,0.0,0.0,,
az-1257,science,2,Torium elementinin kəşfçisini yaz.,Yens Yakov Bertselius,Glenn Seaborg,Glenn Seaborg,0.0,0.0,,
az-1282,world,2,Estoniyanın beynəlxalq telefon kodunu yaz.,+372,668,668,0.0,0.0,,
az-1319,world,3,Hansı telefon kodu Şimali Makedoniyanın aiddir?,+389,+359,+359,0.0,0.0,,
az-1323,world,3,Hansı telefon kodu Monteneqroya aiddir?,+382,+352,+352,0.0,0.0,,
az-1399,mathematics,—,5 ilə 25 arasındakı tam ədədlərin cəmi hansı ədəddir (hər ikisi sayılır)?,315,150,150,0.0,0.0,,
az-1411,mathematics,—,"Əsası 2, göstəricisi 12 olan qüvvət neçəyə bərabərdir?",4096,12,12,0.0,0.0,,
az-1451,geography,3,Laosun paytaxtını yaz.,Vyentyan,Vientiane,Vientiane,0.0,0.0,,
az-1464,geography,0,Eritreyanın paytaxtı hansı şəhərdir?,Əsməra,Asmara,Asmara,0.0,0.0,,
az-1475,geography,3,Mozambikin paytaxtını yaz.,Maputu,Maputo,Maputo,0.0,0.0,,
az-1497,geography,1,Hansı şəhər Mavrikinin paytaxtıdır?,Port-Lui,Mavrikinin paytaxtı Kairodir,Mavrikinin paytaxtı **Kairo**dir.,0.0,0.0,,
az-1509,geography,1,Hansı şəhər Barbadosun paytaxtıdır?,Brictaun,Bridgetown,Bridgetown,0.0,0.0,,
az-1515,geography,3,Palaunun paytaxtını yaz.,Nqerulmud,Palau paytaxtı: Ngerulmug,Palau paytaxtı: **Ngerulmug**,0.0,0.0,,
az-1516,geography,0,Qrenlandiyanın paytaxtı hansı şəhərdir?,Nuuk,Qrenlandiyanın paytaxtı Nuuk şəhəridir,Qrenlandiyanın paytaxtı **Nuuk** şəhəridir.,0.0,0.4,qismən üst-üstə düşmə,
az-1517,geography,1,Hansı şəhər Tuvalunun paytaxtıdır?,Funafuti,Tunis,Tunis,0.0,0.0,,
az-1529,geography,1,Hansı şəhər Niuenin paytaxtıdır?,Alofi,Pago Pago,Pago Pago,0.0,0.0,,
az-1530,geography,2,Somaliləndin paytaxtının adı nədir?,Hargeisa,Mogadishu,Mogadishu,0.0,0.0,,
az-1545,geography,1,Qrenadada hansı pul vahidi işlənir?,Şərqi Karib dolları,Qrenadada işlənən pul vahidi — Qrenad dolları (QRD),Qrenadada işlənən pul vahidi — Qrenad dolları (QRD).,0.0,0.2,qismən üst-üstə düşmə,
az-1553,language,3,Qırğızıstanın rəsmi dilini yaz.,qırğız dili,Kyrghyzça,Kyrghyzça,0.0,0.0,,
az-1554,language,0,Myanmanın rəsmi dili hansıdır?,Birman dili,Birleşmiş Milletlər Dili,Birleşmiş Milletlər Dili,0.0,0.4,qismən üst-üstə düşmə,
az-1557,language,3,Tacikistanın rəsmi dilini yaz.,tacik dili,Tacikistanın rəsmi dili — Tacik,Tacikistanın rəsmi dili — **Tacik**.,0.0,0.667,qismən üst-üstə düşmə,
az-1560,language,2,Surinamın dövlət dili necə adlanır?,Niderland dili,Dutch,Dutch,0.0,0.0,,
az-1567,science,1,Dövri cədvəldə Protaktinium hansı nömrə ilə durur?,91,96,96,0.0,0.0,,
az-1571,science,1,Dövri cədvəldə Meytnerium hansı nömrə ilə durur?,109,108,108,0.0,0.0,,
az-523,geography,—,Lənkəranda əsas kənd təsərrüfatı məhsulu nədir?,Çay,Güllər,Güllər,0.0,0.0,,
az-524,geography,—,Azərbaycanın ən quru regionu hansıdır?,Abşeron,Qazax rayonu,Qazax rayonu,0.0,0.0,,
az-548,science,—,Yerin əsas qatları hansılardır?,"Qabiq, mantiya, nüvə","Yer qatları: cənubi, orta və üst qatlar","Yer qatları: cənubi, orta və üst qatlar.",0.0,0.0,,
az-549,science,—,Səsin sürəti havada neçədir?,340 m/s,343 m/s,343 m/s,0.0,0.667,qismən üst-üstə düşmə,
az-558,science,—,İnsan bədənində neçə əzələ var?,600-dən çox,600 əzələyə çatır,600 əzələyə çatır.,0.0,0.333,qismən üst-üstə düşmə,
az-578,science,—,Ən yaxin ulduz hansıdır?,Gunəş,Sirius,Sirius,0.0,0.0,,
az-580,culture,—,Firdovsi hansı əsərin müəllifidir?,Şahnamə,Ruslanname,Ruslanname,0.0,0.0,,
az-583,culture,—,Səməd Vurğunun əsas əsəri hansıdır?,Vaqif,Səməd Vurğunun əsas əsəri “Qəzəl”dir,Səməd Vurğunun əsas əsəri “Qəzəl”dir.,0.0,0.0,,
