id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-011,geography,2,Meksikanın paytaxtının adı nədir?,Mexiko,Mexiko şəhəri,Mexiko şəhəri,0.0,0.667,qismən üst-üstə düşmə,
az-050,culture,1,Heydər Əliyevin doğulduğu yer haradır?,Naxçıvan,"Naxçıvan, Azərbaycan SSR, SSRİ","Naxçıvan, Azərbaycan SSR, SSRİ",0.0,0.4,qismən üst-üstə düşmə,
az-053,culture,0,Əbülfəz Elçibəy harada anadan olub?,Kələki,"Kələki, Naxçıvan, Azərbaycan SSR, SSRİ","Kələki, Naxçıvan, Azərbaycan SSR, SSRİ",0.0,0.333,qismən üst-üstə düşmə,
az-099,history,2,Bibiheybət məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Zivər bəy Əhmədbəyov,Zivər bəy Əhmədbəyov,0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Şeyx Bəhaəddin Məhəmməd Amili,Şeyx Bəhaəddin Məhəmməd Amili,0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,Bakı,Bakı,0.0,0.0,,
az-1020,culture,3,Seyid Əzim Şirvaninin dəfn yerini yaz.,Şaxəndan,Şamaxı,Şamaxı,0.0,0.0,,
az-1024,culture,3,Məhəmməd Hadinin dəfn yerini yaz.,Səbiskar qəbiristanlığı,Fəxri Xiyaban,Fəxri Xiyaban,0.0,0.0,,
az-1026,culture,1,Cəmil Əmirov nə ilə məşğul olub?,musiqiçi,Bəstəkar,Bəstəkar,0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Müğənni,Müğənni,0.0,0.0,,
az-1032,culture,3,Əli Vəkilin fəaliyyət növünü yaz.,tərcüməçi,Hüquqşünaslıq,Hüquqşünaslıq,0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Peterburq Universiteti,Peterburq Universiteti,0.0,0.0,,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Bu barədə məlumatım yoxdur,Bu barədə məlumatım yoxdur.,0.0,0.0,,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,Mixi yazı sistemi ilə,Mixi yazı sistemi ilə.,0.0,0.667,qismən üst-üstə düşmə,
az-1052,language,2,Əfşar dilinin yazı sistemi hansıdır?,fars əlifbası,Ərəb əlifbası,Ərəb əlifbası,0.0,0.5,qismən üst-üstə düşmə,
az-1062,geography,0,Anaxatır hara tökülür?,Kür,Xəzər dənizi,Xəzər dənizi,0.0,0.0,,
az-1065,culture,0,«Növbədən qayıdanlar» əsərinin müəllifi kimdir?,Tahir Salahov,Ənvər Məmmədxanlı,Ənvər Məmmədxanlı,0.0,0.0,,
az-1248,science,1,Silisiumun kəşfi kimə aiddir?,Yens Yakov Bertselius,Jöns Jakob Berzelius,Jöns Jakob Berzelius,0.0,0.0,,
az-1250,science,3,Hansı alim fosfor elementini kəşf etmişdir?,Henniq Brand,Hennig Brand,Hennig Brand,0.0,0.5,qismən üst-üstə düşmə,
az-1254,science,3,Hansı alim Molibden elementini kəşf etmişdir?,Karl Vilhelm Şeyele,Karl Wilhelm Scheele,Karl Wilhelm Scheele,0.0,0.333,qismən üst-üstə düşmə,
az-1255,science,0,Astat elementini kim kəşf edib?,Emilio Gino Segre,"Dale R. Corson, Kenneth Ross MacKenzie, Emilio Segrè","Dale R. Corson, Kenneth Ross MacKenzie, Emilio Segrè",0.0,0.182,qismən üst-üstə düşmə,
az-1256,science,1,Rodiumun kəşfi kimə aiddir?,Vilyam Hayd Vollaston,William Hyde Wollaston,William Hyde Wollaston,0.0,0.0,,
