id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,1948,1948,0.0,0.0,,
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,1949,1949,0.0,0.0,,
az-043,history,2,Teymur Rəcəbovun doğum ili hansıdır?,1987,1471,1471,0.0,0.0,,
az-057,culture,0,Rüstəm Orucov harada anadan olub?,İrkutsk,Xətay,"Sual: Rüstəm Orucov harada anadan olub?  
Cavab: Xətay  

İzahat:",0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Sənətçə,Sənətçə,0.0,0.0,,
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Siyahətçilik,Siyahətçilik,0.0,0.0,,
az-080,language,3,Avstraliyanın rəsmi dilini yaz.,ingilis dili,İngiliz dili,İngiliz dili,0.0,0.667,qismən üst-üstə düşmə,
az-081,language,0,İspaniyanın rəsmi dili hansıdır?,ispan dili,İspanca,"Sual: İspaniyanın rəsmi dili hansıdır?  
Cavab: İspanca  

İspaniyanın r",0.0,0.0,,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Runic alphabet (Runic alphabet) — Norveç dilindəki əsas yazı sistemidir,Runic alphabet (Runic alphabet) — Norveç dilindəki əsas yazı sistemidir.,0.0,0.0,,
az-097,history,0,Azərbaycan Dövlət Akademik Opera və Balet Teatrının memarı kimdir?,Nikolay Bayev,Sərgətən Əminə Əbdullayev,Sərgətən Əminə Əbdullayev.,0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,"Saula qısa cavab ver. Yalnız cavabı yaz — cümlə qurma, izahat vermə","Saula qısa cavab ver. Yalnız cavabı yaz — cümlə qurma, izahat vermə.

Sual",0.0,0.0,,
az-1012,history,3,Yusif Vəzir Çəmənzəminlinin vəfat yerini yaz.,Unjlaq,Səfərədдин (Safariddin) — 1400-ci ildə vəfət etdi,Səfərədдин (Safariddin) — 1400-ci ildə vəfət etdi,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1020,culture,3,Seyid Əzim Şirvaninin dəfn yerini yaz.,Şaxəndan,Seyid Əzim Şirvaninin dəfn yerini yaz,"Seyid Əzim Şirvaninin dəfn yerini yaz.  
Cavab: Qusar  

İzahat:",0.0,0.0,,
az-1026,culture,1,Cəmil Əmirov nə ilə məşğul olub?,musiqiçi,Ədəbi,"Sual: Cəmil Əmirov nə ilə məşğul olub?  
Cavab: Ədəbi",0.0,0.0,,
az-1033,language,0,Qətran Təbrizi hansı dildə yazıb?,fars dili,İbrani,"Sual: Qətran Təbrizi hansı dildə yazıb?  
Cavab: İbrani  

İzahat:",0.0,0.0,,
az-1039,science,0,Abdulla Sur harada təhsil alıb?,İstanbul Universiteti,Səudiyyə Arabistanı (SA),Səudiyyə Arabistanı (SA),0.0,0.0,,
az-1076,mathematics,—,19 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,3060,180°,180°,0.0,0.0,,
az-1081,mathematics,—,1-dən 35-ə qədər olan ədədlərin cəmi nə qədərdir?,630,1850,1850,0.0,0.0,,
az-1170,mathematics,—,128-dən böyük sadə ədədlərin ən kiçiyi neçədir?,131,17,17,0.0,0.0,,
az-1173,mathematics,—,"Həm 26-ə, həm 39-ə bölünən ən kiçik ədəd hansıdır?",78,195,195,0.0,0.0,,
az-1174,mathematics,—,Hansı ədədi özünə vursaq 900 alınar?,30,100,100,0.0,0.0,,
az-1176,mathematics,—,6-bucağın neçə diaqonalı var?,9,10,10,0.0,0.0,,
az-1180,mathematics,—,17 tərəfi olan çoxbucaqlıda neçə diaqonal çəkmək olar?,119,17 tərəfi olan çoxbucaqlıda diaqonal sayı,"17 tərəfi olan çoxbucaqlıda diaqonal sayı:  
**170**  

**İzahat",0.0,0.0,,
az-1190,science,3,Uran elementində neçə proton var?,92,146,146,0.0,0.0,,
az-1201,science,2,Manqanın atom nömrəsini yaz.,25,23,23,0.0,0.0,,
az-1209,science,2,Fransiumun atom nömrəsini yaz.,87,94,94,0.0,0.0,,
az-1245,science,2,Talliumun atom nömrəsini yaz.,81,57,57,0.0,0.0,,
az-1249,science,2,Kalium elementinin kəşfçisini yaz.,Hemfri Devi,Менделеев,Менделеев,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1294,world,2,Efiopiyanın beynəlxalq telefon kodunu yaz.,+251,211,211,0.0,0.0,,
az-1298,world,2,Vatikanın beynəlxalq telefon kodunu yaz.,+379,37,37,0.0,0.0,,
az-1300,world,0,Slovakiyanın telefon kodu nədir?,+421,+424,+424,0.0,0.0,,
az-1304,world,0,Lüksemburqun telefon kodu nədir?,+352,+41,+41,0.0,0.0,,
az-1305,world,1,Suriyada beynəlxalq telefon kodu hansıdır?,+963,+961,+961,0.0,0.0,,
az-1322,world,2,Qananın beynəlxalq telefon kodunu yaz.,+233,+27,+27,0.0,0.0,,
az-1353,mathematics,—,853 ədədi 19 ədədinə bölünəndə nə qədər qalıq qalır?,17,19,"19  
**İzahat:** 853 ÷ 19 = 44 (19 × 44 = 8",0.0,0.0,,
az-1384,mathematics,—,Fərqli sadə bölənlərin sayını tap: 1729.,3,1729 — 1729 = 1729 (1729 — 1729),"1729 — 1729 = 1729 (1729 — 1729)  
Cavab",0.0,0.0,,
az-1396,mathematics,—,600 ədədinin 45 faizi hansı ədəddir?,270,36000,36000,0.0,0.0,,
