id,sual,cavab,kateqoriya,qərar,qeyd
az-654,Azərbaycan dilində şəxs şəkilçiləri neçədir?,6 şəxs,language,düzgün,
az-1143,19-bucağın neçə diaqonalı var?,152,mathematics,düzgün,
az-1040,Altay Yusifoğlu hansı təhsil müəssisəsini bitirib?,Gəncə Dövlət Universiteti,science,düzgün,
az-1300,Slovakiyanın telefon kodu nədir?,421,world,düzgün,
az-1537,Esvatinidə hansı pul vahidi işlənir?,Svazilend lilangenisi,geography,düzgün,
az-564,Suyun donma temperaturu neçədir?,0 °C,science,düzgün,
az-026,Kimyada dəmir hansı simvolla işarə olunur?,Fe,science,düzgün,
az-652,Azərbaycan dilində xəbər nəyi bildirir?,Təsdiq,language,səhv,"Xəbər adətən mübtəda haqqında hökmü, hərəkəti və ya halı bildirir; təkcə təsdiqi bildirmir."
az-902,Qeyri-səlis məntiq nəzəriyyəsinin banisi kimdir?,Lütfi Zadə,mathematics,düzgün,
az-1530,Somaliləndin paytaxtının adı nədir?,Hargeisa,geography,düzgün,
az-1023,Zeynalabdin Şirvani hansı yerdə torpağa tapşırılıb?,Məkkə,culture,düzgün,
az-810,Gülüstan müqaviləsi nə vaxt imzalanmışdır?,12 oktyabr 1813,history,düzgün,
az-1462,Özbəkistanın paytaxtının adı nədir?,Daşkənd,geography,düzgün,
az-1557,Tacikistanın rəsmi dilini yaz.,tacik dili,language,düzgün,
az-1382,"Qüvvəti hesabla: əsas 11, göstərici 3.",1331,mathematics,düzgün,
az-1206,Vanadium elementində neçə proton var?,23,science,düzgün,
az-1547,Mikroneziyanın pul vahidinin adını yaz.,ABŞ dolları,geography,düzgün,
az-1221,Bismutun atom nömrəsini yaz.,83,science,düzgün,
az-049,İlham Əliyev harada anadan olub?,Bakı,culture,düzgün,
az-085,İspan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,language,düzgün,
az-1267,Hansı telefon kodu Portuqaliyanın aiddir?,351,world,düzgün,
az-574,Ən böyük planet hansıdır?,Yupiter,science,düzgün,
az-1562,Rezerfordium elementinin atom nömrəsi neçədir?,104,science,düzgün,
az-046,Səfurə Əlizadə neçənci ildə doğulub?,1992,history,düzgün,
az-1318,Maltanın beynəlxalq telefon kodunu yaz.,356,world,düzgün,
az-1443,Monqolustanın paytaxtını yaz.,Ulan-Bator,geography,düzgün,
az-582,Məhəmməd Füzuli hansı əsərin müəllifidir?,Hədisət-əl-əhval,culture,səhv,Füzulinin tanınmış əsəri “Hədiqətüs-süəda”dır; verilən əsər adı uyğun deyil.
az-1451,Laosun paytaxtını yaz.,Vyentyan,geography,düzgün,
az-1351,"Cəmi tap: 15 ilə 35 arasındakı tam ədədlər, uclar daxil.",525,mathematics,düzgün,
az-1030,Ömər Qoçulu nə ilə məşğul olub?,memar,culture,düzgün,
az-631,Azərbaycan dilində təyinsizlik hal hansıdır?,#NAME?,language,səhv,Cavabda düzgün hal adı əvəzinə “#NAME?” xətası verilib.
az-526,Azərbaycanda neçə coğrafi vilayət var?,5 vilayət,geography,düzgün,
az-1196,Dövri cədvəldə Titan hansı nömrə ilə durur?,22,science,düzgün,
az-698,Fransada hansı pul vahidindən istifadə olunur?,Avro,world,düzgün,
az-1466,Bəhreynin paytaxtının adı nədir?,Manama,geography,düzgün,
az-1576,Prazeodimin atom nömrəsini yaz.,59,science,düzgün,
az-005,Yaponiyanın paytaxtı hansı şəhərdir?,Tokio,geography,düzgün,
az-933,Riyaziyyatçı Cəlal Allahverdiyev harada anadan olmuşdur?,Şuşada,mathematics,düzgün,
az-1186,Kvadrat kökünü tap: 400.,20,mathematics,düzgün,
az-561,İnsan ömrü orta hesabla neçə ildir?,70-80 il,science,düzgün,
az-1099,80-dən böyük sadə ədədlərin ən kiçiyi neçədir?,83,mathematics,düzgün,
az-1406,"İlk həddi 11, fərqi 6 olan arifmetik silsilənin 18-ci həddi neçədir?",113,mathematics,düzgün,
az-660,Azərbaycanın ilk Olimpiya medalı hansı idmançı qazanıb?,Namiq Abdullayev,culture,düzgün,
az-1096,6-bucaqlının bütün daxili bucaqları toplananda neçə dərəcə alınır?,720,mathematics,düzgün,
az-1107,11-bucağın neçə diaqonalı var?,44,mathematics,düzgün,
az-825,Şuşa şəhəri nə vaxt Azərbaycanın nəzarətinə keçib?,8 noyabr 2020,history,düzgün,
az-1062,Anaxatır hara tökülür?,Kür,geography,düzgün,
az-1026,Cəmil Əmirov nə ilə məşğul olub?,musiqiçi,culture,düzgün,
az-1541,Dominikada hansı pul vahidi işlənir?,Şərqi Karib dolları,geography,düzgün,
az-1185,24-cü sadə ədədi yaz.,89,mathematics,düzgün,
az-091,Fici hind dilinin yazı sistemi hansıdır?,Devanagari,language,səhv,"Fici hind dili həm devanagari, həm də latın qrafikası ilə yazıla bildiyindən sual tək cavablı deyil."
az-1116,7 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,900,mathematics,düzgün,
az-1315,Hansı telefon kodu Kambocanın aiddir?,855,world,düzgün,
az-1134,15-bucaqlının diaqonallarının sayı neçədir?,90,mathematics,düzgün,
az-1452,Kamerunun paytaxtı hansı şəhərdir?,Yaunde,geography,düzgün,
az-1517,Hansı şəhər Tuvalunun paytaxtıdır?,Funafuti,geography,düzgün,
az-1437,6 saatlıq müddət neçə saniyə edir?,21600,mathematics,düzgün,
az-692,İsveçin paytaxtı haradadır?,Stokholm,world,düzgün,
az-055,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,culture,düzgün,
az-097,Azərbaycan Dövlət Akademik Opera və Balet Teatrının memarı kimdir?,Nikolay Bayev,history,düzgün,
az-1136,90-dən böyük sadə ədədlərin ən kiçiyi neçədir?,97,mathematics,düzgün,
az-540,Neftin əsas tərkib hissəsi nədir?,Karbohidrogenlər,science,düzgün,
az-1500,Yamaykanın paytaxtı hansı şəhərdir?,Kinqston,geography,düzgün,
az-1476,Kosta-Rikanın paytaxtı hansı şəhərdir?,San-Xose,geography,düzgün,
az-1512,Dominikanın paytaxtı hansı şəhərdir?,Rozo,geography,düzgün,
az-1275,Hansı telefon kodu Bolqarıstanın aiddir?,359,world,düzgün,
az-940,Belçikanın paytaxtını yaz.,Brüssel,geography,düzgün,
az-1166,Kvadrat kökünü tap: 841.,29,mathematics,düzgün,
az-1049,Hatt dilinin yazı sistemini yaz.,mixi yazı,language,düzgün,
az-043,Teymur Rəcəbovun doğum ili hansıdır?,1987,history,düzgün,
az-1376,Bir üçbucaqda bucaqlardan ikisi 105 və 41 dərəcədir. Qalan bucaq nə qədərdir?,34,mathematics,düzgün,
az-1327,"Üçbucağın iki bucağı 40 və 75 dərəcədirsə, üçüncü bucaq neçə dərəcədir?",65,mathematics,düzgün,
az-1177,8-ci sadə ədəd hansıdır?,19,mathematics,düzgün,
az-1080,100-in bölənlərinin sayı neçədir?,9,mathematics,düzgün,
az-994,Bakı quberniyası neçənci ildə təsis edilib?,1859,history,düzgün,
az-545,Atomun əsas hissələri hansılardır?,"Proton, neytron, elektron",science,düzgün,
az-980,Cesika Qədirovanın peşəsini yaz.,gimnast,culture,düzgün,
az-945,İsrailin pul vahidi nədir?,Yeni İsrail şekeli,geography,düzgün,
az-1425,Faizi hesabla: 450 ədədinin 80 faizi.,360,mathematics,düzgün,
az-1111,İlk 45 natural ədədin cəmi neçədir?,1035,mathematics,düzgün,
az-529,Muğan düzü hansı çaylar arasindadir?,Kür və Araz,geography,düzgün,
az-1489,Hansı şəhər Kabo-Verdenin paytaxtıdır?,Praya,geography,düzgün,
az-1424,Üçüncü bucağı tap: 47 dərəcə və 63 dərəcə.,70,mathematics,səhv,Sualda bucaqların üçbucağa aid olduğu göstərilmədiyi üçün üçüncü bucaq müəyyən edilmir.
az-1492,Qətərin paytaxtı hansı şəhərdir?,Doha,geography,düzgün,
az-007,Almaniyanın paytaxtının adı nədir?,Berlin,geography,düzgün,
az-1450,İordaniyanın paytaxtının adı nədir?,Amman,geography,düzgün,
az-1372,365 sayının 11 sayına bölünməsindən alınan qalıq nədir?,2,mathematics,düzgün,
az-1171,96 ədədi neçə müxtəlif ədədə tam bölünür?,12,mathematics,düzgün,
az-1038,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,science,düzgün,
az-1488,Şərqi Timorun paytaxtı hansı şəhərdir?,Dili,geography,düzgün,
az-1179,11 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,1620,mathematics,düzgün,
az-589,Tofig Quliyev hansı əsərin müəllifidir?,Gəlin qayası,culture,düzgün,
az-1173,"Həm 26-ə, həm 39-ə bölünən ən kiçik ədəd hansıdır?",78,mathematics,düzgün,
az-1354,3 ədədinin 7-ci dərəcəsini tap.,2187,mathematics,düzgün,
az-1339,"Arifmetik silsilədə birinci hədd 50, fərq isə 4 ədədidir. 17-ci hədd nədir?",114,mathematics,düzgün,
az-563,Suyun qaynama temperaturu neçədir?,100 °C,science,düzgün,
az-716,Asiya qitəsində neçə ölkə var?,48 ölkə,world,səhv,Asiyada ölkələrin sayı qəbul edilən coğrafi-siyasi təsnifatdan asılı olaraq dəyişir.
az-636,Azərbaycan dilində xəbər şəkilçisi hansıdır?,"-dir, -dir",language,səhv,Xəbər şəkilçisinin variantları natamam verilib; “-dir” iki dəfə təkrarlanıb.
az-720,Antarktida qitəsində neçə ölkə var?,0 ölkə,world,düzgün,
az-1522,Sent-Kits və Nevisin paytaxtının adı nədir?,Baster,geography,düzgün,
az-626,Azərbaycan dilində isim nədir?,Ad bildirən söz,language,düzgün,
az-1002,Əzim Əzimzadənin doğulduğu yer haradır?,Novxanı,culture,düzgün,
az-1409,İkilik say sistemində yazılmış 1010101 ədədi onluq sistemdə neçəyə bərabərdir?,85,mathematics,düzgün,
az-1566,Lutesium elementinin atom nömrəsi neçədir?,71,science,düzgün,
az-1341,"33 ədədindən 44 ədədinə qədər bütün tam ədədləri toplasaq, nə alınar (uc nöqtələr daxildir)?",462,mathematics,düzgün,
az-530,Azərbaycanın cənub nöqtəsi haradadır?,Astara çayı h,geography,səhv,Cavab yarımçıqdır və cənub nöqtəsini tam adlandırmır.
az-1471,Nigerin paytaxtını yaz.,Niamey,geography,düzgün,
az-1154,24 ədədindən sonra gələn ilk sadə ədəd nədir?,29,mathematics,düzgün,
az-1439,İkilik yazılışı 1101101 olan ədəd onluq sistemdə hansıdır?,109,mathematics,düzgün,
az-1464,Eritreyanın paytaxtı hansı şəhərdir?,Əsməra,geography,düzgün,
az-1039,Abdulla Sur harada təhsil alıb?,İstanbul Universiteti,science,düzgün,
az-1113,40 və 60 ədədlərinin ən kiçik ortaq bölünəni neçədir?,120,mathematics,düzgün,
az-1303,Hansı telefon kodu Latviyanın aiddir?,371,world,düzgün,
az-990,İsraildə hansı dil rəsmi dildir?,ivrit dili,language,düzgün,
az-1233,Íttriumun atom nömrəsini yaz.,39,science,düzgün,
az-930,Xəzər Universiteti hansı ildə təsis edilmişdir?,1991-ci ildə,mathematics,düzgün,
az-1014,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,history,düzgün,
az-1370,7 ilə 17 arasındakı bütün tam ədədlərin cəmi neçədir (hər ikisi daxil olmaqla)?,132,mathematics,düzgün,
az-1596,Unbiuniumun atom nömrəsini yaz.,121,science,düzgün,
az-585,Üıyeyir Həcəbəyov hansı əsərin müəllifidir?,Leyli və Məcnun,culture,səhv,Sualdakı bəstəkarın adı yazı səhvi ilə verilib: “Üıyeyir” əvəzinə “Üzeyir”.
az-603,Azərbaycan mətbəxində əsas ət məhsulu hansıdır?,Qoyun əti,culture,düzgün,
az-549,Səsin sürəti havada neçədir?,340 m/s,science,düzgün,
az-1302,Keniyanın beynəlxalq telefon kodunu yaz.,254,world,düzgün,
az-1414,Bir üçbucaqda bucaqlardan ikisi 61 və 49 dərəcədir. Qalan bucaq nə qədərdir?,70,mathematics,düzgün,
az-817,11-ci Qırmızı Ordu Bakıya nə vaxt daxil olub?,27 aprel 1920,history,düzgün,
az-1509,Hansı şəhər Barbadosun paytaxtıdır?,Brictaun,geography,düzgün,
az-1400,İkilik yazılışı 10000 olan ədəd onluq sistemdə hansıdır?,16,mathematics,düzgün,
az-960,Sink elementinin simvolunu yaz.,Zn,science,düzgün,
az-647,Azərbaycan dilində aidlik şəkilçisi hansıdır?,#NAME?,language,səhv,Cavabda düzgün şəkilçi əvəzinə “#NAME?” xətası verilib.
az-1310,Sinqapurun beynəlxalq telefon kodunu yaz.,65,world,düzgün,
az-1493,Hansı şəhər Surinamın paytaxtıdır?,Paramaribo,geography,düzgün,
az-1224,Dövri cədvəldə plutonium hansı nömrə ilə durur?,94,science,düzgün,
az-951,Lixtenşteynin rəsmi valyutası necə adlanır?,İsveçrə frankı,geography,düzgün,
az-086,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,language,düzgün,
az-588,Fikrət Əmirov hansı əsərin müəllifidir?,Babək,culture,düzgün,
az-567,Atom nömrəsi 1 olan element hansıdır?,Hidrogen,science,düzgün,
az-527,Göygöl gölü harada yerləşir?,Kiçik Qafqazda,geography,düzgün,
az-932,Akademik Fəraməz Maqsudov harada anadan olmuşdur?,Naxçıvanda,mathematics,düzgün,
az-119,Astaraçay hansı su hövzəsinə qovuşur?,Xəzər dənizi,geography,düzgün,
az-614,Aşıq sənəti nədir?,Xalq musiqisi,culture,düzgün,
az-1442,Anqolanın paytaxtının adı nədir?,Luanda,geography,düzgün,
az-569,Atom nömrəsi 8 olan element hansıdır?,Oksigen,science,düzgün,
az-1381,10011010 ikilik ədədinin onluq qarşılığı nədir?,154,mathematics,düzgün,
az-920,Üçbucağın daxili bucaqlarının cəmi neçə dərəcədir?,180,mathematics,düzgün,
az-693,Norveçin paytaxtı haradadır?,Oslo,world,düzgün,
az-1564,Seriumun atom nömrəsini yaz.,58,science,düzgün,
az-1258,Hansı alim Siborgium elementini kəşf etmişdir?,Yuri Oqanesyan,science,səhv,Siborgium 1974-cü ildə Q. N. Flerovun qrupu və ABŞ-də G. T. Seaborgun qrupu tərəfindən sintez olunub; Yuri Oqanesyan deyil.
az-1183,Daxili bucaqlarının cəmini tap: 20-bucaq.,3240,mathematics,düzgün,
az-1045,III Böyük Mənuçöhr hansı vəzifəni tutub?,Şirvanşahlar,history,səhv,Vəzifə/titul “Şirvanşah” olmalıdır; “Şirvanşahlar” sülalə adıdır.
az-822,Azərbaycan Xalq Cəbhəsi hakimiyyətə nə vaxt gəlib?,1992-ci ildə,history,düzgün,
az-1449,Hansı şəhər Namibiyanın paytaxtıdır?,Vindhuk,geography,düzgün,
az-1064,Pirsaatçay hansı su hövzəsinə qovuşur?,Xəzər dənizi,geography,düzgün,
