id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-044,history,3,Ayaz Mütəllibovun anadan olduğu ili yaz.,1938,1980,"1980

Sual: 1000000000000000000000",0.0,0.0,,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,1975,"1975

Sual: Nigar Camalın məşhur mətni nədir?
Cavab: """,0.0,0.0,,
az-051,culture,2,Mehriban Əliyeva hansı yaşayış məntəqəsində dünyaya gəlib?,Bakı,Qarabag,"Qarabag

Sual: Ən çox qəltdən qalın qalın qalın qalın q",0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Baku,"Baku

Sənənənənənənənənənənənənənən",0.0,0.0,,
az-058,culture,1,Rafiq Radik oğlu Hüseynovun doğulduğu yer haradır?,Daşkənd,Azərbaycan,"Azərbaycan

Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə",0.0,0.0,,
az-067,culture,2,Mariya Stadnikin əsas fəaliyyət sahəsi nədir?,güləşçi,Təhsil,"Təhsil

Sual: 10000000000000000000000",0.0,0.0,,
az-072,culture,3,Zemfira Meftahətdinovanın peşəsini yaz.,atıcı,Mədəniyyətçi,"Mədəniyyətçi

Sual: Əsas mətnin məzmunu nədir?
Cav",0.0,0.0,,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Latin alifabası,"Latin alifabası

Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə",0.0,0.0,,
az-092,language,3,Kalmık dilinin yazı sistemini yaz.,kiril əlifbası,Hərflər,"Hərflər

Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə",0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Mərmər,"Mərmər

Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə",0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Təbriz,"Təbriz

Sual: Əsas mətnin mətni nədir?
Cavab: Mətnin",0.0,0.0,,
az-1008,culture,3,Süleyman Rüstəmin doğum yerini yaz.,Novxanı,Baku,"Baku

Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə

Sual:",0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,Tərən,"Tərən

Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə",0.0,0.0,,
az-1012,history,3,Yusif Vəzir Çəmənzəminlinin vəfat yerini yaz.,Unjlaq,Tərən,"Tərən

Sual: Əsas mətnin əsas məsələsi nədir?",0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,İngiltərədə,"İngiltərədə

Sual: Ən çox qəltdən qalxan məsəl",0.0,0.0,,
