id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-036,science,3,Kükürd elementinin simvolunu yaz.,S,H,"Cavab: H

Sual: Kükürd elementinin simvolunu yaz.
Cavab: H

Sual:",0.0,0.0,,
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,"Əliyev, Əliyev, Əliyev","Cavab: Əliyev, Əliyev, Əliyev.",0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,"Şəhriyar Məmmədyarovun doğum yerini: ""Bəyət-Şəhri","Şəhriyar Məmmədyarovun doğum yerini: ""Bəyət-Şəhri",0.0,0.0,,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,"Hansıya, toğrul Əsgərov hansı yaşayış məntəqəsi","Cavab: Hansıya, toğrul Əsgərov hansı yaşayış məntəqəsi",0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Radik İsayevin doğum yerini,"Radik İsayevin doğum yerini:

""Radik İsayevin doğum yerini, bir atomun, bir",0.0,0.0,,
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,Almaniyada hansı dil rəsmi dildir: İngilisce,"Almaniyada hansı dil rəsmi dildir: İngilisce.

Sual: İngilisce dil",0.0,0.0,,
az-082,language,1,Birləşmiş Krallıqda hansı dil rəsmi dildir?,ingilis dili,"Krallıqda hansı dil rəsmi dildir, ""Hansı""","Cavab: Krallıqda hansı dil rəsmi dildir, ""Hansı"".",0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Rus dili üçün hansı yazı sistemindən istifadə olunur,"Rus dili üçün hansı yazı sistemindən istifadə olunur.

Rus dili üç",0.0,0.0,,
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,"Avadhi üçün hansı yazı sistemindən istifad edilmiş, hansı yazı sistemini, bir","Avadhi üçün hansı yazı sistemindən istifad edilmiş, hansı yazı sistemini, bir",0.0,0.0,,
az-1007,culture,2,Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəsində dünyaya gəlib?,Şuşa,"Yet, yüzündəkilerin hansı yaşayışı məntəqəsi m","Cavab: Yet, yüzündəkilerin hansı yaşayışı məntəqəsi m",0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,"Hayvanlar, hansı şəhərdə davət edilmiş, dünyasını d","Cavab: Hayvanlar, hansı şəhərdə davət edilmiş, dünyasını d",0.0,0.0,,
az-1014,history,1,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,Gödək Əhmədin vəfat etdiyi yer haradır: Əhməd-Əli,Gödək Əhmədin vəfat etdiyi yer haradır: Əhməd-Əli,0.0,0.0,,
az-1016,history,3,Bəhruz Kəngərlinin vəfat yerini yaz.,Naxçıvan,Bəhruz Kəngərlinin vəfat yerini,"Bəhruz Kəngərlinin vəfat yerini:

""Bəhruz Kəngərlinin v",0.0,0.0,,
az-1019,culture,2,Ümgülsüm Sadıqzadə hansı yerdə torpağa tapşırılıb?,Şaxəndan,"Hansı yerlər, torpağa tapşaqların üzgünüzü gözükç","Cavab: Hansı yerlər, torpağa tapşaqların üzgünüzü gözükç",0.0,0.0,,
az-1020,culture,3,Seyid Əzim Şirvaninin dəfn yerini yaz.,Şaxəndan,,"Sual: Seyid Əzim Şirvaninin dəfn yerini yaz.
Cavab:

Şirv",0.0,0.0,boş cavab,
az-1023,culture,2,Zeynalabdin Şirvani hansı yerdə torpağa tapşırılıb?,Məkkə,"Ezir, Zeynalabdin Şirvani hansı yerdə torpağa tapşırılıb","Cavab: Ezir, Zeynalabdin Şirvani hansı yerdə torpağa tapşırılıb",0.0,0.0,,
