id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-029,science,0,Oksigen elementinin kimyəvi simvolu nədir?,O,Oxygen elementinin kimyəvi simvolu O'dur,Oxygen elementinin kimyəvi simvolu O'dur.,0.0,0.286,qismən üst-üstə düşmə,
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,1947,1947,0.0,0.0,,
az-044,history,3,Ayaz Mütəllibovun anadan olduğu ili yaz.,1938,Şuşa,Şuşa,0.0,0.0,,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,"Əsgərov, Toğrul, Sovet İttifaqı Respublikası (SSRİ) cümhuriyeti-dəmir yolu","Əsgərov, Toğrul, Sovet İttifaqı Respublikası (SSRİ) cümhuriyeti-dəmir yolu",0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Əfzai peşəvi,Əfzai peşəvi,0.0,0.0,,
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Əszaytolojiya,Əszaytolojiya,0.0,0.0,,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,"Latin alfabıdan türev olan Norveç dilinin yazı sistemi, Latince alfabından türetilmişdir","Latin alfabıdan türev olan Norveç dilinin yazı sistemi, Latince alfabından türetilmişdir. Bu sistem Norve",0.0,0.0,,
az-098,history,1,Təzəpir məscidi kimin layihəsidir?,Yevgeni Skibinski,Maqsud of Kashan,Maqsud of Kashan,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Şirvan,Şirvan,0.0,0.0,,
az-1009,history,0,Müslüm Maqomayev harada vəfat edib?,Nalçik,Müslüm Maqomayev Şirvanşirvan şəhərində vəfat edib,Müslüm Maqomayev Şirvanşirvan şəhərində vəfat edib.,0.0,0.0,,
az-1012,history,3,Yusif Vəzir Çəmənzəminlinin vəfat yerini yaz.,Unjlaq,Şuşa,Şuşa,0.0,0.0,,
az-1020,culture,3,Seyid Əzim Şirvaninin dəfn yerini yaz.,Şaxəndan,Şirvan,Şirvan,0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Əszayir,Əszayir,0.0,0.0,,
az-1033,language,0,Qətran Təbrizi hansı dildə yazıb?,fars dili,Təbrizi,Təbrizi,0.0,0.0,,
az-1036,science,1,Müslüm Maqomayev hansı təhsil müəssisəsini bitirib?,Zaqafqaziya Müəllimlər Seminariyası,Müslüm Maqomayev Moskva Dövlət Universiteti bitirib,Müslüm Maqomayev Moskva Dövlət Universiteti bitirib.,0.0,0.0,,
