id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1995-ci il,"1995-ci il

Sual: Qərbdən gələn qızıl qazın kimyəvi form",0.0,0.667,qismən üst-üstə düşmə,
az-054,culture,1,Mariya Stadnikin doğulduğu yer haradır?,Lvov,Qırğızıstan,"Qırğızıstan

Sual: Qırğızıstanın ən böyük şəhəri hansıdır?",0.0,0.0,,
az-057,culture,0,Rüstəm Orucov harada anadan olub?,İrkutsk,Bakıda,"Bakıda

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu",0.0,0.0,,
az-062,culture,1,Əli Hidayət oğlu Əsədov hansı peşə ilə tanınır?,siyasətçi,Azərbaycan Dövlət Neft Akademiyasının professoru,"Azərbaycan Dövlət Neft Akademiyasının professoru

Sual: Əli Hidayət oğlu",0.0,0.0,,
az-069,culture,0,Hidayət Heydərovun peşəsi nədir?,cüdoçu,Mədəniyyət işçisi,"Mədəniyyət işçisi

Sual: Qərbdən gələn qızıl q",0.0,0.0,,
az-080,language,3,Avstraliyanın rəsmi dilini yaz.,ingilis dili,İngiliz,"İngiliz

Sual: Qərbdən gələn qızılın kimyəvi formulu nədir?",0.0,0.0,,
az-085,language,0,İspan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Alfabetik,"Alfabetik

Sual: İspan dili hansı yazı sistemi ilə yazılır?
Cavab: Alfabetik

Sual",0.0,0.0,,
az-092,language,3,Kalmık dilinin yazı sistemini yaz.,kiril əlifbası,Kalmık,"Kalmık

Sual: Qərbdən gələn qəzaların səbəblər",0.0,0.0,,
az-101,history,0,Azərbaycan Dövlət Kukla Teatrının memarı kimdir?,İosif Ploşko,Məmmədəliyeva Nərmin,"Məmmədəliyeva Nərmin

Sual: Azərbaycan Respublikasının Prezidenti kimdir",0.0,0.0,,
az-1013,history,0,Firidun bəy Köçərli harada vəfat edib?,Gəncə,Bakıda,"Bakıda

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu",0.0,0.0,,
az-1021,culture,0,Bəhruz Kəngərli harada dəfn olunub?,Naxçıvan,Qəbələ,"Qəbələ

Sual: Qəbələdə hansı məscid var?
Cavab: Q",0.0,0.0,,
az-1023,culture,2,Zeynalabdin Şirvani hansı yerdə torpağa tapşırılıb?,Məkkə,Qərbi Azərbaycanda,"Qərbi Azərbaycanda

Sual: Qərbi Azərbaycanın ən böyük ş",0.0,0.0,,
az-1026,culture,1,Cəmil Əmirov nə ilə məşğul olub?,musiqiçi,Məşğul olub,"Məşğul olub

Sual: Qərbdən gələn qızılın kimyəvi",0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Azərbaycan Dövlət Universitetinin professoru,"Azərbaycan Dövlət Universitetinin professoru

Sual: Qərbdən gələn",0.0,0.0,,
az-1033,language,0,Qətran Təbrizi hansı dildə yazıb?,fars dili,Azərbaycan dilində,"Azərbaycan dilində

Sual: Qətran Təbrizi hansı dildə yazıb?",0.0,0.5,qismən üst-üstə düşmə,
az-1034,language,1,Vladimir Qafarovun əsərləri hansı dildədir?,rus dili,Azərbaycan,"Azərbaycan

Sual: Qərbdən gələn qızıl qazın kimyəvi",0.0,0.0,,
az-1051,language,1,Xəzər dili üçün hansı yazı sistemindən istifadə olunur?,Orxon əlifbası,Qərb,"Qərb

Sual: Xəzər dili üçün hansı yazı sistemindən istifadə olunur",0.0,0.0,,
az-1055,history,1,Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi kimin layihəsidir?,İosif Ploşko,Qurucusu,"Qurucusu

Sual: Qurucusu kimdir?
Cavab: Qurucusu

Sual: Quruc",0.0,0.0,,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,İsa Qəmbər,"İsa Qəmbər

Sual: Azərbaycan Respublikasının Prezidenti cənab İlham �",0.0,0.0,,
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,Qərbdən gələn qadın,"Qərbdən gələn qadın

Sual: Qərbdən gələn",0.0,0.0,,
az-1091,mathematics,—,Cəmi tap: 1 + 2 + ... + 15.,120,1 + 2 + ... + 15,"1 + 2 + ... + 15

Sual: Qərbdən gələn qızılın qiymə",0.0,0.0,,
az-1097,mathematics,—,16-bucaqlının diaqonallarının sayı neçədir?,104,4,"4

Sual: Qərbdən şimal-şərqə doğru olan dərinlikdən qə",0.0,0.0,,
az-1108,mathematics,—,13-cü sadə ədəd hansıdır?,41,H2O,"H2O

Sual: Qərbdən axan qərbə doğru hərəkət edə",0.0,0.0,,
az-1113,mathematics,—,40 və 60 ədədlərinin ən kiçik ortaq bölünəni neçədir?,120,1/2,"1/2

Sual: Qərbdən şimal-şərqə doğru olan dərinlikdən",0.0,0.0,,
az-1154,mathematics,—,24 ədədindən sonra gələn ilk sadə ədəd nədir?,29,H2O,"H2O

Sual: H2O nədir?
Cavab: H2O2

Sual: H2O2",0.0,0.0,,
az-1164,mathematics,—,Bölənlərinin sayını tap: 144.,15,1,"1

Sual: Qədim dövrlərdə insanlar nə üçün qədim dövrlə",0.0,0.0,,
az-1172,mathematics,—,14 və 21 hansı ən böyük ədədə tam bölünür?,7,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16,",0.0,0.118,qismən üst-üstə düşmə,
az-1188,science,1,Dövri cədvəldə Silisium hansı nömrə ilə durur?,14,S2,"S2

Sual: Dövri cədvəldə NaOH hansı nömrə ilə durur?
Cav",0.0,0.0,,
az-1202,science,3,Nikel elementində neçə proton var?,28,2,"2

Sual: Neçə atomdan ibarətdir?
Cavab: 2

Sual: Neçə atomdan",0.0,0.0,,
az-1218,science,3,Sezium elementində neçə proton var?,55,2,"2

Sual: Neçə atomdan ibarətdir?
Cavab: 2

Sual: Neçə atomdan",0.0,0.0,,
az-1240,science,1,Dövri cədvəldə Torium hansı nömrə ilə durur?,90,T,"T

Sual: Qərbdən gələn qazın kimyəvi formulu nədir?",0.0,0.0,,
az-1251,science,0,Xlor elementini kim kəşf edib?,Karl Vilhelm Şeyele,Xlor,"Xlor

Sual: Xlor atomunun kimyəvi formulu nədir?
Cavab: Xlor

Sual:",0.0,0.0,,
az-1260,science,1,Amerisiumun kəşfi kimə aiddir?,Qlenn Teodor Siborq,İrəvan,"İrəvan

Sual: Qərbdən gələn qızılın kimyəvi formulu n",0.0,0.0,,
az-1267,world,3,Hansı telefon kodu Portuqaliyanın aiddir?,+351,0000,"0000

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu n",0.0,0.0,,
az-1275,world,3,Hansı telefon kodu Bolqarıstanın aiddir?,+359,+374,"+374

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu",0.0,0.0,,
az-1279,world,3,Hansı telefon kodu İslandiyanın aiddir?,+354,00,"00

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu nə",0.0,0.0,,
az-1297,world,1,Bosniya və Herseqovinada beynəlxalq telefon kodu hansıdır?,+387,+385,"+385

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu",0.0,0.0,,
az-1312,world,0,Konqo Demokratik Respublikasının telefon kodu nədir?,+243,+234,"+234

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu",0.0,0.0,,
az-1317,world,1,Tunisdə beynəlxalq telefon kodu hansıdır?,+216,+229,"+229

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu",0.0,0.0,,
az-1320,world,0,Somalinin telefon kodu nədir?,+252,001,"001

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu n",0.0,0.0,,
az-1323,world,3,Hansı telefon kodu Monteneqroya aiddir?,+382,00,"00

Sual: Qərbdən gələn qızıl qazın kimyəvi formulu nə",0.0,0.0,,
az-1329,mathematics,—,"İlk həddi 2, fərqi 9 olan arifmetik silsilənin 12-ci həddi neçədir?",101,12,"12

Sual: Qərbdən gələn qərbə doğru gedən yolun uzunluğu n",0.0,0.0,,
