id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-028,science,3,Hidrogen elementinin simvolunu yaz.,H,H – Hidrogen elementinin simvolu,H – Hidrogen elementinin simvolu.,0.0,0.4,qismən üst-üstə düşmə,
az-037,history,0,İlham Əliyev hansı ildə anadan olub?,1961,Ilham Əliyev ildə anadan olub,Ilham Əliyev ildə anadan olub.,0.0,0.25,qismən üst-üstə düşmə,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,Qələb,Qələb.,0.0,0.0,,
az-056,culture,3,Xetaq Qazyumovun doğum yerini yaz.,Alagir,Qazak,Qazak,0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Kimyada,Cavab: Kimyada,0.0,0.0,,
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Cevap: Şəxsiyyət,Cevap: Şəxsiyyət,0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Rus dili üçün yazı sistemindən istifadə olunur: Rusiyalı,Rus dili üçün yazı sistemindən istifadə olunur: **Rusiyalı**.,0.0,0.0,,
az-099,history,2,Bibiheybət məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Muhacir,Cavab: Muhacir,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Qətran Təbrizinin doğulduğu yer haradır,Qətran Təbrizinin doğulduğu yer haradır?,0.0,0.0,,
az-1008,culture,3,Süleyman Rüstəmin doğum yerini yaz.,Novxanı,Süleyman Rüstəmin doğum yerini yaz,Süleyman Rüstəmin doğum yerini yaz.,0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Qahirə,Qahirə,0.0,0.0,,
az-1015,history,2,Ümgülsüm Sadıqzadə hansı şəhərdə dünyasını dəyişib?,Şamaxı,Qahirə,Qahirə,0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Sual: Zeynalabdin İsgəndərovun peşəsi nədir,"Sual: Zeynalabdin İsgəndərovun peşəsi nədir?  
Cavab: Dəniz",0.0,0.0,,
az-1035,science,0,Mikayıl Müşfiq harada təhsil alıb?,Bakı Dövlət Universiteti,Mikayıl Müşfiq Harada təhsil alıb,Mikayıl Müşfiq Harada təhsil alıb.,0.0,0.0,,
az-1044,geography,0,Bayıl qalası hansı inzibati ərazidə yerləşir?,Bakı,"Məsələn, Məsələn, Məsələn","Cavab: Məsələn, Məsələn, Məsələn",0.0,0.0,,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,Sumeriya,Cavab: Sumeriya,0.0,0.0,,
az-1052,language,2,Əfşar dilinin yazı sistemi hansıdır?,fars əlifbası,Əfşar dilinin yazı sistemi Əfşar dilidir,Cavab: Əfşar dilinin yazı sistemi Əfşar dilidir.,0.0,0.0,,
az-1054,history,0,Gövhər ağa məscidinin memarı kimdir?,Kərbəlayı Səfixan Qarabaği,İsmail Əliyev,Cavab: İsmail Əliyev,0.0,0.0,,
az-1055,history,1,Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi kimin layihəsidir?,İosif Ploşko,Əməkdar Qəsəb,Cavab: Əməkdar Qəsəb,0.0,0.0,,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,"Məşhur əsasli əməklərə görə, Azadlıq prospekt","Cavab: Məşhur əsasli əməklərə görə, Azadlıq prospekt",0.0,0.0,,
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,Fransız kimyəvi müsabiqəçilər M. V. Lavoisir,Cavab: Fransız kimyəvi müsabiqəçilər M. V. Lavoisir.,0.0,0.0,,
az-1083,mathematics,—,27 ilə 36-nin ƏKOB-u nədir?,108,33,33,0.0,0.0,,
az-1094,mathematics,—,Faktorialı hesabla: 7.,5040,120,120,0.0,0.0,,
az-1146,mathematics,—,48 ədədinin neçə böləni var?,10,48 ədədinin 16 böləni var,48 ədədinin 16 böləni var.,0.0,0.0,,
az-1168,mathematics,—,20-bucaqlının diaqonallarının sayı neçədir?,170,4,4,0.0,0.0,,
az-1185,mathematics,—,24-cü sadə ədədi yaz.,89,24,24,0.0,0.0,,
az-1194,science,3,Bor elementində neçə proton var?,5,Bor elementində 5 proton var,Bor elementində 5 proton var.,0.0,0.333,qismən üst-üstə düşmə,
az-1195,science,0,Arqon elementinin atom nömrəsi neçədir?,18,2,2.,0.0,0.0,,
az-1205,science,2,Bariumun atom nömrəsini yaz.,56,Ba²⁺,Ba²⁺,0.0,0.0,,
az-1213,science,2,Kadmiumun atom nömrəsini yaz.,48,108,108,0.0,0.0,,
az-1230,science,3,Tellur elementində neçə proton var?,52,TeK,TeK,0.0,0.0,,
az-1236,science,1,Dövri cədvəldə sirkonium hansı nömrə ilə durur?,40,38,Cavab: 38,0.0,0.0,,
az-1239,science,0,İndium elementinin atom nömrəsi neçədir?,49,103,103,0.0,0.0,,
az-1266,world,2,Avstriyanın beynəlxalq telefon kodunu yaz.,+43,123,123,0.0,0.0,,
az-1274,world,2,Əfqanıstanın beynəlxalq telefon kodunu yaz.,+93,+255,+255,0.0,0.0,,
az-1278,world,2,Macarıstanın beynəlxalq telefon kodunu yaz.,+36,123,123,0.0,0.0,,
az-1280,world,0,Xorvatiyanın telefon kodu nədir?,+385,38,38,0.0,0.0,,
az-1282,world,2,Estoniyanın beynəlxalq telefon kodunu yaz.,+372,E123,E123,0.0,0.0,,
az-1303,world,3,Hansı telefon kodu Latviyanın aiddir?,+371,LV,LV,0.0,0.0,,
az-1305,world,1,Suriyada beynəlxalq telefon kodu hansıdır?,+963,+1,"+1

Sual: Suriyada beynəlxalq telefon kodu hansıdır?
Cavab: +96",0.0,0.0,,
az-1322,world,2,Qananın beynəlxalq telefon kodunu yaz.,+233,+1 (375),+1 (375),0.0,0.0,,
az-1343,mathematics,—,Qalığı hesabla: 628 ədədinin 15 ədədinə bölünməsi.,13,628 ədədinin 15 ədədinə bölünməsi,"628 ədədinin 15 ədədinə bölünməsi:  
628 ÷ 1",0.0,0.0,,
az-1353,mathematics,—,853 ədədi 19 ədədinə bölünəndə nə qədər qalıq qalır?,17,3,3,0.0,0.0,,
az-1364,mathematics,—,55555 ədədinin rəqəmləri cəmi neçədir?,25,55555 ədədinin rəqəmləri cəmi 55,55555 ədədinin rəqəmləri cəmi 55.,0.0,0.0,,
az-1377,mathematics,—,350 sayının 40 faizi nə qədər edir?,140,15,15,0.0,0.0,,
az-1379,mathematics,—,7 saatda neçə saniyə var?,25200,3600,3600,0.0,0.0,,
az-1409,mathematics,—,İkilik say sistemində yazılmış 1010101 ədədi onluq sistemdə neçəyə bərabərdir?,85,64,64,0.0,0.0,,
az-1412,mathematics,—,70706 sayının rəqəmlərini toplasaq nə alınar?,20,126,126,0.0,0.0,,
az-1433,mathematics,—,858 ədədi neçə müxtəlif sadə ədədə bölünür?,4,"858 ədədi 3, 2, 3, 3, 43 sadə ədədə böl","858 ədədi 3, 2, 3, 3, 43 sadə ədədə böl",0.0,0.0,,
az-1436,mathematics,—,"Birinci həddi 9, fərqi 11 olan silsilədə 13-cü hədd hansı ədəddir?",141,13-cü hədd: 23,13-cü hədd: 23,0.0,0.0,,
az-1447,geography,3,Myanmanın paytaxtını yaz.,Naypyida,Banjir,Banjir,0.0,0.0,,
az-1462,geography,2,Özbəkistanın paytaxtının adı nədir?,Daşkənd,Tashkent,Tashkent,0.0,0.0,,
az-1469,geography,1,Hansı şəhər Butanın paytaxtıdır?,Thimphu,Qaşağı,Qaşağı,0.0,0.0,,
az-1483,geography,3,Hondurasın paytaxtını yaz.,Tequsiqalpa,Bajaína,Bajaína,0.0,0.0,,
az-1502,geography,2,Cənubi Sudanın paytaxtının adı nədir?,Cuba,Khart alam,Khart alam.,0.0,0.0,,
az-1505,geography,1,Hansı şəhər Dominikan Respublikasının paytaxtıdır?,Santo-Dominqo,Caguana,Caguana,0.0,0.0,,
az-1517,geography,1,Hansı şəhər Tuvalunun paytaxtıdır?,Funafuti,Qahirə,Qahirə,0.0,0.0,,
az-1526,geography,2,Mikroneziyanın paytaxtının adı nədir?,Palikir,Budan: Bursa,Budan: Bursa,0.0,0.0,,
az-1555,language,1,San-Marinoda hansı dil rəsmi dildir?,italyan dili,Cevap: Rumaniya,Cevap: Rumaniya,0.0,0.0,,
az-1561,language,3,Şimali Kiprin rəsmi dilini yaz.,türk dili,Cyrilik,Cyrilik,0.0,0.0,,
az-1563,science,1,Dövri cədvəldə hassium hansı nömrə ilə durur?,108,88,88,0.0,0.0,,
az-1597,science,3,Unbibium elementində neçə proton var?,122,Unbibium elementində 104 proton var,Unbibium elementində 104 proton var.,0.0,0.0,,
az-503,geography,—,Azərbaycanın paytaxtı haradadır?,Bakıda,Bakı,Cavab: Bakı,1.0,0.0,morfologiya,
az-516,geography,—,Azərbaycanın Rusiya ilə sərhədi haradadır?,Şimalda,Qələbəy,Cavab: Qələbəy,0.0,0.0,,
az-518,geography,—,Xəzər dənizinin sahil xətti Azərbaycanda neçə km-dir?,800 km,500,500,0.0,0.0,,
az-527,geography,—,Göygöl gölü harada yerləşir?,Kiçik Qafqazda,Sual: Göygöl gölü harada yerləşir,"Sual: Göygöl gölü harada yerləşir?  
Cavab: Məsələ, Göygöl gö",0.0,0.0,,
az-534,geography,—,Neftçala rayonu harada yerləşir?,Kür-Araz düzündə,Qaşqı,"Qaşqı

Sual: Neftçala rayonu harada yerləşir?
Cavab: Qaşq",0.0,0.0,,
az-558,science,—,İnsan bədənində neçə əzələ var?,600-dən çox,12,12,0.0,0.0,,
az-571,science,—,Atom nömrəsi 79 olan element hansıdır?,Qizil,Cesium,Cesium,0.0,0.0,,
az-576,science,—,Ən isti planet hansıdır?,Venera,Qeyri-planet,Qeyri-planet,0.0,0.0,,
az-594,culture,—,Azərbaycanda xalçaçılıq nə vaxt yaranıb?,Qədim dövrlərdə,1936-yı ildə,Cavab: 1936-yı ildə,0.0,0.0,,
az-606,culture,—,Şəkərbura hansı bayramda hazırlanır?,Novruz,Qurban,Cavab: Qurban,0.0,0.0,,
az-609,culture,—,Azərbaycanda çay məclisləri nə vaxt olur?,Hər gün,Qarabağda,Cavab: Qarabağda,0.0,0.0,,
az-610,culture,—,Azərbaycanda çay necə içilir?,Armududa,Qaynaydırırıq,Qaynaydırırıq.,0.0,0.0,,
