model,id,sual,qızıl cavab,modelin cavabı,etiket,qeyd
issai__Qwen3.5-4B-Base-Kazakh,az-041,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,1925,faktual,
issai__Qwen3.5-4B-Base-Kazakh,az-049,İlham Əliyev harada anadan olub?,Bakı,"Azərbaycan, Baku",format,
issai__Qwen3.5-4B-Base-Kazakh,az-079,Çinin dövlət dili necə adlanır?,Putonqhua,Çin dili (Mandarin),başqa dil,"yenidən etiketləndi (format -> başqa dil): eyni anlayış, başqa dildə"
issai__Qwen3.5-4B-Base-Kazakh,az-100,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Qahirə,mənasız,Qahirə sualla əlaqəsizdir; model ardıcıl olaraq eyni şəhərə yapışıb.
issai__Qwen3.5-4B-Base-Kazakh,az-1001,Müslüm Maqomayev harada anadan olub?,Qroznı,Müslüm Maqomayev Azərbaycanın Quba rayonunda anadan olub,faktual,
issai__Qwen3.5-4B-Base-Kazakh,az-1003,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Qafqazda (Qafqazda),faktual,
issai__Qwen3.5-4B-Base-Kazakh,az-1006,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Qətan Təbrizinin doğulduğu yer — Qətan,mənasız,
issai__Qwen3.5-4B-Base-Kazakh,az-1013,Firidun bəy Köçərli harada vəfat edib?,Gəncə,Qahirə,mənasız,
issai__Qwen3.5-4B-Base-Kazakh,az-1017,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,Mirvarid Dilbazi Qahirə şəhərində dəfn olunub,mənasız,
issai__Qwen3.5-4B-Base-Kazakh,az-1019,Ümgülsüm Sadıqzadə hansı yerdə torpağa tapşırılıb?,Şaxəndan,Qahirə,mənasız,
issai__Qwen3.5-4B-Base-Kazakh,az-1035,Mikayıl Müşfiq harada təhsil alıb?,Bakı Dövlət Universiteti,Qazaxstanda,faktual,
