id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,Sual: Cavabın yalnızca 100000000000000000,Sual: Cavabın yalnızca 100000000000000000,0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Sual: Cavabın yalnızca 100000000000000000,Sual: Cavabın yalnızca 100000000000000000,0.0,0.0,,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,Sual: Cavabın yalnızca 1000 savaşını yapıyor,Sual: Cavabın yalnızca 1000 savaşını yapıyor.,0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,"Sual: Cavabın yalnızca 1 adımda yazılmış olup, 2 adı","Sual: Cavabın yalnızca 1 adımda yazılmış olup, 2 adı",0.0,0.0,,
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,"Sual: Cavabın yalnız cavabı yazın - cümlə qurma, izahat ver","Sual: Cavabın yalnız cavabı yazın - cümlə qurma, izahat ver",0.0,0.0,,
az-082,language,1,Birləşmiş Krallıqda hansı dil rəsmi dildir?,ingilis dili,"Sual: Cavabın yalnız cavabı yazın - cümlə qurma, izahat ver","Sual: Cavabın yalnız cavabı yazın - cümlə qurma, izahat ver",0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Sual: Cavabın yalnız cavabı yazılır. Cavabın yazılır,Sual: Cavabın yalnız cavabı yazılır. Cavabın yazılır,0.0,0.0,,
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,Sual: Cavabın yalnız cavabı yazılır,"Sual: Cavabın yalnız cavabı yazılır.

Cavab: Yalnı",0.0,0.0,,
az-1007,culture,2,Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəsində dünyaya gəlib?,Şuşa,"Sual: Cavabın yalnız cavabı yazın - cümlə qurma, izahat ver","Sual: Cavabın yalnız cavabı yazın - cümlə qurma, izahat ver",0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Sual: Cavabın yalnızca 1000 savaşını yapıyor,Sual: Cavabın yalnızca 1000 savaşını yapıyor.,0.0,0.0,,
az-1014,history,1,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,Sual: Cavabın yalnızca 100000000000000000,Sual: Cavabın yalnızca 100000000000000000,0.0,0.0,,
