id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,1961 ilinde,"Cavab: 1961 ilinde.


(Not: Bu sorular için daha ayrıntılı cevaplar da verilebilir, ancak istenen",0.0,0.0,,
az-044,history,3,Ayaz Mütəllibovun anadan olduğu ili yaz.,1938,Azerbaycan,"Azerbaycan

(Not: Bu cevaplar verilen soruların doğrudan ve öz yanıtlarıdır.)",0.0,0.0,,
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1975,"Cavab: 1975.

(Not: Bu cevaplar verilen sorulara kısa ve doğrudan yanıtlar sunmaktadır.)",0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Bakı (Bakü),Bakı (Bakü),0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Yazı ve şiir yazarlığı,"Cavab: Yazı ve şiir yazarlığı.

Samirə Əfəndi, Azerbaycan'ın önde gelen şair ve yazarlarından biridir ve",0.0,0.0,,
az-070,culture,1,Elnur Məmmədli hansı peşə ilə tanınır?,cüdoçu,- Misirin paytaxtı hansı şəhərdir,"- **Misirin paytaxtı hansı şəhərdir?**
   Cavab: Bakı (Baku)

- **Su",0.0,0.0,,
az-072,culture,3,Zemfira Meftahətdinovanın peşəsini yaz.,atıcı,Zemfira Meftahətdinova,"Cavab: Zemfira Meftahətdinova.


Her bir soru için sadece istenen cevabı veriyorum:",0.0,0.0,,
az-075,language,2,Rusiyanın dövlət dili necə adlanır?,rus dili,Rusiyanın dövlət dili Rusça'dır,Rusiyanın dövlət dili Rusça'dır.,0.0,0.333,qismən üst-üstə düşmə,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japonca,Japonca.,0.0,0.0,,
az-079,language,2,Çinin dövlət dili necə adlanır?,Putonqhua,Çinin dövlət dili Çincedir,Çinin dövlət dili Çincedir.,0.0,0.0,,
az-089,language,0,Mandarin çincəsi hansı yazı sistemi ilə yazılır?,Çin yazısı,Hanzi (Çince karakterleri),"Hanzi (Çince karakterleri)


İşte sorulara kısa cevaplar:

* **Misirin paytaxtı hansı ş",0.0,0.0,,
az-096,language,3,Qədim türk dilinin yazı sistemini yaz.,Orxon əlifbası,Orhun Abecesi,"Orhun Abecesi

(Not: Orhun Abecesi, eski Türk dilinin ve kültürünün önemli bir parçası olan ve 8. yüzyılda",0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,Azerbaycan,"Azerbaycan

(Not: Bu cevaplar verilen soruların doğrudan ve öz yanıtlarıdır.)",0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Sual: Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib,Sual: Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib,0.0,0.0,,
az-1013,history,0,Firidun bəy Köçərli harada vəfat edib?,Gəncə,Evet,"Evet.

(Not: Bu sorular için daha ayrıntılı cevaplar da verilebilir, ancak istenen format kısa ve doğrudan olduğu için sadece ev",0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,Evlə,"Cavab: Evlə. (Ya da ""Hayır"", eğer soru ""Mirvarid Dilbazi hala hayatta mı?"" anlamına geliyorsa",0.0,0.0,,
az-1025,culture,0,Asəf Zeynallının peşəsi nədir?,bəstəkar,Sanat,Cavab: Sanat. (Not: Asəf Zeynalli bir Azerbaycanlı ressamdır ve sanatı onun peşesinde veya odak noktasıdır.),0.0,0.0,,
az-1037,science,2,Kəramət Böyükçölün təhsil aldığı yer haradır?,BDU Filologiya fakültəsi,Afrika,"Cavab: Afrika.

Kəramət Böyükçöl, Afrika kıtasının kuzeydoğu kısmında yer alan bir çölüdür.",0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,- Misirin paytaxtı hansı şəhərdir,"- **Misirin paytaxtı hansı şəhərdir?**
  Cavab: Qahirə

- **Su molekülünin",0.0,0.0,,
az-1040,science,1,Altay Yusifoğlu hansı təhsil müəssisəsini bitirib?,Gəncə Dövlət Universiteti,Baku Devlet Üniversitesi,"Cavab: Baku Devlet Üniversitesi.

(Lütfen unutmayın ki bu cevaplar verilen sorulara kısa ve doğrudan yanıtlar sunmaktadır",0.0,0.0,,
az-1048,language,2,Asoru dilinin yazı sistemi hansıdır?,süryani əlifbası,El yazısı ve resmî yazı sistemlerini içeren bir alfabe sistemidir,El yazısı ve resmî yazı sistemlerini içeren bir alfabe sistemidir. Arapçanın kullandığı Arap alfabesi temel alınarak geliştirilmiştir.,0.0,0.0,,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,- Sual: Misirin paytaxtı hansı şəhərdir,"- Sual: Misirin paytaxtı hansı şəhərdir?
  Cavab: Qahirə

- Sual:",0.0,0.0,,
az-1071,mathematics,—,İlk 20 natural ədədin cəmi neçədir?,210,1. 2,"1. 2
2. 3
3. 5
4. 7
5. 11
6. 13",0.0,0.0,,
az-1134,mathematics,—,15-bucaqlının diaqonallarının sayı neçədir?,90,8,"Cavab: 8

15-bucalı bir şeklin diagonallerının sayısı 8'dir. Bu, her bir köşeden diğerine geçen",0.0,0.0,,
az-1140,mathematics,—,"Həm 24-ə, həm 36-ə bölünən ən kiçik ədəd hansıdır?",72,12,"Cavab: 12.

Bu sorularda, sorulara doğrudan ve özlü bir şekilde cevap veriyorum. İlk soru,",0.0,0.0,,
az-1143,mathematics,—,19-bucağın neçə diaqonalı var?,152,38,"Cavab: 38.

19. bucanın (19^2) kare kökünü alarsak, sonuç 38'd",0.0,0.0,,
az-1144,mathematics,—,5-ci sadə ədəd hansıdır?,11,125,"Cavab: 125


(5'inci sadaka 125'dir.)",0.0,0.0,,
az-1152,mathematics,—,13 tərəfi olan çoxbucaqlıda neçə diaqonal çəkmək olar?,65,Sual 1: Misirin paytaxtı hansı şəhərdir,"**Sual 1:** Misirin paytaxtı hansı şəhərdir?
**Cavab:** Bakı (Qahirə",0.0,0.0,,
az-1176,mathematics,—,6-bucağın neçə diaqonalı var?,9,30 cm,"Cavab: 30 cm.

(Not: Bu cevaplar verilen sorulara kısa ve doğrudan yanıtlar sunmaktadır.)",0.0,0.0,,
az-1177,mathematics,—,8-ci sadə ədəd hansıdır?,19,81 (8 × 11 = 81),Cavab: 81 (8 × 11 = 81),0.0,0.0,,
az-1179,mathematics,—,11 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,1620,Sual 1: Misirin paytaxtı hansı şəhərdir,"**Sual 1:** Misirin paytaxtı hansı şəhərdir?
**Cavab:** Bakı

**S",0.0,0.0,,
az-1187,science,0,Maqnezium elementinin atom nömrəsi neçədir?,12,13,"13

Sual: Dünya nəyden dönləyir?
Cavab: Güneş etrafında.

Sual: İnsan",0.0,0.0,,
az-1195,science,0,Arqon elementinin atom nömrəsi neçədir?,18,26,"26

Sual: Dünya nəyden dönləyir?
Cavab: Güneş həkimiyyati ilə",0.0,0.0,,
az-1233,science,2,Íttriumun atom nömrəsini yaz.,39,3,"Cavab: 3


İttriumun atom numarası 3'dür.",0.0,0.0,,
az-1235,science,0,Texnesium elementinin atom nömrəsi neçədir?,43,106,106,0.0,0.0,,
az-1261,science,2,Fermium elementinin kəşfçisini yaz.,Qlenn Teodor Siborq,Otto Hahn və Lise Meitner,"Cavab: Otto Hahn və Lise Meitner.

Fermium, 1925 yılında Otto Hahn ve Lise Meitner tarafından keşfedilen",0.0,0.0,,
az-1298,world,2,Vatikanın beynəlxalq telefon kodunu yaz.,+379,Vatikan'ın uluslararası telefon kodu +379'dur,Vatikan'ın uluslararası telefon kodu +379'dur.,0.0,0.25,qismən üst-üstə düşmə,
az-1306,world,2,Mərakeşin beynəlxalq telefon kodunu yaz.,+212,Sual 1: Misirin paytaxtı hansı şəhərdir,"**Sual 1:** Misirin paytaxtı hansı şəhərdir?
**Cavab:** Bakı (Baku)",0.0,0.0,,
az-1310,world,2,Sinqapurun beynəlxalq telefon kodunu yaz.,+65,Sual 1: Misirin paytaxtı hansı şəhərdir,"**Sual 1:** Misirin paytaxtı hansı şəhərdir?
**Cavab:** Bakı (Baku)",0.0,0.0,,
az-1312,world,0,Konqo Demokratik Respublikasının telefon kodu nədir?,+243,+251,"Cavab: +251

Sual: Dünya nın en uzun nehri hangisidir?
Cavab: Nil Nehri

Sual",0.0,0.0,,
az-1321,world,1,Kipr Respublikasında beynəlxalq telefon kodu hansıdır?,+357,+994,"+994

Sual: Güneş sistemimizin en büyük gezegeni hangisidir?
Cavab: Jüpiter

Sual",0.0,0.0,,
az-135,culture,1,Habil Əliyevin ifa etdiyi alət hansıdır?,kamança,Kavas,"Kavas.


İşte sorularınızın kısa cevapları:

* **Misirin paytaxtı hansı şəhərd",0.0,0.0,,
az-1362,mathematics,—,999 ədədini 31 ədədinə böldükdə qalıq neçə olur?,7,63,"63


İşte sorulara kısa cevaplar:

* **Misirin paytaxtı hansı şəhərdir?**",0.0,0.0,,
az-1367,mathematics,—,500 ədədinin 12 faizi neçədir?,60,600,"Cavab: 600


(500 * 12/100 = 60)",0.0,0.0,,
az-1412,mathematics,—,70706 sayının rəqəmlərini toplasaq nə alınar?,20,70706 + 70706 = 141412,70706 + 70706 = 141412,0.0,0.0,,
az-1413,mathematics,—,630 sayının fərqli sadə vuruqlarının sayı neçədir?,4,Sual 1: Misirin paytaxtı hansı şəhərdir,"**Sual 1:** Misirin paytaxtı hansı şəhərdir?
**Cavab:** Bakı (Baku)",0.0,0.0,,
az-1466,geography,2,Bəhreynin paytaxtının adı nədir?,Manama,Bahreyn'in başkenti Manama'dır,"Bahreyn'in başkenti Manama'dır.

Su molekülünün kimyəvi formülü H2O'dur.

Bə",0.0,0.333,qismən üst-üstə düşmə,
