id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-029,science,0,Oksigen elementinin kimyəvi simvolu nədir?,O,O₂,O₂,0.0,0.0,,
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1975 жылы,1975 жылы,0.0,0.0,"kiril, zəncir bərpa etmir",
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,Нигерияның астанасы Лагос,Нигерияның астанасы Лагос.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-056,culture,3,Xetaq Qazyumovun doğum yerini yaz.,Alagir,Хетақ Қазыумовтың туған жерін анықтау үшін оның,Хетақ Қазыумовтың туған жерін анықтау үшін оның,0.0,0.0,"kiril, zəncir bərpa etmir",
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Радик Исаевтың туған жерін анықтау үшін оның толық,Радик Исаевтың туған жерін анықтау үшін оның толық,0.0,0.0,"kiril, zəncir bərpa etmir",
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Самире Афенді әнші ретінде танымал,Самире Афенді әнші ретінде танымал.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Махир Эмрелинің негізгі саласы — музыка,Махир Эмрелинің негізгі саласы — музыка.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-073,language,0,Fransanın rəsmi dili hansıdır?,fransız dili,Француз тілі,Француз тілі,0.0,0.0,"kiril, zəncir bərpa etmir",
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,Неміс тілі,Неміс тілі,0.0,0.0,"kiril, zəncir bərpa etmir",
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Кириллица,Кириллица,0.0,0.0,"kiril, zəncir bərpa etmir",
