id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-021,geography,0,Kanadanın pul vahidi nədir?,Kanada dolları,Dolar,Dolar,0.0,0.0,,
az-023,geography,2,Norveçin rəsmi valyutası necə adlanır?,Norveç kronu,Krona,Krona,0.0,0.0,,
az-036,science,3,Kükürd elementinin simvolunu yaz.,S,S: Misirin paytaxtı hansı şəhərdir,"S: Misirin paytaxtı hansı şəhərdir?
C: Qahirə

S: Kükürd elementinin simvol",0.0,0.333,qismən üst-üstə düşmə,
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,1936,1936,0.0,0.0,,
az-042,history,1,Müslüm Maqomayev neçənci ildə doğulub?,1942,1935,1935,0.0,0.0,,
az-051,culture,2,Mehriban Əliyeva hansı yaşayış məntəqəsində dünyaya gəlib?,Bakı,Baku,Baku,1.0,0.0,morfologiya,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Qahirə,Qahirə,0.0,0.0,,
az-079,language,2,Çinin dövlət dili necə adlanır?,Putonqhua,Çin dili,Çin dili,0.0,0.0,,
az-084,language,3,Ukraynanın rəsmi dilini yaz.,ukrain dili,Ukrayna dilidir,Ukrayna dilidir.,0.0,0.667,qismən üst-üstə düşmə,
az-092,language,3,Kalmık dilinin yazı sistemini yaz.,kiril əlifbası,Qahirə,Qahirə,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Təbriz,Təbriz,0.0,0.0,,
az-1021,culture,0,Bəhruz Kəngərli harada dəfn olunub?,Naxçıvan,Bəhruz Kəngərli Bakıda dəfn olunub,Bəhruz Kəngərli Bakıda dəfn olunub.,0.0,0.0,,
az-1026,culture,1,Cəmil Əmirov nə ilə məşğul olub?,musiqiçi,Qahirə,Qahirə,0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Qahirə,Qahirə,0.0,0.0,,
az-1035,science,0,Mikayıl Müşfiq harada təhsil alıb?,Bakı Dövlət Universiteti,Baku,Baku.,0.0,0.0,,
az-1037,science,2,Kəramət Böyükçölün təhsil aldığı yer haradır?,BDU Filologiya fakültəsi,Qahirə,Qahirə,0.0,0.0,,
az-1042,science,3,Nafiə Abidin təhsil müəssisəsini yaz.,İstanbul Universiteti,Qahirə,Qahirə,0.0,0.0,,
az-1054,history,0,Gövhər ağa məscidinin memarı kimdir?,Kərbəlayı Səfixan Qarabaği,Əli bəy Vəlisi,Əli bəy Vəlisi,0.0,0.0,,
az-1060,history,2,Molla Əhməd Məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Qahirə,Qahirə,0.0,0.0,,
az-1090,mathematics,—,Bölənlərinin sayını tap: 72.,12,6,6,0.0,0.0,,
az-1116,mathematics,—,7 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,900,Qahirə,Qahirə,0.0,0.0,,
az-1127,mathematics,—,9-cu sadə ədədi yaz.,23,7,7,0.0,0.0,,
