id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,1920,1920,0.0,0.0,,
az-044,history,3,Ayaz Mütəllibovun anadan olduğu ili yaz.,1938,1949,1949,0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Qarabağ (Qarabağ),Qarabağ (Qarabağ),0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Sənətçə,Sənətçə,0.0,0.0,,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japonca,Cavab: Japonca,0.0,0.0,,
az-079,language,2,Çinin dövlət dili necə adlanır?,Putonqhua,Mandarın dilе,Mandarın dilе.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,Siyahat (Devanagari),Siyahat (Devanagari),0.0,0.667,qismən üst-üstə düşmə,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1994,1994,0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Seyid Cəfər Pişəvəri (1906–1974) — İranlı məd,Seyid Cəfər Pişəvəri (1906–1974) — İranlı məd,0.0,0.0,,
az-1013,history,0,Firidun bəy Köçərli harada vəfat edib?,Gəncə,Firidun bəy Köçərli vəfat edib,Firidun bəy Köçərli vəfat edib.,0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,Xalq-ərəbistan (Xalq-ərəbistan) — Mirvarid Dilbazi (,Cavab: Xalq-ərəbistan (Xalq-ərəbistan) — Mirvarid Dilbazi (,0.0,0.0,,
az-1025,culture,0,Asəf Zeynallının peşəsi nədir?,bəstəkar,Asəf Zeynallının peşəsi — mədəniyyətçilər (tərzi,Asəf Zeynallının peşəsi — **mədəniyyətçilər** (tərzi,0.0,0.0,,
az-1032,culture,3,Əli Vəkilin fəaliyyət növünü yaz.,tərcüməçi,Əli Vəkilin fəaliyyət növü — hukuk,Əli Vəkilin fəaliyyət növü — **hukuk**.,0.0,0.0,,
az-1036,science,1,Müslüm Maqomayev hansı təhsil müəssisəsini bitirib?,Zaqafqaziya Müəllimlər Seminariyası,Müslüm Maqomayev — Ərəbistanın Ərabiya Bərəcəsi (Ər,Müslüm Maqomayev — Ərəbistanın Ərabiya Bərəcəsi (Ər,0.0,0.0,,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Bakü Universiteti,Bakü Universiteti,0.0,0.0,,
az-1047,language,1,Altay dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Altay dili — Xəzər yazı sistemində,Altay dili — Xəzər yazı sistemində.,0.0,0.0,,
az-1048,language,2,Asoru dilinin yazı sistemi hansıdır?,süryani əlifbası,Latin alphabet (Layman alphabet),Cavab: Latin alphabet (Layman alphabet),0.0,0.0,,
az-1068,mathematics,—,8-bucağın neçə diaqonalı var?,20,18,18,0.0,0.0,,
az-1096,mathematics,—,6-bucaqlının bütün daxili bucaqları toplananda neçə dərəcə alınır?,720,180 dərəcə,180 dərəcə,0.0,0.5,qismən üst-üstə düşmə,
az-1106,mathematics,—,14-bucağın daxili bucaqlarının cəmi neçə dərəcədir?,2160,180 dərəcə,180 dərəcə.,0.0,0.5,qismən üst-üstə düşmə,
az-1118,mathematics,—,Sadə ədədlər sırasında 11-ci ədəd nədir?,31,71,71,0.0,0.0,,
az-1131,mathematics,—,"Ən kiçik ortaq bölünənini tap: 45, 75.",225,15,15,0.0,0.0,,
az-1155,mathematics,—,120-in bölənlərinin sayı neçədir?,16,17,17,0.0,0.0,,
az-1194,science,3,Bor elementində neçə proton var?,5,11,11,0.0,0.0,,
az-1221,science,2,Bismutun atom nömrəsini yaz.,83,112,112,0.0,0.0,,
az-1247,science,0,Maqnezium elementini kim kəşf edib?,Cozef Blek,Даниэль Берталло,Даниэль Берталло.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1262,science,3,Hansı alim Nobelium elementini kəşf etmişdir?,Qlenn Teodor Siborq,Д.И. Менделеев,Cavab: Д.И. Менделеев,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1278,world,2,Macarıstanın beynəlxalq telefon kodunu yaz.,+36,+57,+57,0.0,0.0,,
az-1287,world,3,Hansı telefon kodu İraqın aiddir?,+964,+963,+963,0.0,0.0,,
az-1289,world,1,Qazaxıstanda beynəlxalq telefon kodu hansıdır?,+7,+994,+994,0.0,0.0,,
az-1296,world,0,Venesuelanın telefon kodu nədir?,+58,393,393,0.0,0.0,,
az-1302,world,2,Keniyanın beynəlxalq telefon kodunu yaz.,+254,+253,+253,0.0,0.0,,
az-1322,world,2,Qananın beynəlxalq telefon kodunu yaz.,+233,+20,+20,0.0,0.0,,
az-1338,mathematics,—,250 sayının 16 faizi nə qədər edir?,40,100,100,0.0,0.0,,
az-1379,mathematics,—,7 saatda neçə saniyə var?,25200,42000,42000,0.0,0.0,,
az-1404,mathematics,—,"Üçbucağın iki bucağı 55 və 60 dərəcədirsə, üçüncü bucaq neçə dərəcədir?",65,75 dərəcə,75 dərəcə,0.0,0.5,qismən üst-üstə düşmə,
az-1408,mathematics,—,10 ilə 20 arasındakı bütün tam ədədlərin cəmi neçədir (hər ikisi daxil olmaqla)?,165,145,145,0.0,0.0,,
az-1432,mathematics,—,27356 ədədindəki rəqəmlərin cəmi nə qədərdir?,23,19,19,0.0,0.0,,
az-1446,geography,2,Qırğızıstanın paytaxtının adı nədir?,Bişkek,Баку,Баку,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1463,geography,3,Burkina-Fasonun paytaxtını yaz.,Uaqaduqu,Bouaké,Bouaké,0.0,0.0,,
az-1467,geography,3,Tacikistanın paytaxtını yaz.,Düşənbə,Tacikistanın paytaxtı — Душанбе (Dushanbe),Tacikistanın paytaxtı — Душанбе (Dushanbe).,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1479,geography,3,Konqo Respublikasının paytaxtını yaz.,Brazzavil,Конго Respublikasının paytaxtı — Банка,Конго Respublikasının paytaxtı — Банка.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1481,geography,1,Hansı şəhər Bruneyin paytaxtıdır?,Bandar Seri Begavan,Кабул,Кабул.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1495,geography,3,Papua-Yeni Qvineyanın paytaxtını yaz.,Port Morsbi,Port Moresby,Port Moresby,0.0,0.5,qismən üst-üstə düşmə,
az-1502,geography,2,Cənubi Sudanın paytaxtının adı nədir?,Cuba,Khartum,Khartum,0.0,0.0,,
az-1509,geography,1,Hansı şəhər Barbadosun paytaxtıdır?,Brictaun,Bridgetown,Bridgetown,0.0,0.0,,
az-1521,geography,1,Hansı şəhər Solomon adalarının paytaxtıdır?,Honiara,Sabaq,Sabaq.,0.0,0.0,,
az-1546,geography,2,Fələstin Dövlətinin rəsmi valyutası necə adlanır?,Yeni İsrail şekeli,ШАФАР (Shafar),Cavab: ШАФАР (Shafar),0.0,0.0,"kiril, zəncir bərpa etmir",
az-1556,language,2,Özbəkistanın dövlət dili necə adlanır?,özbək dili,Тошкент (Ташкент),Cavab: Тошкент (Ташкент),0.0,0.0,"kiril, zəncir bərpa etmir",
az-1561,language,3,Şimali Kiprin rəsmi dilini yaz.,türk dili,Kiprin dilini yaz,Cavab: Kiprin dilini yaz.,0.0,0.4,qismən üst-üstə düşmə,
az-1566,science,0,Lutesium elementinin atom nömrəsi neçədir?,71,57,57,0.0,0.0,,
az-1567,science,1,Dövri cədvəldə Protaktinium hansı nömrə ilə durur?,91,70,70,0.0,0.0,,
az-1569,science,3,Kalifornium elementində neçə proton var?,98,94,94,0.0,0.0,,
az-519,geography,—,Abşeron yarımadası harada yerləşir?,Xəzər dənizində,Avrasiya mərkəzinə,Avrasiya mərkəzinə.,0.0,0.0,,
az-524,geography,—,Azərbaycanın ən quru regionu hansıdır?,Abşeron,Qırıq-çam (Qırıqçam),Qırıq-çam (Qırıqçam),0.0,0.0,,
az-528,geography,—,Qarabağ düzü harada yerləşir?,Mərkəzi Azərbaycanda,"Qarabağ düzü — Azərbaycan Respublikasının Qarabağ Rayonu, Qarabağ Rayonu","Qarabağ düzü — Azərbaycan Respublikasının Qarabağ Rayonu, Qarabağ Rayonu",0.0,0.0,,
az-548,science,—,Yerin əsas qatları hansılardır?,"Qabiq, mantiya, nüvə","Əsas qatlar: qurt, qurt-çökmə, qurt-çökmə-çökmə, q","Əsas qatlar: qurt, qurt-çökmə, qurt-çökmə-çökmə, q",0.0,0.0,,
az-549,science,—,Səsin sürəti havada neçədir?,340 m/s,343 m/s,343 m/s,0.0,0.667,qismən üst-üstə düşmə,
az-559,science,—,İnsan ürəyi dəqiqədə neçə dəfə döyur?,60-100 dəfə,120-140 dəqiqədə 60-80 dəfə,120-140 dəqiqədə 60-80 dəfə.,0.0,0.444,qismən üst-üstə düşmə,
az-561,science,—,İnsan ömrü orta hesabla neçə ildir?,70-80 il,70 ildən 80 ildəkədə,70 ildən 80 ildəkədə.,0.0,0.857,qismən üst-üstə düşmə,
az-565,science,—,Ən yungul element hansıdır?,Hidrogen,Hidrogen (H),Cavab: Hidrogen (H),0.0,0.667,qismən üst-üstə düşmə,
az-583,culture,—,Səməd Vurğunun əsas əsəri hansıdır?,Vaqif,"Səməd Vurğunun əsas əsəri — ""Əl-Əsər-i Məs","Səməd Vurğunun əsas əsəri — **""Əl-Əsər-i Məs",0.0,0.0,,
az-587,culture,—,Qara Qarayev hansı əsərin müəllifidir?,Yeddi gözəl,"Qara Qarayev — Əsər ""Qara Qarayev"" — Əsərin müəllifi Q","Qara Qarayev — Əsər ""Qara Qarayev"" — Əsərin müəllifi **Q",0.0,0.0,,
az-601,culture,—,Novruz bayramında neçə növ şirniyyat olmalidir?,7 növ,10 növ ширният,10 növ ширният.,0.0,0.4,"kiril, zəncir bərpa etmir",
az-608,culture,—,Qoğal hansı bayramda hazırlanır?,Novruz,Qoğal — Əlveran Bayramında,Qoğal — Əlveran Bayramında.,0.0,0.0,,
az-616,culture,—,İlk Azərbaycan filmi hansıdır?,Neft və milyonlar səltənətində,"Ələk"" (1911) — Azərbaycanın ilk filmini qeyd edən Ələ","""Ələk"" (1911) — Azərbaycanın ilk filmini qeyd edən Ələ",0.0,0.0,,
az-617,culture,—,Azərbaycanda ilk rəssam kimdir?,Mir Möhsun Nəvvab,Sərgətər,Sərgətər.,0.0,0.0,,
az-619,language,—,Azərbaycan əlifbasinda neçə hərf var?,32 hərf,29,29,0.0,0.0,,
az-623,language,—,Azərbaycan ədəbi dilin əsası hansı ləhqədir?,Bakıda ləhqəsi,Qərəz (Qərəz) — Azərbaycan ədəbi dilinin əsas ləhq,Qərəz (Qərəz) — Azərbaycan ədəbi dilinin əsas ləhq,0.0,0.0,,
az-633,language,—,Azərbaycan dilində yiyəlik hal sualları hansılardır?,Kimin? Nəyin?,"Səhər"", ""yaxın"", ""yaxın"", ""yaxın""","Cavab: ""Səhər"", ""yaxın"", ""yaxın"", ""yaxın"".",0.0,0.0,,
az-635,language,—,Azərbaycan dilində çoxluq şəkilçisi hansıdır?,"-lar, -lər",ədət,"Cavab: ""ədət""",0.0,0.0,,
az-640,language,—,Azərbaycan dilində gələcək zaman şəkilçisi hansıdır?,"-acaq, -əcək",gələcək,Cavab: **gələcək**,0.0,0.0,,
az-643,language,—,Azərbaycan dilində inkar şəkilçisi hansıdır?,"-ma, -mə",Yox,"""Yox""",0.0,0.0,,
az-661,culture,—,Azərbaycanın ən çox medal qazandigi idman növ hansıdır?,Guləş,Olimpiya oyunlarında ən çox medal qazandığı idman növü — boks,Cavab: Olimpiya oyunlarında ən çox medal qazandığı idman növü — **boks**,0.0,0.0,,
