id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,,,0.0,0.0,boş cavab,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,,,0.0,0.0,boş cavab,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,Yes,Yes,0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,,,0.0,0.0,boş cavab,
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,,,0.0,0.0,boş cavab,
az-082,language,1,Birləşmiş Krallıqda hansı dil rəsmi dildir?,ingilis dili,,,0.0,0.0,boş cavab,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Yes,Yes,0.0,0.0,,
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,,,0.0,0.0,boş cavab,
az-1007,culture,2,Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəsində dünyaya gəlib?,Şuşa,Yes,Yes,0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,No,No,0.0,0.0,,
az-1014,history,1,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,,,0.0,0.0,boş cavab,
az-1016,history,3,Bəhruz Kəngərlinin vəfat yerini yaz.,Naxçıvan,,,0.0,0.0,boş cavab,
az-1019,culture,2,Ümgülsüm Sadıqzadə hansı yerdə torpağa tapşırılıb?,Şaxəndan,,,0.0,0.0,boş cavab,
az-1020,culture,3,Seyid Əzim Şirvaninin dəfn yerini yaz.,Şaxəndan,,,0.0,0.0,boş cavab,
az-1023,culture,2,Zeynalabdin Şirvani hansı yerdə torpağa tapşırılıb?,Məkkə,Şirvani,Şirvani,0.0,0.0,,
