id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-036,science,3,Kükürd elementinin simvolunu yaz.,S,C,"Sual: Kükürd elementinin simvolunu yaz.
Cavab: C

Sual: Kükürd elementinin sim",0.0,0.0,,
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,18,"Sual: Heydər Əliyev neçənci ildə doğulub?
Cavab: 18",0.0,0.0,,
az-043,history,2,Teymur Rəcəbovun doğum ili hansıdır?,1987,1950,"Sual: Teymur Rəcəbovun doğum ili hansıdır?
Cavab: 1950",0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,İszakı,"Sual: Radik İsayevin doğum yerini yaz.
Cavab: İszakı

Sual: Radik İsayevin doğ",0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Məd,"Sual: Samirə Əfəndi hansı peşə ilə tanınır?
Cavab: Məd",0.0,0.0,,
az-080,language,3,Avstraliyanın rəsmi dilini yaz.,ingilis dili,English,"Sual: Avstraliyanın rəsmi dilini yaz.
Cavab: English

Sual: Avstraliyanın",0.0,0.0,,
az-085,language,0,İspan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Latin,"Sual: İspan dili hansı yazı sistemi ilə yazılır?
Cavab: Latin

Sual: İsp",0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Sual: Misirin paytaxtı hansı şəhərdir,"Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə

Sual:",0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Mər,"Sual: Yuxarı Gövhərağa məscidinin memarının adını yaz.
Cavab: Mər",0.0,0.0,,
az-1009,history,0,Müslüm Maqomayev harada vəfat edib?,Nalçik,Sual: Misirin paytaxtı hansı şəhərdir,"Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə

Sual:",0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Biologiya,"Sual: Zeynalabdin İsgəndərovun peşəsi nədir?
Cavab: Biologiya

S",0.0,0.0,,
az-1034,language,1,Vladimir Qafarovun əsərləri hansı dildədir?,rus dili,Sual: Misirin paytaxtı hansı şəhərdir,"Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə

Sual:",0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Sual: Misirin paytaxtı hansı şəhərdir,"Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə

Sual:",0.0,0.0,,
az-1044,geography,0,Bayıl qalası hansı inzibati ərazidə yerləşir?,Bakı,Bayıl,"Sual: Bayıl qalası hansı inzibati ərazidə yerləşir?
Cavab: Bayıl",0.0,0.0,,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,Cavab,"Sual: Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?
Cavab",0.0,0.0,,
az-1057,history,3,Vaqif türbəsinin memarının adını yaz.,Əbdülvahab Salamzadə,Sual: Misirin paytaxtı hansı şəhərdir,"Sual: Misirin paytaxtı hansı şəhərdir?
Cavab: Qahirə

Sual:",0.0,0.0,,
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,Azad Qadın hey,"Sual: Azad qadın heykəli kimin layihəsidir?
Cavab: Azad Qadın hey",0.0,0.0,,
az-1063,geography,1,Oxçuçayın mənsəbi haradır?,Araz,1999,"Sual: Oxçuçayın mənsəbi haradır?
Cavab: 1999

Sual: Oxçu",0.0,0.0,,
az-1078,mathematics,—,Sadə ədədlər sırasında 16-cı ədəd nədir?,53,C,"Sual: Sadə ədədlər sırasında 16-cı ədəd nədir?
C",0.0,0.0,,
az-1083,mathematics,—,27 ilə 36-nin ƏKOB-u nədir?,108,9,"Sual: 27 ilə 36-nin ƏKOB-u nədir?
Cavab: 9

Sual",0.0,0.0,,
az-1096,mathematics,—,6-bucaqlının bütün daxili bucaqları toplananda neçə dərəcə alınır?,720,Sual: 6-bucaqlının bütün daxili bucaqları toplananda neçə dərəcə al,Sual: 6-bucaqlının bütün daxili bucaqları toplananda neçə dərəcə al,0.0,0.167,qismən üst-üstə düşmə,
az-1099,mathematics,—,80-dən böyük sadə ədədlərin ən kiçiyi neçədir?,83,Sual: 80-dən böyük sadə ədədlərin ən kiçiyi neçədir,Sual: 80-dən böyük sadə ədədlərin ən kiçiyi neçədir?,0.0,0.0,,
az-1108,mathematics,—,13-cü sadə ədəd hansıdır?,41,13,"Sual: 13-cü sadə ədəd hansıdır?
Cavab: 13

Sual:",0.0,0.0,,
