id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-039,history,2,Mehriban Əliyevanın doğum ili hansıdır?,1964,1988,1988,0.0,0.0,,
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,1987,1987,0.0,0.0,,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,1988,1988,0.0,0.0,,
az-051,culture,2,Mehriban Əliyeva hansı yaşayış məntəqəsində dünyaya gəlib?,Bakı,Qarabağ məntəqəsində,Qarabağ məntəqəsində,0.0,0.0,,
az-057,culture,0,Rüstəm Orucov harada anadan olub?,İrkutsk,Azerbaycan,Azerbaycan,0.0,0.0,,
az-067,culture,2,Mariya Stadnikin əsas fəaliyyət sahəsi nədir?,güləşçi,Mariya Stadnikin əsas fəaliyyət sahəsi — rəssamı və xətə,Mariya Stadnikin əsas fəaliyyət sahəsi — rəssamı və xətə,0.0,0.0,,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japonca,Japonca,0.0,0.0,,
az-081,language,0,İspaniyanın rəsmi dili hansıdır?,ispan dili,Spanski dili,Spanski dili,0.0,0.667,qismən üst-üstə düşmə,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Cyrillic,Cyrillic,0.0,0.0,,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Latin alfabiti,Latin alfabiti,0.0,0.0,,
az-1004,culture,3,Abdulla Şaiqin doğum yerini yaz.,Tbilisi,Baku,Baku,0.0,0.0,,
az-1007,culture,2,Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəsində dünyaya gəlib?,Şuşa,Qarabağ rayonu,Qarabağ rayonu,0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,Bakı,Bakı,0.0,0.0,,
az-1012,history,3,Yusif Vəzir Çəmənzəminlinin vəfat yerini yaz.,Unjlaq,Bakı,Bakı,0.0,0.0,,
az-1015,history,2,Ümgülsüm Sadıqzadə hansı şəhərdə dünyasını dəyişib?,Şamaxı,Baku,Baku,0.0,0.0,,
az-1037,science,2,Kəramət Böyükçölün təhsil aldığı yer haradır?,BDU Filologiya fakültəsi,"Kəramət Böyükçöl — bu şəhər, yəni təhsil aldığı yer — Böyük","Kəramət Böyükçöl — bu şəhər, yəni təhsil aldığı yer — **Böyük",0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Eynəli Bəy Sultanovun təhsil müəssisəsi — Eynəli Bəy Sultanov adına M,Eynəli Bəy Sultanovun təhsil müəssisəsi — Eynəli Bəy Sultanov adına M,0.0,0.0,,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,"Cümlə qurma: Ebla dili, Ebla yazı sistemi ilə yazılır","Cümlə qurma: Ebla dili, Ebla yazı sistemi ilə yazılır.  
Cavab: Ebla yazı sistemi",0.0,0.182,qismən üst-üstə düşmə,
