id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,"Haydar Aliyev, Azerbaycan'ın ilk cumhurbaşkanıdır. Doğumu 1937 yılında gerçekleşmiştir","Haydar Aliyev, Azerbaycan'ın ilk cumhurbaşkanıdır. Doğumu 1937 yılında gerçekleşmiştir.",0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Şehriyar Məmmədyarovun doğum yeri Bakıdır,Şehriyar Məmmədyarovun doğum yeri Bakıdır.,0.0,0.0,,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,Sual: Suyun kimyəvi formülü nədir,"Sual: Suyun kimyəvi formülü nədir?
Cavab: H2O

Sual: Suyun kimy",0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Cevap: İstanbul,"Sual: Radik İsayevin doğum yerini yaz.
Cevap: İstanbul.",0.0,0.0,,
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,"Almanca, Almanya'nın resmî dilidir. Aynı zamanda, Avusturya, Lüksemburg, İsviçre, Liechtenstein ve B","Almanca, Almanya'nın resmî dilidir. Aynı zamanda, Avusturya, Lüksemburg, İsviçre, Liechtenstein ve B",0.0,0.143,qismən üst-üstə düşmə,
az-082,language,1,Birləşmiş Krallıqda hansı dil rəsmi dildir?,ingilis dili,Sual: Misirin paytaxtı hansı şəhərdir,"Sual: Misirin paytaxtı hansı şəhərdir?
Cevap: Qahirə

Sual:",0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Sual: Rus dili üçün istifad olunur,"Sual: Rus dili üçün istifad olunur.
Cevap: Rusça.",0.0,0.0,,
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,Sual: Avadhi üçün yazı sistemindən istifadə olunur,"Sual: Avadhi üçün yazı sistemindən istifadə olunur?
Cevap: Evet, Avadhi",0.0,0.0,,
az-1007,culture,2,Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəsində dünyaya gəlib?,Şuşa,"Yusif Vəzir Çəmənzəminli, 1920-2000 yılları arasında yaşamıştır","Yusif Vəzir Çəmənzəminli, 1920-2000 yılları arasında yaşamıştır.",0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Sual: Əbdülqadir Marağaşı hərədən dünyasını dəyişib,"Sual: Əbdülqadir Marağaşı hərədən dünyasını dəyişib?
Cavab:",0.0,0.0,,
