id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-018,geography,1,Çində hansı pul vahidi işlənir?,Çin yuanı,Yuan,Yuan,1.0,0.0,morfologiya,
az-021,geography,0,Kanadanın pul vahidi nədir?,Kanada dolları,CAD,CAD,0.0,0.0,,
az-023,geography,2,Norveçin rəsmi valyutası necə adlanır?,Norveç kronu,Krona,Krona,0.0,0.0,,
az-039,history,2,Mehriban Əliyevanın doğum ili hansıdır?,1964,1966,1966,0.0,0.0,,
az-046,history,1,Səfurə Əlizadə neçənci ildə doğulub?,1992,1987,1987,0.0,0.0,,
az-072,culture,3,Zemfira Meftahətdinovanın peşəsini yaz.,atıcı,Musiqiçi,Musiqiçi,0.0,0.0,,
az-083,language,2,Polşanın dövlət dili necə adlanır?,polyak dili,Polçunca,Polçunca,0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Kiril,Kiril,0.0,0.667,qismən üst-üstə düşmə,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Runes,Runes,0.0,0.0,,
az-099,history,2,Bibiheybət məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Mir İsmayııl,Mir İsmayııl.,0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Əlbəser Qureşi,Əlbəser Qureşi,0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Naxçıvan,Naxçıvan,0.0,0.0,,
az-101,history,0,Azərbaycan Dövlət Kukla Teatrının memarı kimdir?,İosif Ploşko,İvan Pəştov,İvan Pəştov,0.0,0.0,,
az-1013,history,0,Firidun bəy Köçərli harada vəfat edib?,Gəncə,Bakı,Bakı,0.0,0.0,,
az-1014,history,1,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,Londron,Londron,0.0,0.0,,
az-1035,science,0,Mikayıl Müşfiq harada təhsil alıb?,Bakı Dövlət Universiteti,İstanbul,İstanbul,0.0,0.0,,
az-1048,language,2,Asoru dilinin yazı sistemi hansıdır?,süryani əlifbası,Arab,Arab,0.0,0.0,,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,Sumer yazı sistemi,Sumer yazı sistemi,0.0,0.4,qismən üst-üstə düşmə,
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,Clod Monet,Clod Monet,0.0,0.0,,
az-1061,history,3,Jen Mironosets Baş Kafedral kilsəsinin memarının adını yaz.,Fyodor Verjbitski,Bartolomé Rastell,Bartolomé Rastell,0.0,0.0,,
az-1062,geography,0,Anaxatır hara tökülür?,Kür,Volqa,Volqa,0.0,0.0,,
az-1064,geography,2,Pirsaatçay hansı su hövzəsinə qovuşur?,Xəzər dənizi,Qafqaz,Qafqaz,0.0,0.0,,
az-1120,mathematics,—,60-in bölənlərinin sayı neçədir?,12,6,6,0.0,0.0,,
az-1126,mathematics,—,Daxili bucaqlarının cəmini tap: 8-bucaq.,1080,360,360,0.0,0.0,,
az-1138,mathematics,—,"Birdən 30-ə kimi bütün natural ədədləri toplasaq, neçə alınar?",465,630,630,0.0,0.0,,
az-1139,mathematics,—,12 və 18 hansı ən böyük ədədə tam bölünür?,6,36,36,0.0,0.0,,
az-1150,mathematics,—,196 ədədinin kvadrat kökü neçədir?,14,√196 = 14,√196 = 14,0.0,0.667,qismən üst-üstə düşmə,
az-1155,mathematics,—,120-in bölənlərinin sayı neçədir?,16,48,48,0.0,0.0,,
az-1165,mathematics,—,"Ən kiçik ortaq bölünənini tap: 15, 25.",75,5,5,0.0,0.0,,
az-1191,science,0,Flüor elementinin atom nömrəsi neçədir?,9,19,19,0.0,0.0,,
az-1220,science,1,Dövri cədvəldə rubidium hansı nömrə ilə durur?,37,47,47,0.0,0.0,,
az-1240,science,1,Dövri cədvəldə Torium hansı nömrə ilə durur?,90,95,95,0.0,0.0,,
az-1250,science,3,Hansı alim fosfor elementini kəşf etmişdir?,Henniq Brand,Hennə,Hennə,0.0,0.0,,
az-1255,science,0,Astat elementini kim kəşf edib?,Emilio Gino Segre,Henrix Rabit,Henrix Rabit,0.0,0.0,,
az-1265,world,1,Əlcəzairdə beynəlxalq telefon kodu hansıdır?,+213,+212,+212,0.0,0.0,,
az-1268,world,0,İsveçin telefon kodu nədir?,+46,+41,+41,0.0,0.0,,
az-1277,world,1,Belarusda beynəlxalq telefon kodu hansıdır?,+375,+380,+380,0.0,0.0,,
az-1295,world,3,Hansı telefon kodu Rumıniyanın aiddir?,+40,+377,+377,0.0,0.0,,
az-1312,world,0,Konqo Demokratik Respublikasının telefon kodu nədir?,+243,+247,+247,0.0,0.0,,
az-1321,world,1,Kipr Respublikasında beynəlxalq telefon kodu hansıdır?,+357,+99,+99,0.0,0.0,,
az-1336,mathematics,—,210 sayının fərqli sadə vuruqlarının sayı neçədir?,4,6,6,0.0,0.0,,
az-1342,mathematics,—,111111 ikilik ədədinin onluq qarşılığı nədir?,63,15,15,0.0,0.0,,
az-1357,mathematics,—,İki bucağı 72 və 66 dərəcə olan üçbucağın digər bucağı neçə dərəcədir?,42,148,148,0.0,0.0,,
az-136,culture,2,Ramiz Quliyev hansı alətin ifaçısıdır?,tar,Piyanist,Piyanist,0.0,0.0,,
az-1360,mathematics,—,15 saatlıq müddət neçə saniyə edir?,54000,1800,1800,0.0,0.0,,
az-1366,mathematics,—,"Üçbucağın iki bucağı 58 və 77 dərəcədirsə, üçüncü bucaq neçə dərəcədir?",45,95,95,0.0,0.0,,
az-1374,mathematics,—,8879 sayının rəqəmlərini toplasaq nə alınar?,32,34,34,0.0,0.0,,
az-1382,mathematics,—,"Qüvvəti hesabla: əsas 11, göstərici 3.",1331,14,14,0.0,0.0,,
az-1451,geography,3,Laosun paytaxtını yaz.,Vyentyan,Vientianə,Vientianə,0.0,0.0,,
az-1480,geography,0,Türkmənistanın paytaxtı hansı şəhərdir?,Aşqabad,Asxabad,Asxabad,0.0,0.0,,
az-1489,geography,1,Hansı şəhər Kabo-Verdenin paytaxtıdır?,Praya,Reyyun,Reyyun,0.0,0.0,,
az-1510,geography,2,Naurunun paytaxtının adı nədir?,Yaren,Reykjavik,Reykjavik,0.0,0.0,,
az-1523,geography,3,Sent-Vinsent və Qrenadinanın paytaxtını yaz.,Kinqstaun,Saint-Vincent,Saint-Vincent,0.0,0.0,,
az-1548,geography,0,Şimali Kiprin pul vahidi nədir?,Türk lirəsi,Kipr lirəsi,Kipr lirəsi,0.0,0.5,qismən üst-üstə düşmə,
