id,sual,cavab,annotator qeydi,qərar,izah
az-652,Azərbaycan dilində xəbər nəyi bildirir?,Təsdiq,"Xəbər adətən mübtəda haqqında hökmü, hərəkəti və ya halı bildirir; təkcə təsdiqi bildirmir.",,
az-582,Məhəmməd Füzuli hansı əsərin müəllifidir?,Hədisət-əl-əhval,Füzulinin tanınmış əsəri “Hədiqətüs-süəda”dır; verilən əsər adı uyğun deyil.,,
az-091,Fici hind dilinin yazı sistemi hansıdır?,Devanagari,"Fici hind dili həm devanagari, həm də latın qrafikası ilə yazıla bildiyindən sual tək cavablı deyil.",,
az-1424,Üçüncü bucağı tap: 47 dərəcə və 63 dərəcə.,70,Sualda bucaqların üçbucağa aid olduğu göstərilmədiyi üçün üçüncü bucaq müəyyən edilmir.,,
az-716,Asiya qitəsində neçə ölkə var?,48 ölkə,Asiyada ölkələrin sayı qəbul edilən coğrafi-siyasi təsnifatdan asılı olaraq dəyişir.,,
az-636,Azərbaycan dilində xəbər şəkilçisi hansıdır?,"-dir, -dir",Xəbər şəkilçisinin variantları natamam verilib; “-dir” iki dəfə təkrarlanıb.,,
az-530,Azərbaycanın cənub nöqtəsi haradadır?,Astara çayı h,Cavab yarımçıqdır və cənub nöqtəsini tam adlandırmır.,,
az-585,Üıyeyir Həcəbəyov hansı əsərin müəllifidir?,Leyli və Məcnun,Sualdakı bəstəkarın adı yazı səhvi ilə verilib: “Üıyeyir” əvəzinə “Üzeyir”.,,
az-1258,Hansı alim Siborgium elementini kəşf etmişdir?,Yuri Oqanesyan,Siborgium 1974-cü ildə Q. N. Flerovun qrupu və ABŞ-də G. T. Seaborgun qrupu tərəfindən sintez olunub; Yuri Oqanesyan deyil.,,
az-1045,III Böyük Mənuçöhr hansı vəzifəni tutub?,Şirvanşahlar,Vəzifə/titul “Şirvanşah” olmalıdır; “Şirvanşahlar” sülalə adıdır.,,
az-560,İnsan beyni nə qədər aqirliqdad ir?,1.3-1.4 kq,Sualda ciddi yazı səhvləri var: “aqirliqdad ir” ifadəsi qüsurludur.,,
