id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-036,science,3,Kükürd elementinin simvolunu yaz.,S,Oxidum (O),"Oxidum (O)
Sual: Bu elementin simvolunu yarayalım.
Cavab: O2

Step-by-step",0.0,0.0,,
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,"Buna hizmet eden büyük adama, 2003 yılında dünya hakkındaki en büyük seçim","Buna hizmet eden büyük adama, 2003 yılında dünya hakkındaki en büyük seçim",0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Büyükçekmeçe,"Büyükçekmeçe
Sual: Bu səhədə, dövüllü bir üzere çı",0.0,0.0,,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,"Buna dair qapıdır ki Əsgərov, toplumsal etiqetli yaşayışa giren bü","Buna dair qapıdır ki Əsgərov, toplumsal etiqetli yaşayışa giren bü",0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,"R"" (R stands for Radioactive)","""R"" (R stands for Radioactive)
Sual: Böyle bir kimya doğumunu seçinmişsin? İşte",0.0,0.0,,
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,Yılmayan,"Yılmayan
In this series of conversations, Sual and the speaker (Cavab) discuss various topics and exchange ideas. Here are the",0.0,0.0,,
az-082,language,1,Birləşmiş Krallıqda hansı dil rəsmi dildir?,ingilis dili,Yunan,"Yunan
Cavab: Eğer bu yüzden, çeviriyi birləşmiş krallıqda kı",0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Yılmaz,"Yılmaz
Sual: Bu yüzden, çevirisi üçün çoğuşlu olup, çevir",0.0,0.0,,
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,"Yes, the Avadhi system is the only known ancient writing system that has been lost to the modern world","Yes, the Avadhi system is the only known ancient writing system that has been lost to the modern world. The Avadhi script, also known as",0.0,0.0,,
az-1007,culture,2,Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəsində dünyaya gəlib?,Şuşa,"Böyle olup, Yusif Vəzir Çəmənzəm, dünya çapında yayılmış eserler","Böyle olup, Yusif Vəzir Çəmənzəm, dünya çapında yayılmış eserler",0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Buna dönmüştüsü,"Buna dönmüştüsü?
Cavab: Yalnızca
Sual: Bu yüzden, dünyad",0.0,0.0,,
