id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-015,geography,2,Rusiyanın rəsmi valyutası necə adlanır?,Rusiya rublu,Rubl,Rubl,0.0,0.0,,
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1961,1961,0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Bakı,Bakı,0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Bakı,Bakı,0.0,0.0,,
az-067,culture,2,Mariya Stadnikin əsas fəaliyyət sahəsi nədir?,güləşçi,Sürücülük,Sürücülük,0.0,0.0,,
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Müğənni,Müğənni,0.0,0.0,,
az-096,language,3,Qədim türk dilinin yazı sistemini yaz.,Orxon əlifbası,Orxon-Yenisey əlifbası,Orxon-Yenisey əlifbası,0.0,0.8,qismən üst-üstə düşmə,
az-098,history,1,Təzəpir məscidi kimin layihəsidir?,Yevgeni Skibinski,Zivərbəy Əhmədbəyov,Zivərbəy Əhmədbəyov,0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1868,1868,0.0,0.0,,
az-1001,culture,0,Müslüm Maqomayev harada anadan olub?,Qroznı,Bakı,Bakı,0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Xamneh,Xamneh,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Təbriz,Təbriz,0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,Bakı,Bakı,0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Səmərqənd,Səmərqənd,0.0,0.0,,
az-1022,culture,1,Ceyhun bəy Hacıbəylinin məzarı haradadır?,Sen-Klu qəbiristanlığı,Fəxri Xiyaban,Fəxri Xiyaban,0.0,0.0,,
az-1026,culture,1,Cəmil Əmirov nə ilə məşğul olub?,musiqiçi,Bəstəkarlıq,Bəstəkarlıq,0.0,0.0,,
az-1030,culture,1,Ömər Qoçulu nə ilə məşğul olub?,memar,Boks,Boks,0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Peterburq Yol-Mühəndislik İnstitutu,Peterburq Yol-Mühəndislik İnstitutu,0.0,0.0,,
az-1040,science,1,Altay Yusifoğlu hansı təhsil müəssisəsini bitirib?,Gəncə Dövlət Universiteti,Azərbaycan Dövlət Neft Akademiyası,Azərbaycan Dövlət Neft Akademiyası,0.0,0.286,qismən üst-üstə düşmə,
az-1042,science,3,Nafiə Abidin təhsil müəssisəsini yaz.,İstanbul Universiteti,Qori Müəllimlər Seminariyası,Qori Müəllimlər Seminariyası,0.0,0.0,,
az-1048,language,2,Asoru dilinin yazı sistemi hansıdır?,süryani əlifbası,Mixi yazı,Mixi yazı,0.0,0.0,,
az-1054,history,0,Gövhər ağa məscidinin memarı kimdir?,Kərbəlayı Səfixan Qarabaği,Kərbəlayi Səfixan Qarabaği,Kərbəlayi Səfixan Qarabaği,1.0,0.667,morfologiya,
az-1247,science,0,Maqnezium elementini kim kəşf edib?,Cozef Blek,Humphry Davy,Humphry Davy,0.0,0.0,,
az-1251,science,0,Xlor elementini kim kəşf edib?,Karl Vilhelm Şeyele,Karl Vilhelm Şeele,Karl Vilhelm Şeele,0.0,0.667,qismən üst-üstə düşmə,
az-1252,science,1,Titanın kəşfi kimə aiddir?,Fridrix Völer,Vilyam Qreqor,Vilyam Qreqor,0.0,0.0,,
az-1259,science,0,Borium elementini kim kəşf edib?,Yuri Oqanesyan,Humphry Davy,Humphry Davy,0.0,0.0,,
az-1261,science,2,Fermium elementinin kəşfçisini yaz.,Qlenn Teodor Siborq,Albert Ghiorso və əməkdaşları,Albert Ghiorso və əməkdaşları,0.0,0.0,,
