id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-013,geography,0,Amerika Birləşmiş Ştatlarının pul vahidi nədir?,ABŞ dolları,Dollar,Dollar,0.0,0.0,,
az-016,geography,3,Yaponiyanın pul vahidinin adını yaz.,Yapon yeni,Yen,Yen,1.0,0.0,morfologiya,
az-022,geography,1,Birləşmiş Krallıqda hansı pul vahidi işlənir?,funt sterlinq,Sterli,Sterli,0.0,0.0,,
az-034,science,1,Kimyada Azot hansı simvolla işarə olunur?,N,N2,N2,0.0,0.0,,
az-040,history,3,Şəhriyar Məmmədyarovun anadan olduğu ili yaz.,1985,1966,1966,0.0,0.0,,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,1968,1968,0.0,0.0,,
az-081,language,0,İspaniyanın rəsmi dili hansıdır?,ispan dili,İspança,İspança,0.0,0.0,,
az-085,language,0,İspan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Roman,Roman,0.0,0.0,,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Bokalskrifta,Bokalskrifta,0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Əlbəser,Əlbəser,0.0,0.0,,
az-1004,culture,3,Abdulla Şaiqin doğum yerini yaz.,Tbilisi,Bakı,Bakı,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Təbriz,Təbriz,0.0,0.0,,
az-1013,history,0,Firidun bəy Köçərli harada vəfat edib?,Gəncə,Bakı,Bakı,0.0,0.0,,
az-1014,history,1,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,İstanbul,İstanbul,0.0,0.0,,
az-1015,history,2,Ümgülsüm Sadıqzadə hansı şəhərdə dünyasını dəyişib?,Şamaxı,Baku,Baku,0.0,0.0,,
az-1021,culture,0,Bəhruz Kəngərli harada dəfn olunub?,Naxçıvan,Baku,Baku,0.0,0.0,,
az-1036,science,1,Müslüm Maqomayev hansı təhsil müəssisəsini bitirib?,Zaqafqaziya Müəllimlər Seminariyası,Bakı Musiqili Teatrinin Riyaziyyat-Kompozitor Kursu,Bakı Musiqili Teatrinin Riyaziyyat-Kompozitor Kursu,0.0,0.0,,
az-1037,science,2,Kəramət Böyükçölün təhsil aldığı yer haradır?,BDU Filologiya fakültəsi,Naxçıvan,Naxçıvan,0.0,0.0,,
az-1048,language,2,Asoru dilinin yazı sistemi hansıdır?,süryani əlifbası,Aramaqi,Aramaqi,0.0,0.0,,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,Cilalı qıvrımlı,Cilalı qıvrımlı,0.0,0.0,,
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,Rodin,Rodin,0.0,0.0,,
az-1066,culture,1,«77-Ci atıcı diviziyasının əsgərlərinin xatirə abidəsi» əsərini kim yaradıb?,Ömər Eldarov,Mihail Uşanınin,Mihail Uşanınin,0.0,0.0,,
az-1117,mathematics,—,10 tərəfi olan çoxbucaqlıda neçə diaqonal çəkmək olar?,35,9,9,0.0,0.0,,
az-1133,mathematics,—,16-bucaqlının bütün daxili bucaqları toplananda neçə dərəcə alınır?,2520,180,180,0.0,0.0,,
az-1134,mathematics,—,15-bucaqlının diaqonallarının sayı neçədir?,90,4,4,0.0,0.0,,
az-1144,mathematics,—,5-ci sadə ədəd hansıdır?,11,5,5,0.0,0.0,,
az-1152,mathematics,—,13 tərəfi olan çoxbucaqlıda neçə diaqonal çəkmək olar?,65,9,9,0.0,0.0,,
az-1176,mathematics,—,6-bucağın neçə diaqonalı var?,9,3,3,0.0,0.0,,
az-1201,science,2,Manqanın atom nömrəsini yaz.,25,26,26,0.0,0.0,,
az-1236,science,1,Dövri cədvəldə sirkonium hansı nömrə ilə durur?,40,46,46,0.0,0.0,,
az-1253,science,2,Palladium elementinin kəşfçisini yaz.,Vilyam Hayd Vollaston,Şvayr,Şvayr,0.0,0.0,,
az-1255,science,0,Astat elementini kim kəşf edib?,Emilio Gino Segre,Liyudvi,Liyudvi,0.0,0.0,,
az-1256,science,1,Rodiumun kəşfi kimə aiddir?,Vilyam Hayd Vollaston,Antonin Henri,Antonin Henri,0.0,0.0,,
az-1265,world,1,Əlcəzairdə beynəlxalq telefon kodu hansıdır?,+213,+212,+212,0.0,0.0,,
az-1268,world,0,İsveçin telefon kodu nədir?,+46,+420,+420,0.0,0.0,,
az-1298,world,2,Vatikanın beynəlxalq telefon kodunu yaz.,+379,+39,+39,0.0,0.0,,
az-1308,world,0,Liviyanın telefon kodu nədir?,+218,+238,+238,0.0,0.0,,
az-1312,world,0,Konqo Demokratik Respublikasının telefon kodu nədir?,+243,+247,+247,0.0,0.0,,
az-1375,mathematics,—,2310 sayının fərqli sadə vuruqlarının sayı neçədir?,5,3,3,0.0,0.0,,
az-1379,mathematics,—,7 saatda neçə saniyə var?,25200,42000,42000,0.0,0.0,,
az-1380,mathematics,—,"21 ədədindən 40 ədədinə qədər bütün tam ədədləri toplasaq, nə alınar (uc nöqtələr daxildir)?",610,675,675,0.0,0.0,,
az-1424,mathematics,—,Üçbucağın üçüncü bucağını tap: 47 dərəcə və 63 dərəcə.,70,180 dərəcə,180 dərəcə,0.0,0.5,qismən üst-üstə düşmə,
az-1432,mathematics,—,27356 ədədindəki rəqəmlərin cəmi nə qədərdir?,23,27,27,0.0,0.0,,
az-1436,mathematics,—,"Birinci həddi 9, fərqi 11 olan silsilədə 13-cü hədd hansı ədəddir?",141,23,23,0.0,0.0,,
az-1448,geography,0,Çadın paytaxtı hansı şəhərdir?,Ncamena,Ankara,Ankara,0.0,0.0,,
az-1451,geography,3,Laosun paytaxtını yaz.,Vyentyan,Vientiane,Vientiane,0.0,0.0,,
az-1454,geography,2,Uqandanın paytaxtının adı nədir?,Kampala,Vanaqü,Vanaqü,0.0,0.0,,
az-1469,geography,1,Hansı şəhər Butanın paytaxtıdır?,Thimphu,Ankara,Ankara,0.0,0.0,,
az-1500,geography,0,Yamaykanın paytaxtı hansı şəhərdir?,Kinqston,Kitman,Kitman,0.0,0.0,,
az-1503,geography,3,Lesotonun paytaxtını yaz.,Maseru,Lesoto,Lesoto,0.0,0.0,,
az-1551,language,1,Monakoda hansı dil rəsmi dildir?,fransız dili,Fransız,Fransız,0.0,0.667,qismən üst-üstə düşmə,
az-1558,language,0,Butanın rəsmi dili hansıdır?,Dzonqxa,Türk,Türk,0.0,0.0,,
az-1564,science,2,Seriumun atom nömrəsini yaz.,58,65,65,0.0,0.0,,
az-1565,science,3,Samarium elementində neçə proton var?,62,60,60,0.0,0.0,,
az-501,geography,—,Azərbaycanın ən alçaq nöqtəsi haradadır?,Xəzər dənizi,Ağstafa,Ağstafa,0.0,0.0,,
az-504,geography,—,Azərbaycanda neçə iqlim qurşağı var?,9 iqlim qurşağı,Üç,Üç,0.0,0.0,,
az-527,geography,—,Göygöl gölü harada yerləşir?,Kiçik Qafqazda,Şri-Lankada,Şri-Lankada,0.0,0.0,,
az-534,geography,—,Neftçala rayonu harada yerləşir?,Kür-Araz düzündə,İran,İran,0.0,0.0,,
az-541,science,—,Qazil neft harada yaranir?,Yer qabiginda,Bitki qalıcı təbəcüllərində,Bitki qalıcı təbəcüllərində,0.0,0.0,,
az-543,science,—,Sintez prosesi nədir?,Birləşmə reaksiyası,Kimyəvi reaksiya,Kimyəvi reaksiya,0.0,0.0,,
az-545,science,—,Atomun əsas hissələri hansılardır?,"Proton, neytron, elektron","Proton, elektron, neytronn","Proton, elektron, neytronn.",0.0,0.667,qismən üst-üstə düşmə,
az-549,science,—,Səsin sürəti havada neçədir?,340 m/s,343 m/s,343 m/s,0.0,0.667,qismən üst-üstə düşmə,
az-583,culture,—,Səməd Vurğunun əsas əsəri hansıdır?,Vaqif,Qurçuş,"""Qurçuş""",0.0,0.0,,
az-588,culture,—,Fikrət Əmirov hansı əsərin müəllifidir?,Babək,Günəş,"""Günəş""",0.0,0.0,,
az-605,culture,—,Dolma hansı ətdən hazırlanır?,Qoyun əti,Səman,Səman,0.0,0.0,,
az-610,culture,—,Azərbaycanda çay necə içilir?,Armududa,Sıcın,Sıcın,0.0,0.0,,
az-621,language,—,Azərbaycan dilində neçə samit hərf var?,23 samit,33,33,0.0,0.0,,
az-633,language,—,Azərbaycan dilində yiyəlik hal sualları hansılardır?,Kimin? Nəyin?,Yığəlik sualları,Yığəlik sualları,0.0,0.0,,
az-638,language,—,Azərbaycan dilində keçmiş zaman şəkilçisi hansıdır?,"-diq, -di",-d,-d,0.0,0.0,,
az-648,language,—,Azərbaycan dilində qeyri-muəyyənlik şəkilçisi hansıdır?,"-sa, -sə","-ə, -im, -əm","-ə, -im, -əm",0.0,0.0,,
az-657,language,—,Azərbaycan dilində üçuncu şəxs şəkilçisi hansıdır?,"-dir, -lar",O,O,0.0,0.0,,
az-658,language,—,Azərbaycan dilində birinci şəxs cəm şəkilçisi hansıdır?,-ik,-m,-m,0.0,0.0,,
az-664,culture,—,Bədən tərbiyəsi və idman günü nə vaxt qeyd olunur?,5 mart,19 aprel,19 aprel,0.0,0.0,,
az-666,culture,—,Azərbaycanda neçə idman növ var?,50-dən çox,Çox,Çox,0.0,0.5,qismən üst-üstə düşmə,
az-669,culture,—,Azərbaycanda ilk rəssamlıq təhsili almiş şəxs kimdir?,Bəhruz Kəngərli,İmadəddin Xəzməddinov,İmadəddin Xəzməddinov,0.0,0.0,,
az-674,culture,—,Azərbaycanda mənzərə janrinin əsasini kim qoyub?,Bəhruz Kəngərli,İmadəddin Xəzeri,İmadəddin Xəzeri,0.0,0.0,,
az-687,world,—,Gürcüstanın paytaxtı haradadır?,Tbilisi,Tibilisi,Tibilisi,0.0,0.0,,
az-689,world,—,Ukraynanın paytaxtı haradadır?,Kiyev,Kiеv,Kiеv,0.0,0.0,"kiril, zəncir bərpa etmir",
az-692,world,—,İsveçin paytaxtı haradadır?,Stokholm,Berna,Berna,0.0,0.0,,
az-694,world,—,Danimarkanın paytaxtı haradadır?,Kopenhagen,Kopenhegen,Kopenhegen,0.0,0.0,,
az-698,world,—,Fransada hansı pul vahidindən istifadə olunur?,Avro,Euron,Euron,0.0,0.0,,
az-703,world,—,Turkiyədə hansı pul vahidindən istifadə olunur?,Türk liri,Lira,Lira,0.0,0.0,,
az-712,world,—,Dünyada ən uzun çay hansıdır?,Nil,Amazon,Amazon,0.0,0.0,,
az-714,world,—,Dünyada neçə qitə var?,7 qitə,7,7,0.0,0.667,qismən üst-üstə düşmə,
az-715,world,—,Avropa qitəsində neçə ölkə var?,44 ölkə,50,50,0.0,0.0,,
az-720,world,—,Antarktida qitəsində neçə ölkə var?,0 ölkə,5,5,0.0,0.0,,
az-801,history,—,Manna dövləti nə vaxt mövcud olub?,E.ə. IX-VII əsrlər,IX-XXIX avqust,IX-XXIX avqust,0.0,0.25,qismən üst-üstə düşmə,
