id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-035,science,2,Litiumun kimyəvi işarəsi nədir?,Li,Литий,Литий,0.0,0.0,"kiril, zəncir bərpa etmir",
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1975,1975,0.0,0.0,,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,1955,1955,0.0,0.0,,
az-056,culture,3,Xetaq Qazyumovun doğum yerini yaz.,Alagir,"Хетақ Қазыұмовтың туған жерін анықтау үшін, о","Хетақ Қазыұмовтың туған жерін анықтау үшін, о",0.0,0.0,"kiril, zəncir bərpa etmir",
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,"Радик Исаевтың туған жерін анықтау үшін, оның тарих","Радик Исаевтың туған жерін анықтау үшін, оның тарих",0.0,0.0,"kiril, zəncir bərpa etmir",
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Саміра Әфенді әнші ретінде танымал,Саміра Әфенді әнші ретінде танымал.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Махир Эмрелинің негізгі қызмет саласы – көшпелі,Махир Эмрелинің негізгі қызмет саласы – көшпелі,0.0,0.0,"kiril, zəncir bərpa etmir",
az-073,language,0,Fransanın rəsmi dili hansıdır?,fransız dili,Француз тілі,Француз тілі,0.0,0.0,"kiril, zəncir bərpa etmir",
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,Неміс,Неміс,0.0,0.0,"kiril, zəncir bərpa etmir",
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Кириллица,Кириллица,0.0,0.0,"kiril, zəncir bərpa etmir",
az-089,language,0,Mandarin çincəsi hansı yazı sistemi ilə yazılır?,Çin yazısı,Кириллица,Кириллица,0.0,0.0,"kiril, zəncir bərpa etmir",
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,Орхон-Енисей жазуы,Орхон-Енисей жазуы,0.0,0.0,"kiril, zəncir bərpa etmir",
az-098,history,1,Təzəpir məscidi kimin layihəsidir?,Yevgeni Skibinski,Тәзепир мәседі Мұхаммед Әл-Хананидің лайықысы,Тәзепир мәседі Мұхаммед Әл-Хананидің лайықысы.,0.0,0.0,"kiril, zəncir bərpa etmir",
