id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-036,science,3,Kükürd elementinin simvolunu yaz.,S,S: Күкірт элементінің символын жаз,"S: Күкірт элементінің символын жаз.  
Ж: S",0.0,0.333,"kiril, zəncir bərpa etmir",
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1975,1975,0.0,0.0,,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,Нигар Камалдың туған жылы 1929 жылы,Нигар Камалдың туған жылы 1929 жылы.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-056,culture,3,Xetaq Qazyumovun doğum yerini yaz.,Alagir,Су молекуласының химиялық формуласы H2O,Су молекуласының химиялық формуласы H2O.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Радик Исаев Ресейдің Свердловск облысында дүниеге келген,Радик Исаев Ресейдің Свердловск облысында дүниеге келген.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Самирə Əfəndi əsasən əzələrə və əzələ,Самирə Əfəndi əsasən əzələrə və əzələ,0.0,0.0,"kiril, zəncir bərpa etmir",
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Махир Эмрелиннің негізгі қызмет саласы — музыка,Махир Эмрелиннің негізгі қызмет саласы — музыка.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-073,language,0,Fransanın rəsmi dili hansıdır?,fransız dili,Француз тілі,Француз тілі,0.0,0.0,"kiril, zəncir bərpa etmir",
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,Неміс тілі,Неміс тілі,0.0,0.0,"kiril, zəncir bərpa etmir",
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Кириллица,Кириллица,0.0,0.0,"kiril, zəncir bərpa etmir",
az-089,language,0,Mandarin çincəsi hansı yazı sistemi ilə yazılır?,Çin yazısı,Синьцзянь,Синьцзянь,0.0,0.0,"kiril, zəncir bərpa etmir",
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,Араб,Араб,0.0,0.0,"kiril, zəncir bərpa etmir",
az-098,history,1,Təzəpir məscidi kimin layihəsidir?,Yevgeni Skibinski,Мұхаммед Әл-Харани,Мұхаммед Әл-Харани,0.0,0.0,"kiril, zəncir bərpa etmir",
az-099,history,2,Bibiheybət məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Мұхаммед Юсуф Қаши әл-Вазир,Мұхаммед Юсуф Қаши әл-Вазир,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1009,history,0,Müslüm Maqomayev harada vəfat edib?,Nalçik,Мәсіх қаласы,Мәсіх қаласы,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1019,culture,2,Ümgülsüm Sadıqzadə hansı yerdə torpağa tapşırılıb?,Şaxəndan,Су молекуласының химиялық формуласы H2O,Су молекуласының химиялық формуласы H2O.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1027,culture,2,Varis Yolçiyev hansı sahədə fəaliyyət göstərib?,yazıçı,Варис Йолчийев көркемөнер саласында қызмет етеді,Варис Йолчийев көркемөнер саласында қызмет етеді.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Мемлекеттік университеті,Мемлекеттік университеті,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1053,language,3,Qədim Anadolu türkcəsinin yazı sistemini yaz.,Osmanlı əlifbası,Су молекулуның химиялық формуласы H2O,Су молекулуның химиялық формуласы H2O.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,Азад қадін heykəlі Әйнүлқайыр ханының лайық,Азад қадін heykəlі Әйнүлқайыр ханының лайық,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1071,mathematics,—,İlk 20 natural ədədin cəmi neçədir?,210,105,105,0.0,0.0,,
az-1080,mathematics,—,100-in bölənlərinin sayı neçədir?,9,100-дің бөлгіштерінің санын есептеу үшін,100-дің бөлгіштерінің санын есептеу үшін,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1083,mathematics,—,27 ilə 36-nin ƏKOB-u nədir?,108,27 және 36 сандарының ЕҮОБ-і 9-ға тең,27 және 36 сандарының ЕҮОБ-і 9-ға тең.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1131,mathematics,—,"Ən kiçik ortaq bölünənini tap: 45, 75.",225,45 және 75 сандарының ең кіші ортақ еселігін таб,45 және 75 сандарының ең кіші ортақ еселігін таб,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1158,mathematics,—,32 ilə 48-nin ƏKOB-u nədir?,96,32 және 48 сандарының ЕҮОБ-ін табу үшін екі,32 және 48 сандарының ЕҮОБ-ін табу үшін екі,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1162,mathematics,—,20-ci sadə ədədi yaz.,71,23,23,0.0,0.0,,
az-1172,mathematics,—,14 və 21 hansı ən böyük ədədə tam bölünür?,7,14 және 21 ең үлкен ортақ бөлгіші 7,14 және 21 ең үлкен ортақ бөлгіші 7.,0.0,0.222,"kiril, zəncir bərpa etmir",
az-1196,science,1,Dövri cədvəldə Titan hansı nömrə ilə durur?,22,Титан 22 нөмірінде орналасқан,Титан 22 нөмірінде орналасқан.,0.0,0.4,"kiril, zəncir bərpa etmir",
az-1201,science,2,Manqanın atom nömrəsini yaz.,25,Манганың атомдық нөмірі 25,Манганың атомдық нөмірі 25.,0.0,0.4,"kiril, zəncir bərpa etmir",
az-1205,science,2,Bariumun atom nömrəsini yaz.,56,Барийдің атомдық нөмірі 56,Барийдің атомдық нөмірі 56.,0.0,0.4,"kiril, zəncir bərpa etmir",
