id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-042,history,1,Müslüm Maqomayev neçənci ildə doğulub?,1942,1978,1978,0.0,0.0,,
az-051,culture,2,Mehriban Əliyeva hansı yaşayış məntəqəsində dünyaya gəlib?,Bakı,Bakı şəhərinin Məhərrəmli rayonu,Bakı şəhərinin Məhərrəmli rayonu,0.0,0.4,qismən üst-üstə düşmə,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Bakı,Bakı,0.0,0.0,,
az-058,culture,1,Rafiq Radik oğlu Hüseynovun doğulduğu yer haradır?,Daşkənd,Bakı,Bakı,0.0,0.0,,
az-067,culture,2,Mariya Stadnikin əsas fəaliyyət sahəsi nədir?,güləşçi,"Mariya Stadnikin əsas fəaliyyət sahəsi — əsasən, əsas","Mariya Stadnikin əsas fəaliyyət sahəsi — əsasən, əsas",0.0,0.0,,
az-072,culture,3,Zemfira Meftahətdinovanın peşəsini yaz.,atıcı,Sənətçə,Sənətçə,0.0,0.0,,
az-083,language,2,Polşanın dövlət dili necə adlanır?,polyak dili,Polşa,Polşa,0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1992,1992,0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Bukhara,Bukhara,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Təbriz,Təbriz,0.0,0.0,,
az-1008,culture,3,Süleyman Rüstəmin doğum yerini yaz.,Novxanı,Bursa,Bursa,0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,"Təkribən 1806-cı ildə, Ərmenistanın Ełbasməhəllə","Təkribən 1806-cı ildə, Ərmenistanın Ełbasməhəllə",0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,"Azərbaycanı qətərində, Naxçıvan şəhərində","Azərbaycanı qətərində, Naxçıvan şəhərində.",0.0,0.0,,
