id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-042,history,1,Müslüm Maqomayev neçənci ildə doğulub?,1942,1987,1987,0.0,0.0,,
az-053,culture,0,Əbülfəz Elçibəy harada anadan olub?,Kələki,Azərbaycan,Azərbaycan,0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Bakı,Bakı,0.0,0.0,,
az-065,culture,0,Nigar Camalın peşəsi nədir?,müğənni,Dramatik müəssisələr üzrə müəssisələr üzrə müəssisəl,Dramatik müəssisələr üzrə müəssisələr üzrə müəssisəl,0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Müəssisələr və təhsil mərkəzləri tərəfindən təhs,Müəssisələr və təhsil mərkəzləri tərəfindən təhs,0.0,0.0,,
az-069,culture,0,Hidayət Heydərovun peşəsi nədir?,cüdoçu,Dənizçi,Dənizçi,0.0,0.0,,
az-083,language,2,Polşanın dövlət dili necə adlanır?,polyak dili,Polşa,Polşa,0.0,0.0,,
az-084,language,3,Ukraynanın rəsmi dilini yaz.,ukrain dili,Ukrayna,Ukrayna,0.0,0.0,,
az-085,language,0,İspan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Latın alfabəsi,Latın alfabəsi,0.0,0.5,qismən üst-üstə düşmə,
az-089,language,0,Mandarin çincəsi hansı yazı sistemi ilə yazılır?,Çin yazısı,Hanzi,Hanzi,0.0,0.0,,
az-092,language,3,Kalmık dilinin yazı sistemini yaz.,kiril əlifbası,Kalmık: Қалмак,Kalmık: Қалмак,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1001,culture,0,Müslüm Maqomayev harada anadan olub?,Qroznı,Azərbaycan,Azərbaycan,0.0,0.0,,
az-1002,culture,1,Əzim Əzimzadənin doğulduğu yer haradır?,Novxanı,Bakı,Bakı,0.0,0.0,,
az-1009,history,0,Müslüm Maqomayev harada vəfat edib?,Nalçik,Bakıda,Bakıda,0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Bakı,Bakı,0.0,0.0,,
az-1019,culture,2,Ümgülsüm Sadıqzadə hansı yerdə torpağa tapşırılıb?,Şaxəndan,Qarabağda,Qarabağda,0.0,0.0,,
az-1021,culture,0,Bəhruz Kəngərli harada dəfn olunub?,Naxçıvan,Bəhruz Kəngərli Azərbaycanın Qazax şəhərində dəfn olunub,Bəhruz Kəngərli Azərbaycanın Qazax şəhərində dəfn olunub,0.0,0.0,,
az-1024,culture,3,Məhəmməd Hadinin dəfn yerini yaz.,Səbiskar qəbiristanlığı,Qahirə,Qahirə,0.0,0.0,,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Bakıda,Bakıda,0.0,0.0,,
az-1052,language,2,Əfşar dilinin yazı sistemi hansıdır?,fars əlifbası,Arab alifbəsi,Arab alifbəsi,0.0,0.0,,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,Məşhur mühəndis və arxitekt — Məhəmməd Əliyev,Məşhur mühəndis və arxitekt — Məhəmməd Əliyev.,0.0,0.0,,
az-1060,history,2,Molla Əhməd Məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Molla Əhməd Məscidinin layihəsini Molla Əhməd özü hazırlayıb,Molla Əhməd Məscidinin layihəsini **Molla Əhməd** özü hazırlayıb.,0.0,0.0,,
az-1079,mathematics,—,32 ədədindən sonra gələn ilk sadə ədəd nədir?,37,33,33,0.0,0.0,,
az-1081,mathematics,—,1-dən 35-ə qədər olan ədədlərin cəmi nə qədərdir?,630,195,195,0.0,0.0,,
az-1090,mathematics,—,Bölənlərinin sayını tap: 72.,12,72,72,0.0,0.0,,
az-1101,mathematics,—,"Birdən 40-ə kimi bütün natural ədədləri toplasaq, neçə alınar?",820,200,200,0.0,0.0,,
az-1123,mathematics,—,14 ilə 21-nin ƏKOB-u nədir?,42,14,14,0.0,0.0,,
az-1137,mathematics,—,84 ədədi neçə müxtəlif ədədə tam bölünür?,12,8,"8

Sual: 84 ədədi neçə müxtəlif ədədə tam bölünür?",0.0,0.0,,
az-1216,science,1,Dövri cədvəldə Stibium hansı nömrə ilə durur?,51,50,50,0.0,0.0,,
az-1250,science,3,Hansı alim fosfor elementini kəşf etmişdir?,Henniq Brand,R. Boyle,R. Boyle,0.0,0.0,,
az-1257,science,2,Torium elementinin kəşfçisini yaz.,Yens Yakov Bertselius,Orlov,Orlov,0.0,0.0,,
az-1269,world,1,Danimarkada beynəlxalq telefon kodu hansıdır?,+45,213,213,0.0,0.0,,
az-1278,world,2,Macarıstanın beynəlxalq telefon kodunu yaz.,+36,376,376,0.0,0.0,,
az-1305,world,1,Suriyada beynəlxalq telefon kodu hansıdır?,+963,+967,+967,0.0,0.0,,
az-1307,world,3,Hansı telefon kodu Sudanın aiddir?,+249,211,211,0.0,0.0,,
az-1315,world,3,Hansı telefon kodu Kambocanın aiddir?,+855,+1758,+1758,0.0,0.0,,
az-1320,world,0,Somalinin telefon kodu nədir?,+252,070,070,0.0,0.0,,
az-1323,world,3,Hansı telefon kodu Monteneqroya aiddir?,+382,+352,+352,0.0,0.0,,
az-1344,mathematics,—,"Qüvvəti hesabla: əsas 7, göstərici 3.",343,10^7,10^7,0.0,0.0,,
az-136,culture,2,Ramiz Quliyev hansı alətin ifaçısıdır?,tar,Azərbaycanın ən məşhur alətindən biri olan “Qarabağ” alətin,Azərbaycanın ən məşhur alətindən biri olan “Qarabağ” alətin,0.0,0.0,,
az-1389,mathematics,—,"Cəmi tap: 1 ilə 50 arasındakı tam ədədlər, uclar daxil.",1275,2550,2550,0.0,0.0,,
az-1418,mathematics,—,"26 ədədindən 39 ədədinə qədər bütün tam ədədləri toplasaq, nə alınar (uc nöqtələr daxildir)?",455,120,120,0.0,0.0,,
az-1420,mathematics,—,Qalığı hesabla: 555 ədədinin 14 ədədinə bölünməsi.,9,39.64285714285714,39.64285714285714,0.0,0.0,,
az-1423,mathematics,—,Fərqli sadə bölənlərin sayını tap: 2730.,5,"2730 → 2, 3, 5, 7, 13 → 5 sadə bölən","2730 → 2, 3, 5, 7, 13 → 5 sadə bölən.",0.0,0.2,qismən üst-üstə düşmə,
az-1428,mathematics,—,"Cəmi tap: 12 ilə 30 arasındakı tam ədədlər, uclar daxil.",399,198,198,0.0,0.0,,
az-1449,geography,1,Hansı şəhər Namibiyanın paytaxtıdır?,Vindhuk,Windhoek,Windhoek,0.0,0.0,,
az-1463,geography,3,Burkina-Fasonun paytaxtını yaz.,Uaqaduqu,Ouagadougou,Ouagadougou,0.0,0.0,,
az-1472,geography,0,Toqonun paytaxtı hansı şəhərdir?,Lome,Naypya,Naypya,0.0,0.0,,
az-1495,geography,3,Papua-Yeni Qvineyanın paytaxtını yaz.,Port Morsbi,Port Moresby,Port Moresby,0.0,0.5,qismən üst-üstə düşmə,
az-1506,geography,2,Belizin paytaxtının adı nədir?,Belmopan,Belizin paytaxtı — Beliz,Belizin paytaxtı — **Beliz**.,0.0,0.0,,
az-1512,geography,0,Dominikanın paytaxtı hansı şəhərdir?,Rozo,Santo Domingo,Santo Domingo,0.0,0.0,,
az-1514,geography,2,Tonqanın paytaxtının adı nədir?,Nukualofa,Tonqanın paytaxtı Kampaladir,Tonqanın paytaxtı **Kampala**dir.,0.0,0.0,,
az-1515,geography,3,Palaunun paytaxtını yaz.,Nqerulmud,Palaunun paytaxtı — Palaunun paytaxtı Palaunun paytaxtı — Palaunun paytax,Palaunun paytaxtı — Palaunun paytaxtı **Palaunun paytaxtı** — **Palaunun paytax,0.0,0.0,,
az-1518,geography,2,Trinidad və Tobaqonun paytaxtının adı nədir?,Port-of-Speyn,Port of Spain,Port of Spain,0.0,0.667,qismən üst-üstə düşmə,
az-1527,geography,3,Arubanın paytaxtını yaz.,Oranjestad,Poniente,Poniente,0.0,0.0,,
az-1528,geography,0,Kuk adalarının paytaxtı hansı şəhərdir?,Avarua,Naypya,Naypya,0.0,0.0,,
az-1545,geography,1,Qrenadada hansı pul vahidi işlənir?,Şərqi Karib dolları,Xələt,Xələt,0.0,0.0,,
az-1556,language,2,Özbəkistanın dövlət dili necə adlanır?,özbək dili,Törcü,Törcü,0.0,0.0,,
az-1566,science,0,Lutesium elementinin atom nömrəsi neçədir?,71,57,57,0.0,0.0,,
az-1572,science,2,Ununoktiumun atom nömrəsini yaz.,118,112,112,0.0,0.0,,
az-1578,science,0,Darmştadtium elementinin atom nömrəsi neçədir?,110,118,118,0.0,0.0,,
az-523,geography,—,Lənkəranda əsas kənd təsərrüfatı məhsulu nədir?,Çay,Gələnək,Gələnək,0.0,0.0,,
az-524,geography,—,Azərbaycanın ən quru regionu hansıdır?,Abşeron,Qazaxıstan,Qazaxıstan,0.0,0.0,,
az-547,science,—,Havanın əsas tərkib hissəsi nədir?,Azot,Nitrogen,Nitrogen,0.0,0.0,,
az-562,science,—,İnsan bədəninin temperaturu neçədir?,36.6 °C,37°C,37°C,0.0,0.4,qismən üst-üstə düşmə,
az-566,science,—,Ən ağır təbii element hansıdır?,Uran,Uranium,Uranium,0.0,0.0,,
az-573,science,—,Neçə planet var?,8 planet,8,8,0.0,0.667,qismən üst-üstə düşmə,
az-574,science,—,Ən böyük planet hansıdır?,Yupiter,Jüpiter,Jüpiter,0.0,0.0,,
az-578,science,—,Ən yaxin ulduz hansıdır?,Gunəş,Proxima Centauri,Proxima Centauri,0.0,0.0,,
az-613,culture,—,Azərbaycan muğamı UNESCO tərəfindən nə vaxt qəbul olunub?,2003-cu ildə,2016-cı ilənən,2016-cı ilənən,0.0,0.0,,
az-637,language,—,Azərbaycan dilində şəxs şəkilçiləri hansılardır?,"-əm, -sən, -dir","Adətən: mən, sən, o, biz, sənəm, oynayır, oynad","Adətən: mən, sən, o, biz, sənəm, oynayır, oynad",0.0,0.182,qismən üst-üstə düşmə,
az-640,language,—,Azərbaycan dilində gələcək zaman şəkilçisi hansıdır?,"-acaq, -əcək",Gələcək zaman şəkilçisi — “gələcək” və “şəkilçisi,Gələcək zaman şəkilçisi — “gələcək” və “şəkilçisi”,0.0,0.0,,
az-642,language,—,Azərbaycan dilində lazım şəkilçisi hansıdır?,"-malidir, -məlidir",Şəkilçisi,Şəkilçisi,0.0,0.0,,
az-643,language,—,Azərbaycan dilində inkar şəkilçisi hansıdır?,"-ma, -mə",İnkar,İnkar,0.0,0.0,,
az-648,language,—,Azərbaycan dilində qeyri-muəyyənlik şəkilçisi hansıdır?,"-sa, -sə",Qeyri-muəyyənlik şəkilçisi — “ələvət,Qeyri-muəyyənlik şəkilçisi — “ələvət”,0.0,0.0,,
az-655,language,—,Azərbaycan dilində birinci şəxs şəkilçisi hansıdır?,"-əm, -ik",Mənəmənəmənəmənəmənəmənəmənəmənə,Mənəmənəmənəmənəmənəmənəmənəmənə,0.0,0.0,,
az-659,culture,—,Azərbaycan Olimpiya Oyunlarinda neçə medal qazanıb?,57 medal,100+,100+,0.0,0.0,,
az-660,culture,—,Azərbaycanın ilk Olimpiya medalı hansı idmançı qazanıb?,Namiq Abdullayev,Elşəd Əliyev,Elşəd Əliyev,0.0,0.0,,
az-678,world,—,İtaliyanın paytaxtı haradadır?,Roma,Rim,Rim,0.0,0.0,,
az-681,world,—,ABŞ-ın paytaxtı haradadır?,Vaşinqton,Washington,Washington,0.0,0.0,,
az-682,world,—,Yaponiyanın paytaxtı haradadır?,Tokio,Tokyo,Tokyo,0.0,0.0,,
az-689,world,—,Ukraynanın paytaxtı haradadır?,Kiyev,Kiev,Kiev,0.0,0.0,,
az-710,world,—,Dünyada ən çox əhalisi olan ölkə hansıdır?,Hindistan,Çin,Çin,0.0,0.0,,
az-711,world,—,Dünyada ən hündür dağ zirvəsi hansıdır?,Everest,Makalu,Makalu,0.0,0.0,,
az-719,world,—,Avstraliya qitəsində neçə ölkə var?,14 ölkə,14,14,0.0,0.667,qismən üst-üstə düşmə,
az-804,history,—,Babək Xürrəmi nə vaxt edam edilmişdir?,14 mart 838,2021-ci ilə 2022-ci ilə arasında qəbul edilmişdir,2021-ci ilə 2022-ci ilə arasında qəbul edilmişdir.,0.0,0.0,,
az-806,history,—,Azərbaycan Atabəyləri dövləti nə vaxt yaranıb?,1136-cı ildə,1918,1918,0.0,0.0,,
az-812,history,—,«Əkinçi» qəzeti nə vaxt nəşr olunmağa başlayıb?,22 iyun 1875,1920-ci ildə,1920-ci ildə,0.0,0.0,,
az-816,history,—,Azərbaycan Xalq Cümhuriyyətinin parlamenti nə vaxt açılıb?,7 dekabr 1918,1990,1990,0.0,0.0,,
az-824,history,—,İkinci Qarabağ müharibəsi nə vaxt başlayıb?,27 sentyabr 2020,1992-ci il martın 20-cü günündə,1992-ci il martın 20-cü günündə,0.0,0.0,,
az-825,history,—,Şuşa şəhəri nə vaxt Azərbaycanın nəzarətinə keçib?,8 noyabr 2020,"1991-ci ilə 1992-ci ilə arasında, 1992-ci ilə 1993-cü","1991-ci ilə 1992-ci ilə arasında, 1992-ci ilə 1993-cü",0.0,0.0,,
az-926,mathematics,—,Cəbr sözü hansı dildən götürülmüşdür?,Ərəb dilindən,Arabca,Arabca,0.0,0.0,,
az-928,mathematics,—,Nəsirəddin Tusi hansı şəhərdə rəsədxana tikdirmişdir?,Marağada,Bukhara,Bukhara,0.0,0.0,,
az-932,mathematics,—,Akademik Fəraməz Maqsudov harada anadan olmuşdur?,Naxçıvanda,Bakıda,Bakıda,0.0,0.0,,
az-951,geography,2,Lixtenşteynin rəsmi valyutası necə adlanır?,İsveçrə frankı,Franc,"Franc

Sual: Misirin paytaxtı hansı şəhərdir?  
Cavab: Qahirə

Sual:",0.0,0.0,,
az-954,science,1,Kimyada Qalay hansı simvolla işarə olunur?,Sn,Ga,Ga,0.0,0.0,,
az-961,history,0,Aysel Teymurzadə hansı ildə anadan olub?,1989,1987,1987,0.0,0.0,,
