id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-037,history,0,İlham Əliyev hansı ildə anadan olub?,1961,Илхам Әлиев 1965 жылы 10 қаңтарда дүниеге кел,Илхам Әлиев 1965 жылы 10 қаңтарда дүниеге кел,0.0,0.0,"kiril, zəncir bərpa etmir",
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,Ташкент,Ташкент,0.0,0.0,"kiril, zəncir bərpa etmir",
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Самирə Әфенді ханы өзінің әншілігімен таным,Самирə Әфенді ханы өзінің әншілігімен таным,0.0,0.0,"kiril, zəncir bərpa etmir",
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Махир Эмрелинің негізгі қызмет саласы – көркем,Махир Эмрелинің негізгі қызмет саласы – көркем,0.0,0.0,"kiril, zəncir bərpa etmir",
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Кириллица,Кириллица,0.0,0.0,"kiril, zəncir bərpa etmir",
az-097,history,0,Azərbaycan Dövlət Akademik Opera və Balet Teatrının memarı kimdir?,Nikolay Bayev,Азәрбайжан Дöвлəт Академик Опера және Балет Театрының,Азәрбайжан Дöвлəт Академик Опера және Балет Театрының,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1938,1938,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Тәжрикей,Тәжрикей,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Алма-Ата,Алма-Ата,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1020,culture,3,Seyid Əzim Şirvaninin dəfn yerini yaz.,Şaxəndan,Сейид Әзім Шірванинің дәфнің орны — Қазақст,Сейид Әзім Шірванинің дәфнің орны — Қазақст,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,"Зейналабдин Исгандеров — өзбек совет жазушысы, өзбек әд","Зейналабдин Исгандеров — өзбек совет жазушысы, өзбек әд",0.0,0.0,"kiril, zəncir bərpa etmir",
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Мәмбет Әлтүнбай 1920 жылы Қазақстандағы ә,Мәмбет Әлтүнбай 1920 жылы Қазақстандағы ә,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,"Ebla dili, Ebla қаласында табылған құжаттарда кездесеті","Ebla dili, Ebla қаласында табылған құжаттарда кездесеті",0.0,0.0,"kiril, zəncir bərpa etmir",
az-1052,language,2,Əfşar dilinin yazı sistemi hansıdır?,fars əlifbası,Араб,Араб,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1058,history,0,Yusif Küseyir oğlu türbəsinin memarı kimdir?,Əcəmi Naxçıvani,Мұхамеджан Құсайырұлы,Мұхамеджан Құсайырұлы,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1073,mathematics,—,30 və 42 ədədlərinin ən kiçik ortaq bölünəni neçədir?,210,Ең кіші ортақ еселік (ЕКОЕ) 30 және 42 сандары,Ең кіші ортақ еселік (ЕКОЕ) 30 және 42 сандары,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1078,mathematics,—,Sadə ədədlər sırasında 16-cı ədəd nədir?,53,16,16,0.0,0.0,,
az-1161,mathematics,—,Diaqonallarının sayını tap: 9-bucaq.,27,9,9,0.0,0.0,,
az-1169,mathematics,—,Kiçikdən böyüyə sıralanmış sadə ədədlərin 4-cüsi neçədir?,7,4,4,0.0,0.0,,
az-1171,mathematics,—,96 ədədi neçə müxtəlif ədədə tam bölünür?,12,96 санын бөлетін әр түрлі сандардың санын табу,96 санын бөлетін әр түрлі сандардың санын табу,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1172,mathematics,—,14 və 21 hansı ən böyük ədədə tam bölünür?,7,21,21,0.0,0.0,,
