id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-021,geography,0,Kanadanın pul vahidi nədir?,Kanada dolları,Dollar,Dollar,0.0,0.0,,
az-040,history,3,Şəhriyar Məmmədyarovun anadan olduğu ili yaz.,1985,1952,1952,0.0,0.0,,
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,1916,1916,0.0,0.0,,
az-051,culture,2,Mehriban Əliyeva hansı yaşayış məntəqəsində dünyaya gəlib?,Bakı,Baku,Baku,1.0,0.0,morfologiya,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Qapıcı,Qapıcı,0.0,0.0,,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japoniya,Japoniya,0.0,0.0,,
az-089,language,0,Mandarin çincəsi hansı yazı sistemi ilə yazılır?,Çin yazısı,Hánzi,Hánzi,0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Şəmkir,Şəmkir,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Təbriz,Təbriz,0.0,0.0,,
az-102,history,1,Möminə Xatun türbəsi kimin layihəsidir?,Əcəmi Naxçıvani,Şəmsəddin bəy,Şəmsəddin bəy,0.0,0.0,,
az-1026,culture,1,Cəmil Əmirov nə ilə məşğul olub?,musiqiçi,Tərcümə işləri,Tərcümə işləri,0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Tərcüməçi,Tərcüməçi,0.0,0.0,,
az-1035,science,0,Mikayıl Müşfiq harada təhsil alıb?,Bakı Dövlət Universiteti,Qahirə,Qahirə,0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Eynəli bəy Sultanovun təhsil müəssisəsi: Eynəli bəy Sultanovun təhsil,Eynəli bəy Sultanovun təhsil müəssisəsi: Eynəli bəy Sultanovun təhsil,0.0,0.0,,
az-1046,language,0,Dan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Danci,Danci,0.0,0.0,,
az-1052,language,2,Əfşar dilinin yazı sistemi hansıdır?,fars əlifbası,Arab,Arab,0.0,0.0,,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,Məhəmmədarə,Məhəmmədarə,0.0,0.0,,
az-1058,history,0,Yusif Küseyir oğlu türbəsinin memarı kimdir?,Əcəmi Naxçıvani,Məhərrəmi,Məhərrəmi,0.0,0.0,,
az-1064,geography,2,Pirsaatçay hansı su hövzəsinə qovuşur?,Xəzər dənizi,Nila,Nila,0.0,0.0,,
az-1087,mathematics,—,Diaqonallarının sayını tap: 18-bucaq.,135,7,7,0.0,0.0,,
az-1101,mathematics,—,"Birdən 40-ə kimi bütün natural ədədləri toplasaq, neçə alınar?",820,1540,1540,0.0,0.0,,
az-1147,mathematics,—,İlk 50 natural ədədin cəmi neçədir?,1275,2500,2500,0.0,0.0,,
az-1152,mathematics,—,13 tərəfi olan çoxbucaqlıda neçə diaqonal çəkmək olar?,65,21,21,0.0,0.0,,
az-1160,mathematics,—,Daxili bucaqlarının cəmini tap: 13-bucaq.,1980,13,13,0.0,0.0,,
az-1162,mathematics,—,20-ci sadə ədədi yaz.,71,109,109,0.0,0.0,,
az-1164,mathematics,—,Bölənlərinin sayını tap: 144.,15,12,12,0.0,0.0,,
az-1179,mathematics,—,11 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,1620,360 dərəcə,360 dərəcə,0.0,0.5,qismən üst-üstə düşmə,
az-1202,science,3,Nikel elementində neçə proton var?,28,7,7,0.0,0.0,,
az-1222,science,3,Volfram elementində neçə proton var?,74,6,6,0.0,0.0,,
az-1243,science,0,Lantan elementinin atom nömrəsi neçədir?,57,39,39,0.0,0.0,,
az-1253,science,2,Palladium elementinin kəşfçisini yaz.,Vilyam Hayd Vollaston,Lothar Ewald von Richter,Lothar Ewald von Richter,0.0,0.0,,
az-1268,world,0,İsveçin telefon kodu nədir?,+46,+41,+41,0.0,0.0,,
az-1274,world,2,Əfqanıstanın beynəlxalq telefon kodunu yaz.,+93,+92,+92,0.0,0.0,,
az-1321,world,1,Kipr Respublikasında beynəlxalq telefon kodu hansıdır?,+357,+99,+99,0.0,0.0,,
az-1335,mathematics,—,46913 sayının rəqəmlərini toplasaq nə alınar?,23,19,19,0.0,0.0,,
az-1356,mathematics,—,1001 ədədi neçə müxtəlif sadə ədədə bölünür?,3,1001,1001,0.0,0.0,,
az-1357,mathematics,—,İki bucağı 72 və 66 dərəcə olan üçbucağın digər bucağı neçə dərəcədir?,42,180 - 72 - 66 = 42,180 - 72 - 66 = 42,0.0,0.4,qismən üst-üstə düşmə,
az-1372,mathematics,—,365 sayının 11 sayına bölünməsindən alınan qalıq nədir?,2,11,11,0.0,0.0,,
az-1382,mathematics,—,"Qüvvəti hesabla: əsas 11, göstərici 3.",1331,11 + 3 = 14,11 + 3 = 14,0.0,0.0,,
az-1398,mathematics,—,2 saatlıq müddət neçə saniyə edir?,7200,120,120,0.0,0.0,,
az-1421,mathematics,—,"Qüvvəti hesabla: əsas 5, göstərici 4.",625,20,20,0.0,0.0,,
az-1452,geography,0,Kamerunun paytaxtı hansı şəhərdir?,Yaunde,Yaoundun,Yaoundun,0.0,0.0,,
az-1454,geography,2,Uqandanın paytaxtının adı nədir?,Kampala,Kabaqı,Kabaqı,0.0,0.0,,
az-1476,geography,0,Kosta-Rikanın paytaxtı hansı şəhərdir?,San-Xose,San José,San José,0.0,0.5,qismən üst-üstə düşmə,
az-1486,geography,2,Syerra-Leonenin paytaxtının adı nədir?,Fritaun,Friburqa,Friburqa,0.0,0.0,,
az-1505,geography,1,Hansı şəhər Dominikan Respublikasının paytaxtıdır?,Santo-Dominqo,Santo Domingo,Santo Domingo,0.0,0.5,qismən üst-üstə düşmə,
az-1510,geography,2,Naurunun paytaxtının adı nədir?,Yaren,Dəkkə,Dəkkə,0.0,0.0,,
az-1513,geography,1,Hansı şəhər Samoanın paytaxtıdır?,Apia,Samoa,Samoa,0.0,0.0,,
az-1552,language,2,Monqolustanın dövlət dili necə adlanır?,Monqol dili,Monqol,Monqol,0.0,0.667,qismən üst-üstə düşmə,
az-1561,language,3,Şimali Kiprin rəsmi dilini yaz.,türk dili,Tərcümə,Tərcümə,0.0,0.0,,
az-1579,science,1,Dövri cədvəldə Terbitium hansı nömrə ilə durur?,65,100,100,0.0,0.0,,
az-1588,science,2,Kopernisiumun atom nömrəsini yaz.,112,70,70,0.0,0.0,,
az-1596,science,2,Unbiuniumun atom nömrəsini yaz.,121,137,137,0.0,0.0,,
az-501,geography,—,Azərbaycanın ən alçaq nöqtəsi haradadır?,Xəzər dənizi,Qafqazda,Qafqazda,0.0,0.0,,
az-519,geography,—,Abşeron yarımadası harada yerləşir?,Xəzər dənizində,Cənubi-Şərqi Asiya,Cənubi-Şərqi Asiya,0.0,0.0,,
az-532,geography,—,Azərbaycanın qərb nöqtəsi haradadır?,Çıandar gölü,Qafqasda,Qafqasda,0.0,0.0,,
az-536,geography,—,Quba rayonu hansı dağların ətrafındadır?,Böyük Qafqaz,Qabala,Qabala,0.0,0.0,,
az-545,science,—,Atomun əsas hissələri hansılardır?,"Proton, neytron, elektron",Nukleonlar,Nukleonlar,0.0,0.0,,
az-547,science,—,Havanın əsas tərkib hissəsi nədir?,Azot,N₂,N₂,0.0,0.0,,
az-557,science,—,İnsan bədənində neçə sümük var?,206 sümük,206,206,0.0,0.667,qismən üst-üstə düşmə,
az-565,science,—,Ən yungul element hansıdır?,Hidrogen,Hücuq,Hücuq,0.0,0.0,,
az-578,science,—,Ən yaxin ulduz hansıdır?,Gunəş,Qasır,"Qasır

Sual: Həyatın ən vacib elementləri hansı?
Cavab: H₂O",0.0,0.0,,
az-583,culture,—,Səməd Vurğunun əsas əsəri hansıdır?,Vaqif,Şəms,"""Şəms""",0.0,0.0,,
az-603,culture,—,Azərbaycan mətbəxində əsas ət məhsulu hansıdır?,Qoyun əti,Qoyunət,Qoyunət,0.0,0.0,,
az-606,culture,—,Şəkərbura hansı bayramda hazırlanır?,Novruz,Şərabura,Şərabura,0.0,0.0,,
az-607,culture,—,Paqlava hansı bayramda hazırlanır?,Novruz,Nuzul,Nuzul,0.0,0.0,,
az-608,culture,—,Qoğal hansı bayramda hazırlanır?,Novruz,Qoğal,Qoğal,0.0,0.0,,
az-619,language,—,Azərbaycan əlifbasinda neçə hərf var?,32 hərf,24,24,0.0,0.0,,
az-623,language,—,Azərbaycan ədəbi dilin əsası hansı ləhqədir?,Bakıda ləhqəsi,Farsı,Farsı,0.0,0.0,,
az-629,language,—,Azərbaycan dilində neçə hal var?,6 hal,2,2,0.0,0.0,,
