id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-014,geography,1,Türkiyədə hansı pul vahidi işlənir?,Türk lirəsi,Lirə,Lirə,0.0,0.0,,
az-039,history,2,Mehriban Əliyevanın doğum ili hansıdır?,1964,1963,1963,0.0,0.0,,
az-058,culture,1,Rafiq Radik oğlu Hüseynovun doğulduğu yer haradır?,Daşkənd,Bakı,Bakı,0.0,0.0,,
az-068,culture,3,Şərif Şərifovun peşəsini yaz.,güləşçi,Sərbəst güləşçi,Sərbəst güləşçi,0.0,0.667,qismən üst-üstə düşmə,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Kirill əlifbası,Kirill əlifbası,0.0,0.5,qismən üst-üstə düşmə,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Latın qrafikalı əlifba,Latın qrafikalı əlifba,0.0,0.4,qismən üst-üstə düşmə,
az-098,history,1,Təzəpir məscidi kimin layihəsidir?,Yevgeni Skibinski,Zivər bəy Əhədrəhimov,Zivər bəy Əhədrəhimov,0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1918,1918,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Təbriz,Təbriz,0.0,0.0,,
az-1008,culture,3,Süleyman Rüstəmin doğum yerini yaz.,Novxanı,Bakının Xanlıqlar məhəlləsi,Bakının Xanlıqlar məhəlləsi,0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,Praqa,Praqa,0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Səmərqənd,Səmərqənd,0.0,0.0,,
az-1022,culture,1,Ceyhun bəy Hacıbəylinin məzarı haradadır?,Sen-Klu qəbiristanlığı,"Füzuli şəhərində, ""Şəhidlər kompleksi""ndə","Füzuli şəhərində, ""Şəhidlər kompleksi""ndə",0.0,0.0,,
az-1027,culture,2,Varis Yolçiyev hansı sahədə fəaliyyət göstərib?,yazıçı,Musiqi,Musiqi,0.0,0.0,,
az-1028,culture,3,Əjdər Ağayevin fəaliyyət növünü yaz.,pedaqoq,Rejissor,Rejissor,0.0,0.0,,
az-1030,culture,1,Ömər Qoçulu nə ilə məşğul olub?,memar,Aşıq sənəti ilə,Aşıq sənəti ilə.,0.0,0.0,,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Moskva Dövlət Universiteti,Moskva Dövlət Universiteti,0.0,0.0,,
az-1042,science,3,Nafiə Abidin təhsil müəssisəsini yaz.,İstanbul Universiteti,ADNSU,ADNSU,0.0,0.0,,
az-1043,culture,0,Sədi Yüzbəndi hansı mükafata layiq görülüb?,"""21 Azər"" medalı","Qızıl Kəlmə"" mükafatı","""Qızıl Kəlmə"" mükafatı",0.0,0.0,,
az-1046,language,0,Dan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Latın qrafikalı əlifba,Latın qrafikalı əlifba,0.0,0.4,qismən üst-üstə düşmə,
az-1054,history,0,Gövhər ağa məscidinin memarı kimdir?,Kərbəlayı Səfixan Qarabaği,Kərbəlayi Səfixan Qarabaği,Kərbəlayi Səfixan Qarabaği,1.0,0.667,morfologiya,
az-1057,history,3,Vaqif türbəsinin memarının adını yaz.,Əbdülvahab Salamzadə,Əcəmi Naxçıvani,Əcəmi Naxçıvani,0.0,0.0,,
