id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-024,geography,3,Polşanın pul vahidinin adını yaz.,Polşa zlotı,Złoty,Złoty,0.0,0.0,,
az-033,science,0,Helium elementinin kimyəvi simvolu nədir?,He,Ne 🌏,Ne 🌏,0.0,0.0,,
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,1960年,1960年,0.0,0.0,,
az-044,history,3,Ayaz Mütəllibovun anadan olduğu ili yaz.,1938,1980,1980,0.0,0.0,,
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1960年,1960年,0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,İzəy,İzəy.,0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Səhv. Samirə Əfəndi Əfətər peşəsındən tanınır,Səhv. Samirə Əfəndi Əfətər peşəsındən tanınır,0.0,0.0,,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,日本语（日本の公式言い）,日本语（日本の公式言い）,0.0,0.0,,
az-077,language,0,İtaliyanın rəsmi dili hansıdır?,italyan dili,İtaliya dili,İtaliya dili.,0.0,0.667,qismən üst-üstə düşmə,
az-081,language,0,İspaniyanın rəsmi dili hansıdır?,ispan dili,Español,Cavab: Español,0.0,0.0,,
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,Sual: Avadhi üçün hansı yazı sistemindən istifadə olunur,"Sual: Avadhi üçün hansı yazı sistemindən istifadə olunur?  
Cavab: Devə",0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1991年,1991年,0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Çıxılan ərək,Cavab: Çıxılan ərək.,0.0,0.0,,
az-1013,history,0,Firidun bəy Köçərli harada vəfat edib?,Gəncə,İstanbul,İstanbul.,0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,"Mirvarid Dilbazi — İranın şəhərı, əvvəl İranın əsas şəh","Mirvarid Dilbazi — İranın şəhərı, əvvəl İranın əsas şəh",0.0,0.0,,
az-1021,culture,0,Bəhruz Kəngərli harada dəfn olunub?,Naxçıvan,Çin,Cavab: Çin.,0.0,0.0,,
az-1025,culture,0,Asəf Zeynallının peşəsi nədir?,bəstəkar,şəxsiyyət şəfəti,Cavab: şəxsiyyət şəfəti,0.0,0.0,,
az-1033,language,0,Qətran Təbrizi hansı dildə yazıb?,fars dili,Türkü,Cavab: Türkü.,0.0,0.0,,
az-1039,science,0,Abdulla Sur harada təhsil alıb?,İstanbul Universiteti,İstanbul,İstanbul.,0.0,0.667,qismən üst-üstə düşmə,
az-1042,science,3,Nafiə Abidin təhsil müəssisəsini yaz.,İstanbul Universiteti,İslamçı əcərə,İslamçı əcərə.,0.0,0.0,,
az-1049,language,3,Hatt dilinin yazı sistemini yaz.,mixi yazı,Hatt dilinin yazı sistemini yaz,"Hatt dilinin yazı sistemini yaz.  
Cavab: Hatt dilinin yazı sistemini yaz.",0.0,0.286,qismən üst-üstə düşmə,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,İ. �ıxın (İlər Çıxın),Cavab: İ. �ıxın (İlər Çıxın),0.0,0.0,,
az-1062,geography,0,Anaxatır hara tökülür?,Kür,Anaximenes,Anaximenes.,0.0,0.0,,
az-1093,mathematics,—,"Ən kiçik ortaq bölünənini tap: 16, 28.",112,4,4,0.0,0.0,,
az-1105,mathematics,—,Hansı ədədi özünə vursaq 289 alınar?,17,13²,13²,0.0,0.0,,
az-1116,mathematics,—,7 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,900,1800⁰,1800⁰,0.0,0.0,,
az-1127,mathematics,—,9-cu sadə ədədi yaz.,23,19,19,0.0,0.0,,
az-1151,mathematics,—,12 tərəfi olan çoxbucaqlının daxili bucaqları cəmi nə qədərdir?,1800,1800⁰,1800⁰,0.0,0.0,,
az-1222,science,3,Volfram elementində neçə proton var?,74,92,92,0.0,0.0,,
az-1232,science,1,Dövri cədvəldə Tantal hansı nömrə ilə durur?,73,50,50,0.0,0.0,,
az-1248,science,1,Silisiumun kəşfi kimə aiddir?,Yens Yakov Bertselius,Н. Лёвениусу (нем. Н. Левену),Cavab: Н. Лёвениусу (нем. Н. Левену),0.0,0.0,"kiril, zəncir bərpa etmir",
az-1257,science,2,Torium elementinin kəşfçisini yaz.,Yens Yakov Bertselius,Кюри,Кюри.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1274,world,2,Əfqanıstanın beynəlxalq telefon kodunu yaz.,+93,+994,+994,0.0,0.0,,
az-1279,world,3,Hansı telefon kodu İslandiyanın aiddir?,+354,+372,+372,0.0,0.0,,
az-1289,world,1,Qazaxıstanda beynəlxalq telefon kodu hansıdır?,+7,+994,+994,0.0,0.0,,
az-1298,world,2,Vatikanın beynəlxalq telefon kodunu yaz.,+379,392,392,0.0,0.0,,
az-1303,world,3,Hansı telefon kodu Latviyanın aiddir?,+371,+372,+372,0.0,0.0,,
az-1322,world,2,Qananın beynəlxalq telefon kodunu yaz.,+233,+27,+27,0.0,0.0,,
az-1334,mathematics,—,"Əsası 2, göstəricisi 10 olan qüvvət neçəyə bərabərdir?",1024,10000000000000000000000000000000,10000000000000000000000000000000,0.0,0.0,,
az-1343,mathematics,—,Qalığı hesabla: 628 ədədinin 15 ədədinə bölünməsi.,13,101.833... (yəni 628 ÷ 15 = 41.8666...),101.833... (yəni 628 ÷ 15 = 41.8666...),0.0,0.0,,
az-135,culture,1,Habil Əliyevin ifa etdiyi alət hansıdır?,kamança,Żərəkətli çəkər (dənə),Cavab: **Żərəkətli çəkər** (dənə),0.0,0.0,,
az-1378,mathematics,—,"Arifmetik silsilədə birinci hədd 5, fərq isə 3 ədədidir. 20-ci hədd nədir?",62,5 + (20-1)3 = 62,5 + (20-1)*3 = 62,0.0,0.333,qismən üst-üstə düşmə,
az-1408,mathematics,—,10 ilə 20 arasındakı bütün tam ədədlərin cəmi neçədir (hər ikisi daxil olmaqla)?,165,145,145,0.0,0.0,,
az-1430,mathematics,—,1000 ədədi 23 ədədinə bölünəndə nə qədər qalıq qalır?,11,1000 ədədi 23 ədədinə bölünəndə 10 qalıq q,1000 ədədi 23 ədədinə bölünəndə 10 qalıq q,0.0,0.0,,
az-1443,geography,3,Monqolustanın paytaxtını yaz.,Ulan-Bator,Бухара,Бухара,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1446,geography,2,Qırğızıstanın paytaxtının adı nədir?,Bişkek,Бишкек,Бишкек,0.0,0.0,yazı sistemi,
az-1466,geography,2,Bəhreynin paytaxtının adı nədir?,Manama,Mərkəz,Mərkəz.,0.0,0.0,,
az-1473,geography,1,Hansı şəhər Burundinin paytaxtıdır?,Gitega,Burundinin paytaxtı — İşə,Burundinin paytaxtı — **İşə**.,0.0,0.0,,
az-1486,geography,2,Syerra-Leonenin paytaxtının adı nədir?,Fritaun,Баку,Баку.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1497,geography,1,Hansı şəhər Mavrikinin paytaxtıdır?,Port-Lui,Тирас,Тирас.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1549,geography,1,Pəhləvilər İranında hansı pul vahidi işlənir?,İran rialı,تیاری (تیاری),تیاری (تیاری),0.0,0.0,,
az-1552,language,2,Monqolustanın dövlət dili necə adlanır?,Monqol dili,Монгол улусу,Монгол улусу.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1588,science,2,Kopernisiumun atom nömrəsini yaz.,112,96,96,0.0,0.0,,
az-1594,science,0,Ununennium elementinin atom nömrəsi neçədir?,119,118,118,0.0,0.0,,
az-1597,science,3,Unbibium elementində neçə proton var?,122,118,118,0.0,0.0,,
az-512,geography,—,Böyük Qafqaz dağları Azərbaycanın hansı hissəsindədir?,Şimalda,Qafqaz yuxarılandırması,Cavab: Qafqaz yuxarılandırması,0.0,0.0,,
az-514,geography,—,Azərbaycanın sahəsi neçə km2-dir?,86.600 km2,28 743,28 743,0.0,0.0,,
az-515,geography,—,Azərbaycan neçə ölkə ilə həmsərhəddir?,5 ölkə ilə,14,14,0.0,0.0,,
az-535,geography,—,Siyəzən rayonu hansı regiondadır?,Abşeron-Yalama,Siyəzən rayonu — Azərbaycan,Siyəzən rayonu — **Azərbaycan**.,0.0,0.0,,
az-549,science,—,Səsin sürəti havada neçədir?,340 m/s,343 m/s (havada 20°C),343 m/s (havada 20°C),0.0,0.444,qismən üst-üstə düşmə,
az-552,science,—,Ayin Yerin ətrafında dövrə müddəti nə qədərdir?,27.3 gün,"27,3 çapı (çapı)","27,3 çapı (çapı)",0.0,0.571,qismən üst-üstə düşmə,
az-562,science,—,İnsan bədəninin temperaturu neçədir?,36.6 °C,"36,6°C (normal temperatur)","36,6°C (normal temperatur)",0.0,0.75,qismən üst-üstə düşmə,
az-567,science,—,Atom nömrəsi 1 olan element hansıdır?,Hidrogen,Hydrojen,Hydrojen,0.0,0.0,,
az-588,culture,—,Fikrət Əmirov hansı əsərin müəllifidir?,Babək,Çıxış,"Cavab: ""Çıxış""",0.0,0.0,,
az-605,culture,—,Dolma hansı ətdən hazırlanır?,Qoyun əti,Sual: Dolma hansı ətdən hazırlanır,"Sual: Dolma hansı ətdən hazırlanır?  
Cavab: Çıxarılış ətd",0.0,0.0,,
az-608,culture,—,Qoğal hansı bayramda hazırlanır?,Novruz,Çıxış bayramı,Cavab: Çıxış bayramı,0.0,0.0,,
az-612,culture,—,Muğam neçə əsas şöbədən ibarətdir?,7 şöbə,10,10,0.0,0.0,,
az-619,language,—,Azərbaycan əlifbasinda neçə hərf var?,32 hərf,28,28,0.0,0.0,,
az-621,language,—,Azərbaycan dilində neçə samit hərf var?,23 samit,10,10,0.0,0.0,,
az-630,language,—,Azərbaycan dilində yiyəlik hal hansıdır?,"-ning, -nig","Azərbaycan dilində yiyəlik hal ""yərək""dir","Azərbaycan dilində yiyəlik hal ""yərək""dir.",0.0,0.0,,
az-634,language,—,Azərbaycan dilində yiyəlik hal nəyi bildirir?,Malikiyyət,Azərbaycan dilində yiyəlik hal nəyi bildirir,"Azərbaycan dilində yiyəlik hal nəyi bildirir?  
Cavab: **İşlənmi",0.0,0.0,,
az-650,language,—,Azərbaycan dilində təyin şəkilçisi hansıdır?,"-dir, -dir",ən,"Cavab: ""ən""",0.0,0.0,,
az-661,culture,—,Azərbaycanın ən çox medal qazandigi idman növ hansıdır?,Guləş,Çempionluk（Çempionluk）,Cavab: Çempionluk（Çempionluk）,0.0,0.0,,
az-662,culture,—,Azərbaycan neçə idman növundə Olimpiyada təmsil olunub?,22 idman növ,11,11,0.0,0.0,,
az-682,world,—,Yaponiyanın paytaxtı haradadır?,Tokio,Tokyo,Tokyo,0.0,0.0,,
az-687,world,—,Gürcüstanın paytaxtı haradadır?,Tbilisi,Тбилиси,Тбилиси.,0.0,0.0,yazı sistemi,
az-698,world,—,Fransada hansı pul vahidindən istifadə olunur?,Avro,Euro,Euro.,0.0,0.0,,
az-699,world,—,ABŞ-da hansı pul vahidindən istifadə olunur?,Dollar,Dollar (USD),Dollar (USD),0.0,0.667,qismən üst-üstə düşmə,
az-704,world,—,İranda hansı pul vahidindən istifadə olunur?,Rial,тонгри (тунгри),Cavab: тонгри (тунгри),0.0,0.0,"kiril, zəncir bərpa etmir",
az-712,world,—,Dünyada ən uzun çay hansıdır?,Nil,Yangtze (Çay),Cavab: Yangtze (Çay),0.0,0.0,,
az-714,world,—,Dünyada neçə qitə var?,7 qitə,13,13,0.0,0.0,,
az-719,world,—,Avstraliya qitəsində neçə ölkə var?,14 ölkə,14,14,0.0,0.667,qismən üst-üstə düşmə,
az-803,history,—,Babək Xürrəmilər hərəkatına nə vaxt başçılıq etməyə başlayıb?,816-cı ildə,1905年,1905年,0.0,0.0,,
az-805,history,—,Şirvanşahlar dövləti nə vaxt yaranıb?,861-ci ildə,1918-1920年（1918–1920）,1918-1920年（1918–1920）,0.0,0.0,,
az-808,history,—,Ağqoyunlu dövləti nə vaxt yaranıb?,1378-ci ildə,1912-1922年（1912–1922）,1912-1922年（1912–1922）,0.0,0.0,,
az-811,history,—,Türkmənçay müqaviləsi nə vaxt imzalanmışdır?,10 fevral 1828,1991年12月11日,1991年12月11日,0.0,0.0,,
az-817,history,—,11-ci Qırmızı Ordu Bakıya nə vaxt daxil olub?,27 aprel 1920,1991-1992,1991-1992.,0.0,0.0,,
az-821,history,—,Azərbaycan BMT-yə nə vaxt üzv olub?,2 mart 1992,Azərbaycan BMT-yə 2002-ci ildə üzv olub,Azərbaycan BMT-yə 2002-ci ildə üzv olub.,0.0,0.0,,
az-900,mathematics,—,Nəsirəddin Tusi riyaziyyatın hansı sahəsinə dünyada ilk dəfə müstəqil elm kimi yanaşmışdır?,Triqonometriya,Sual: Nəsirəddin Tusi riyaziyyatın hansı sahəsinə dünyada ilk dəf,Sual: Nəsirəddin Tusi riyaziyyatın hansı sahəsinə dünyada ilk dəf,0.0,0.0,,
az-907,mathematics,—,Riyaziyyatçı Məmməd Əfəndiyev hansı kafedranın müdiri olmuşdur?,Riyazi analiz,Riyaziyyatçı Məmməd Əfəndiyev 1989-cu ildə İran,Riyaziyyatçı Məmməd Əfəndiyev 1989-cu ildə İran,0.0,0.0,,
az-909,mathematics,—,Ali məktəb tələbələrinin ilk fənn olimpiadası hansı ildə keçirilmişdir?,1994-cü ildə,2009,2009,0.0,0.0,,
az-930,mathematics,—,Xəzər Universiteti hansı ildə təsis edilmişdir?,1991-ci ildə,2003年,2003年,0.0,0.0,,
az-932,mathematics,—,Akademik Fəraməz Maqsudov harada anadan olmuşdur?,Naxçıvanda,"Azerbaijan, Qazan","Azerbaijan, Qazan.",0.0,0.0,,
az-947,geography,2,Serbiyanın rəsmi valyutası necə adlanır?,Serb dinarı,динар (Динар),Cavab: динар (Динар),0.0,0.0,"kiril, zəncir bərpa etmir",
az-961,history,0,Aysel Teymurzadə hansı ildə anadan olub?,1989,1923年,1923年,0.0,0.0,,
az-964,history,3,Vüqar Həşimovun anadan olduğu ili yaz.,1986,1923年,1923年,0.0,0.0,,
az-973,culture,0,Zelim Kotsoyev harada anadan olub?,Beslan,Sual: Zelim Kotsoyev harada anadan olub,"Sual: Zelim Kotsoyev harada anadan olub?  
Cavab: İran.",0.0,0.0,,
az-983,culture,2,Maksim Medvedevin əsas fəaliyyət sahəsi nədir?,futbolçu,Çəkicilik,Cavab: Çəkicilik,0.0,0.0,,
az-987,language,2,Albaniyanın dövlət dili necə adlanır?,Alban dili,Albanian,Albanian.,0.0,0.0,,
az-992,language,3,Argentinanın rəsmi dilini yaz.,ispan dili,Spansız 🎨,Cavab: Spansız 🎨,0.0,0.0,,
