id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-042,history,1,Müslüm Maqomayev neçənci ildə doğulub?,1942,1987-ci ildə,1987-ci ildə,0.0,0.667,qismən üst-üstə düşmə,
az-051,culture,2,Mehriban Əliyeva hansı yaşayış məntəqəsində dünyaya gəlib?,Bakı,"Mehriban Əliyeva ""Yeni Şəhər"" məntəqəsində dünyaya gəlib","Mehriban Əliyeva ""Yeni Şəhər"" məntəqəsində dünyaya gəlib",0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Şəhriyar Məmmədyarovun doğum yeri: Bakı,Şəhriyar Məmmədyarovun doğum yeri: Bakı,0.0,0.0,,
az-058,culture,1,Rafiq Radik oğlu Hüseynovun doğulduğu yer haradır?,Daşkənd,Bakı,Bakı,0.0,0.0,,
az-067,culture,2,Mariya Stadnikin əsas fəaliyyət sahəsi nədir?,güləşçi,Mariya Stadnikin əsas fəaliyyət sahəsi — tədqiqat və təhsil,Mariya Stadnikin əsas fəaliyyət sahəsi — tədqiqat və təhsil,0.0,0.0,,
az-072,culture,3,Zemfira Meftahətdinovanın peşəsini yaz.,atıcı,Müəssisələşdirici müəssisələr üzrə müəssisələşdirici,Müəssisələşdirici müəssisələr üzrə müəssisələşdirici,0.0,0.0,,
az-083,language,2,Polşanın dövlət dili necə adlanır?,polyak dili,Polşa dili,Polşa dili,0.0,0.667,qismən üst-üstə düşmə,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1992,1992,0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,"Bakı şəhəri, Bakı rayonu, Bakı şəhərində, Bakı şəhər","Bakı şəhəri, Bakı rayonu, Bakı şəhərində, Bakı şəhər",0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,"Təbriz, Azərbaycan","Təbriz, Azərbaycan",0.0,0.0,,
az-1008,culture,3,Süleyman Rüstəmin doğum yerini yaz.,Novxanı,Bakı,Bakı,0.0,0.0,,
az-1010,history,1,Seyid Cəfər Pişəvərinin vəfat etdiyi yer haradır?,Yevlax,Bakı,Bakı,0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,Azərbaycan,Azərbaycan,0.0,0.0,,
az-1019,culture,2,Ümgülsüm Sadıqzadə hansı yerdə torpağa tapşırılıb?,Şaxəndan,Ümgülsüm Sadıqzadə Azərbaycanın Qazax rayonunda torpağa tapşırılıb,Ümgülsüm Sadıqzadə Azərbaycanın Qazax rayonunda torpağa tapşırılıb.,0.0,0.0,,
az-1031,culture,2,Sabir Mustafayev hansı sahədə fəaliyyət göstərib?,tərcüməçi,Sabir Mustafayev — təhsil və tərbiyə sahəsində fəaliyyət gö,Sabir Mustafayev — təhsil və tərbiyə sahəsində fəaliyyət gö,0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Eynəli Bəy Sultanovun təhsil müəssisəsi — Eynəli Bəy Sultanov adına M,Eynəli Bəy Sultanovun təhsil müəssisəsi — Eynəli Bəy Sultanov adına M,0.0,0.0,,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,"Məmməd Altunbay, 1990-cı ildə Azərbaycanın ən məşh","Məmməd Altunbay, 1990-cı ildə Azərbaycanın ən məşh",0.0,0.0,,
az-1042,science,3,Nafiə Abidin təhsil müəssisəsini yaz.,İstanbul Universiteti,Nafiə Abidin Ləğənəli Məktəbi,Nafiə Abidin Ləğənəli Məktəbi,0.0,0.0,,
az-1046,language,0,Dan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Latın alfabəsi ilə,Latın alfabəsi ilə,0.0,0.4,qismən üst-üstə düşmə,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,"Ebla dili, çoxlu dövrələrdə qeyd edilən ""Ebla yazı sistemi"" ilə","Ebla dili, çoxlu dövrələrdə qeyd edilən ""Ebla yazı sistemi"" ilə",0.0,0.167,qismən üst-üstə düşmə,
az-1055,history,1,Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi kimin layihəsidir?,İosif Ploşko,Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi — Müq,Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi — **Müq,0.0,0.0,,
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,Məhəmməd Ələkbərli,Məhəmməd Ələkbərli,0.0,0.0,,
az-1069,mathematics,—,6-cı sadə ədəd hansıdır?,13,6,6,0.0,0.0,,
az-1093,mathematics,—,"Ən kiçik ortaq bölünənini tap: 16, 28.",112,4,4,0.0,0.0,,
az-1118,mathematics,—,Sadə ədədlər sırasında 11-ci ədəd nədir?,31,11,11,0.0,0.0,,
az-1164,mathematics,—,Bölənlərinin sayını tap: 144.,15,144,144,0.0,0.0,,
az-1177,mathematics,—,8-ci sadə ədəd hansıdır?,19,23,23,0.0,0.0,,
az-1185,mathematics,—,24-cü sadə ədədi yaz.,89,24,24,0.0,0.0,,
az-1237,science,2,Ruteniumun atom nömrəsini yaz.,44,43,43,0.0,0.0,,
az-1249,science,2,Kalium elementinin kəşfçisini yaz.,Hemfri Devi,Wilhelm Ostwald,Wilhelm Ostwald,0.0,0.0,,
az-1255,science,0,Astat elementini kim kəşf edib?,Emilio Gino Segre,Mendeleev,Mendeleev,0.0,0.0,,
az-1257,science,2,Torium elementinin kəşfçisini yaz.,Yens Yakov Bertselius,Česlav M. Štěpánek,Česlav M. Štěpánek,0.0,0.0,,
az-1261,science,2,Fermium elementinin kəşfçisini yaz.,Qlenn Teodor Siborq,Glenn Seaborg,Glenn Seaborg,0.0,0.0,,
az-1284,world,0,Cənubi Koreyanın telefon kodu nədir?,+82,+850,+850,0.0,0.0,,
az-1297,world,1,Bosniya və Herseqovinada beynəlxalq telefon kodu hansıdır?,+387,+372,+372,0.0,0.0,,
az-1316,world,0,Livanın telefon kodu nədir?,+961,+352,+352,0.0,0.0,,
az-1322,world,2,Qananın beynəlxalq telefon kodunu yaz.,+233,+254,+254,0.0,0.0,,
az-1326,mathematics,—,792 ədədinin neçə fərqli sadə böləni var?,3,12,12,0.0,0.0,,
az-1342,mathematics,—,111111 ikilik ədədinin onluq qarşılığı nədir?,63,127,127,0.0,0.0,,
az-1359,mathematics,—,"Birinci həddi 4, fərqi 12 olan silsilədə 16-cı hədd hansı ədəddir?",184,4 + 12(16-1) = 184,4 + 12*(16-1) = 184,0.0,0.333,qismən üst-üstə düşmə,
az-1390,mathematics,—,Onluq sistemə çevir: ikilik 11100011.,227,199,199,0.0,0.0,,
az-1424,mathematics,—,Üçbucağın üçüncü bucağını tap: 47 dərəcə və 63 dərəcə.,70,90 dərəcə,90 dərəcə,0.0,0.5,qismən üst-üstə düşmə,
az-1426,mathematics,—,"Həddi tap: ilk hədd 13, fərq 8, nömrə 10.",85,13 + 89 = 73,13 + 8*9 = 73,0.0,0.0,,
az-1430,mathematics,—,1000 ədədi 23 ədədinə bölünəndə nə qədər qalıq qalır?,11,747,747,0.0,0.0,,
az-1449,geography,1,Hansı şəhər Namibiyanın paytaxtıdır?,Vindhuk,Windhoek,Windhoek,0.0,0.0,,
az-1463,geography,3,Burkina-Fasonun paytaxtını yaz.,Uaqaduqu,Ouagadougou,Ouagadougou,0.0,0.0,,
az-1472,geography,0,Toqonun paytaxtı hansı şəhərdir?,Lome,Təkəşi,Təkəşi,0.0,0.0,,
az-1492,geography,0,Qətərin paytaxtı hansı şəhərdir?,Doha,Qətərin paytaxtı Qətərdir,Qətərin paytaxtı Qətərdir.,0.0,0.0,,
az-1505,geography,1,Hansı şəhər Dominikan Respublikasının paytaxtıdır?,Santo-Dominqo,Santo Domingo,Santo Domingo,0.0,0.5,qismən üst-üstə düşmə,
az-1511,geography,3,Vanuatunun paytaxtını yaz.,Port Vila,Porto,"Porto

Vanuatunun paytaxtı Porto-dir.",0.0,0.0,,
az-1512,geography,0,Dominikanın paytaxtı hansı şəhərdir?,Rozo,Santo Domingo,Santo Domingo,0.0,0.0,,
az-1514,geography,2,Tonqanın paytaxtının adı nədir?,Nukualofa,Tonqanın paytaxtı — Kunming,Tonqanın paytaxtı — **Kunming**.,0.0,0.0,,
az-1526,geography,2,Mikroneziyanın paytaxtının adı nədir?,Palikir,Naypya,Naypya,0.0,0.0,,
az-1527,geography,3,Arubanın paytaxtını yaz.,Oranjestad,Ponta,Ponta,0.0,0.0,,
az-1544,geography,0,Qrenlandiyanın pul vahidi nədir?,Danimarka kronu,Krona,Krona,0.0,0.0,,
az-1552,language,2,Monqolustanın dövlət dili necə adlanır?,Monqol dili,Mongolca,Mongolca,0.0,0.0,,
az-1553,language,3,Qırğızıstanın rəsmi dilini yaz.,qırğız dili,Kırgızça,Kırgızça,0.0,0.0,,
az-1556,language,2,Özbəkistanın dövlət dili necə adlanır?,özbək dili,Özbəkistanın dövlət dili — Özbək dili,Özbəkistanın dövlət dili — Özbək dili.,0.0,0.571,qismən üst-üstə düşmə,
az-1571,science,1,Dövri cədvəldə Meytnerium hansı nömrə ilə durur?,109,1011,1011,0.0,0.0,,
az-1574,science,0,Prometium elementinin atom nömrəsi neçədir?,61,89,89,0.0,0.0,,
az-1576,science,2,Prazeodimin atom nömrəsini yaz.,59,58,58,0.0,0.0,,
az-1579,science,1,Dövri cədvəldə Terbitium hansı nömrə ilə durur?,65,87,87,0.0,0.0,,
az-1597,science,3,Unbibium elementində neçə proton var?,122,118,118,0.0,0.0,,
az-523,geography,—,Lənkəranda əsas kənd təsərrüfatı məhsulu nədir?,Çay,Gələnək,Gələnək,0.0,0.0,,
az-524,geography,—,Azərbaycanın ən quru regionu hansıdır?,Abşeron,Qazax rayonu,Qazax rayonu,0.0,0.0,,
az-544,science,—,Fotosintez hansı prosesdir?,Bitkilərin qida sintezi,Bitkilərdə müxtəlif işıq və karbon dioksid ilə gələn enerji ilə gl,Bitkilərdə müxtəlif işıq və karbon dioksid ilə gələn enerji ilə gl,0.0,0.0,,
az-581,culture,—,Xətai hansı əsərin müəllifidir?,Dəhnamə,Məhəmməd Əliyev,Məhəmməd Əliyev,0.0,0.0,,
az-589,culture,—,Tofig Quliyev hansı əsərin müəllifidir?,Gəlin qayası,Qarabağ” əsəri,“Qarabağ” əsəri,0.0,0.0,,
az-617,culture,—,Azərbaycanda ilk rəssam kimdir?,Mir Möhsun Nəvvab,İlham Əliyev,İlham Əliyev,0.0,0.0,,
az-619,language,—,Azərbaycan əlifbasinda neçə hərf var?,32 hərf,30,30,0.0,0.0,,
az-621,language,—,Azərbaycan dilində neçə samit hərf var?,23 samit,24,24,0.0,0.0,,
az-632,language,—,Azərbaycan dilində yönluk hal hansıdır?,"-a, -ə",Yönələnmiş hal,Yönələnmiş hal,0.0,0.0,,
az-640,language,—,Azərbaycan dilində gələcək zaman şəkilçisi hansıdır?,"-acaq, -əcək",Gələcək zaman şəkilçisi – “gələcək” və ya “gələc,Gələcək zaman şəkilçisi – “gələcək” və ya “gələc,0.0,0.0,,
az-646,language,—,Azərbaycan dilində bənzətmə şəkilçisi hansıdır?,"-ki, -kim",Bənzətmə şəkilçisi – “Bənzətmə” şəkilçisi,Bənzətmə şəkilçisi – “Bənzətmə” şəkilçisi.,0.0,0.0,,
az-653,language,—,Azərbaycan dilində xəbər şəkilçisi cəmləndirmə nəyi bildirir?,Çıoxluq,Xəbər şəkilçisi cəmləndirmə — xəbər şəkilçisi cəmlə,Xəbər şəkilçisi cəmləndirmə — xəbər şəkilçisi cəmlə,0.0,0.0,,
az-678,world,—,İtaliyanın paytaxtı haradadır?,Roma,Rim,Rim,0.0,0.0,,
az-679,world,—,İngiltərənin paytaxtı haradadır?,London,Londra,Londra,0.0,0.0,,
az-682,world,—,Yaponiyanın paytaxtı haradadır?,Tokio,Tokyo,Tokyo,0.0,0.0,,
az-683,world,—,Çinin paytaxtı haradadır?,Pekin,Beijing,Beijing,0.0,0.0,,
az-689,world,—,Ukraynanın paytaxtı haradadır?,Kiyev,Kiev,Kiev,0.0,0.0,,
az-692,world,—,İsveçin paytaxtı haradadır?,Stokholm,Stockholm,Stockholm,0.0,0.0,,
az-694,world,—,Danimarkanın paytaxtı haradadır?,Kopenhagen,Copenhagen,Copenhagen,0.0,0.0,,
az-706,world,—,Çında hansı pul vahidindən istifadə olunur?,Yuan,"Çinlərdə istifadə olunan pul vahidindən ""Yuan"" (RMB)dir","Çinlərdə istifadə olunan pul vahidindən ""Yuan"" (RMB)dir.",0.0,0.222,qismən üst-üstə düşmə,
az-713,world,—,Dünyada ən böyük okean hansıdır?,Sakit okean,Pacifik Okeanı,Pacifik Okeanı,0.0,0.5,qismən üst-üstə düşmə,
az-715,world,—,Avropa qitəsində neçə ölkə var?,44 ölkə,44,44,0.0,0.667,qismən üst-üstə düşmə,
az-800,history,—,Qafqaz Albaniyası dövləti nə vaxt süqut edib?,705-ci ildə,2022-ci ilə 2023-cü ilə qədər,"2022-ci ilə 2023-cü ilə qədər

**Dəqiq cavab:** Qaf",0.0,0.2,qismən üst-üstə düşmə,
az-803,history,—,Babək Xürrəmilər hərəkatına nə vaxt başçılıq etməyə başlayıb?,816-cı ildə,1988-ci ilə 1990-cı ilə qədər,"1988-ci ilə 1990-cı ilə qədər

**Yaxşı cavab:** 19",0.0,0.2,qismən üst-üstə düşmə,
az-805,history,—,Şirvanşahlar dövləti nə vaxt yaranıb?,861-ci ildə,1258-ci ildən 1260-cı ildə kimi dövlət yaranıb,1258-ci ildən 1260-cı ildə kimi dövlət yaranıb.,0.0,0.333,qismən üst-üstə düşmə,
az-818,history,—,Azərbaycan SSR nə vaxt yaradılmışdır?,28 aprel 1920,1918,1918,0.0,0.0,,
az-824,history,—,İkinci Qarabağ müharibəsi nə vaxt başlayıb?,27 sentyabr 2020,1992-ci il martın 20-cü ilə 27-ci günündə,1992-ci il martın 20-cü ilə 27-ci günündə,0.0,0.154,qismən üst-üstə düşmə,
