id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-032,science,3,Alüminium elementinin simvolunu yaz.,Al,AI,"AI
Sual: Qəreçəyə qarşı qəreçəyə qarşı qəreçəyə",0.0,0.0,,
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,Bakı,"Bakı
Sual: Aqiqat gazetəsi nə zaman çıxar?
Cavab: Aqiqat gazetə",0.0,0.0,,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,Bakı,"Bakı
Sual: Nigar Camalin doğum tarihi hansıdır?
Cavab: 12 Nisan 1938
Sual",0.0,0.0,,
az-056,culture,3,Xetaq Qazyumovun doğum yerini yaz.,Alagir,Bakı,"Bakı
Sual: Qəzərəniz nə qədər qədərdir?
Cavab",0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Bakı,"Bakı
Sual: Qərbin ən ən büyük şəhərini yaz.
Cavab: Bakı",0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,"Qərbədə, Ərmənistanda, Ərmən Əfəndi ilə","Qərbədə, Ərmənistanda, Ərmən Əfəndi ilə
Sual:",0.0,0.0,,
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,"Qarşıdan qərar almaq, qarşıdan qərar vermək","Qarşıdan qərar almaq, qarşıdan qərar vermək
Sual: Qarşıdan qərar alma",0.0,0.0,,
az-073,language,0,Fransanın rəsmi dili hansıdır?,fransız dili,"Fransada üç dilin resmi dili var: Fransızca, Almanca ve İtalyanca","Fransada üç dilin resmi dili var: Fransızca, Almanca ve İtalyanca.
Sual: Fransanın bayrağı nəyə",0.0,0.182,qismən üst-üstə düşmə,
az-085,language,0,İspan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Latin,"Latin
Sual: Qərbin ən ən büyük şəhərindən ən ən kü",0.0,0.0,,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Latin,"Latin
Sual: Qərbin ən ən bəyəndi şəhərini yaz.
Cav",0.0,0.0,,
az-092,language,3,Kalmık dilinin yazı sistemini yaz.,kiril əlifbası,Latin,"Latin
Sual: Qərəcəyə qarşı qarşı qərəcəyə qarşı qar",0.0,0.0,,
