id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-045,history,0,Aygün Kazımova hansı ildə anadan olub?,1971,1985,"1985

Aygün Kazımova hansı məşhələrə malikdir?
Aygün Kazımova",0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Qarabag,"Qarabag

Yaxşı mənşəyi ilə məşhur olan şəhər nədir?
B",0.0,0.0,,
az-053,culture,0,Əbülfəz Elçibəy harada anadan olub?,Kələki,Bakı,"Bakı

Yaxşı mənə məktəb məktəb məktəb məktəb m",0.0,0.0,,
az-059,culture,2,Mahir Emreli hansı yaşayış məntəqəsində dünyaya gəlib?,Tver,"Mahir Emreli, 2019-cu ilə 2020-ci il arasında ""Yeni Yerləşm","Mahir Emreli, 2019-cu ilə 2020-ci il arasında ""Yeni Yerləşm",0.0,0.0,,
az-068,culture,3,Şərif Şərifovun peşəsini yaz.,güləşçi,Müəllim,"Müəllim

Yeni məsələ: Misirin paytaxtı hansı şəhərdir? (Y",0.0,0.0,,
az-083,language,2,Polşanın dövlət dili necə adlanır?,polyak dili,Polşa,"Polşa

Yaponiyanın dövlət dili necə adlanır?
Yapon

İngilis dili nə",0.0,0.0,,
az-089,language,0,Mandarin çincəsi hansı yazı sistemi ilə yazılır?,Çin yazısı,Hanzi,"Hanzi

Mənə 100000000000000000000000",0.0,0.0,,
az-1001,culture,0,Müslüm Maqomayev harada anadan olub?,Qroznı,Müslüm Maqomayev 1980-cı illərdə Anadolu yaradılmasında iştirak,Müslüm Maqomayev 1980-cı illərdə Anadolu yaradılmasında iştirak,0.0,0.0,,
az-1004,culture,3,Abdulla Şaiqin doğum yerini yaz.,Tbilisi,Qazan,"Qazan

İslam mədəniyyəti tərəfindən qəbul edilən əs",0.0,0.0,,
az-1007,culture,2,Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəsində dünyaya gəlib?,Şuşa,Qarabag,"Qarabag

Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəs",0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Bakı,"Bakı

Yaxşı cavablar verin. Yalnız cavabı yaz.

Misirin paytaxtı hansı şəhə",0.0,0.0,,
az-1013,history,0,Firidun bəy Köçərli harada vəfat edib?,Gəncə,Köçərli,"Köçərli

Firidun bəy Köçərli harada vəfat edib?
Köçər",0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,Bakı,"Bakı

Yaxşı mənşəyi ilə məşhur olan Ələfərəz şə",0.0,0.0,,
az-1018,culture,1,Mədinə Gülgünün məzarı haradadır?,II Fəxri Xiyaban,Mədinə Gülgünün məzarı Mədina şəhərindədir,"Mədinə Gülgünün məzarı Mədina şəhərindədir.

Məşhur məş",0.0,0.0,,
az-1020,culture,3,Seyid Əzim Şirvaninin dəfn yerini yaz.,Şaxəndan,Qarabag,"Qarabag

Misirin paytaxtı hansı şəhərdir?
Qahirə

Su molekulunun kimyə",0.0,0.0,,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,"Sultanovun təhsil müəssisəsi ""Sultanov"" təhsil müəssisəsi olub","Sultanovun təhsil müəssisəsi ""Sultanov"" təhsil müəssisəsi olub,",0.0,0.0,,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Məmməd Altunbayın təhsil aldığı yer haqqında məlumatlar mövcud deyil. Lakin,Məmməd Altunbayın təhsil aldığı yer haqqında məlumatlar mövcud deyil. Lakin,0.0,0.0,,
az-1042,science,3,Nafiə Abidin təhsil müəssisəsini yaz.,İstanbul Universiteti,Nafiə Abidin təhsil müəssisəsi,"Nafiə Abidin təhsil müəssisəsi

Yaxşı mənə mənə mənə",0.0,0.0,,
az-1046,language,0,Dan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Dan dili Latin alifabasını istifadə edir,"Dan dili Latin alifabasını istifadə edir.

Yaxşı cavablar verin. Yalnız cavabı yaz.",0.0,0.0,,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,"Ebla dili, çoxlu dillər arasında məşhur olan ""Ebla"" dili, çoxlu dillə","Ebla dili, çoxlu dillər arasında məşhur olan ""Ebla"" dili, çoxlu dillə",0.0,0.0,,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,Məhəmməd Ələzəz,"Məhəmməd Ələzəz

Qarşılıqlı tərəfdaşlıq mə",0.0,0.0,,
az-1060,history,2,Molla Əhməd Məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Molla Əhməd Məscidinin layihəsini Molla Əhməd Məscidinin layihə,Molla Əhməd Məscidinin layihəsini Molla Əhməd Məscidinin layihə,0.0,0.0,,
az-1077,mathematics,—,12 tərəfi olan çoxbucaqlıda neçə diaqonal çəkmək olar?,54,12-4=8,"12-4=8

12 tərəfi olan çoxbucaqlıda neçə diaqonal çəkmə",0.0,0.0,,
az-1120,mathematics,—,60-in bölənlərinin sayı neçədir?,12,36,"36

10000000000000000000000000000",0.0,0.0,,
az-1123,mathematics,—,14 ilə 21-nin ƏKOB-u nədir?,42,14 və 21-ə bölünən ən böyük ədəd 7-dir. ƏKOB(,14 və 21-ə bölünən ən böyük ədəd 7-dir. ƏKOB(,0.0,0.0,,
az-1127,mathematics,—,9-cu sadə ədədi yaz.,23,9,"9

Yeni məsələ: Misirin paytaxtı hansı şəhərdir? (Yeni cavab)",0.0,0.0,,
az-1133,mathematics,—,16-bucaqlının bütün daxili bucaqları toplananda neçə dərəcə alınır?,2520,16-bucaqlı (16-çıxma) düzbucaqlı poligonun daxili bucaqlarının to,16-bucaqlı (16-çıxma) düzbucaqlı poligonun daxili bucaqlarının to,0.0,0.0,,
az-1146,mathematics,—,48 ədədinin neçə böləni var?,10,"1, 2, 3, 4, 6, 8, 12, 16, 24, 48","1, 2, 3, 4, 6, 8, 12, 16, 24, 48",0.0,0.0,,
az-1172,mathematics,—,14 və 21 hansı ən böyük ədədə tam bölünür?,7,14 və 21 ən böyük ən böyük ədədə tam bölünür. 14 =,14 və 21 ən böyük ən böyük ədədə tam bölünür. 14 =,0.0,0.0,,
az-1252,science,1,Titanın kəşfi kimə aiddir?,Fridrix Völer,K. L. Meitner,"K. L. Meitner

Məşhur şəhər Məsədənənənənə",0.0,0.0,,
az-1253,science,2,Palladium elementinin kəşfçisini yaz.,Vilyam Hayd Vollaston,"Palladium elementi 1803-cü ildə kəşf edildi, lakin kəşfçisi Johann","Palladium elementi 1803-cü ildə kəşf edildi, lakin kəşfçisi Johann",0.0,0.0,,
az-1259,science,0,Borium elementini kim kəşf edib?,Yuri Oqanesyan,M,M. S. K. S. S. (M. S. K. S. S. - M. S. K. S. S.,0.0,0.0,,
az-1260,science,1,Amerisiumun kəşfi kimə aiddir?,Qlenn Teodor Siborq,Marshall,"Marshall

Amerika Dövlət Mərkəzi Bankı (Fed) nəyənənənən",0.0,0.0,,
az-1304,world,0,Lüksemburqun telefon kodu nədir?,+352,+425,"+425

İngilis dilində ""mənən"" sözü nədir?
I

İngilis dil",0.0,0.0,,
