id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Şəhriyar Məmmədyarovun 1947 ildə 1923 ildə 192,Şəhriyar Məmmədyarovun 1947 ildə 1923 ildə 192,0.0,0.0,,
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,Toğrul Əsgərov 1963-yə qədər 1963 ildə 19,Toğrul Əsgərov 1963-yə qədər 1963 ildə 19,0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Radik İsayevin doğum yerini 1939-1940 ildə 1940 ildə 19,Radik İsayevin doğum yerini 1939-1940 ildə 1940 ildə 19,0.0,0.0,,
az-061,culture,0,İlham Əliyevin peşəsi nədir?,siyasətçi,Ilham Əliyevin peşəsi — 1920-1921 ildə 1920-,Ilham Əliyevin peşəsi — 1920-1921 ildə 1920-,0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,"Samirə Əfəndi, 1930-yə qədər 1928-1930","Samirə Əfəndi, 1930-yə qədər 1928-1930",0.0,0.0,,
az-069,culture,0,Hidayət Heydərovun peşəsi nədir?,cüdoçu,Hidayət Heydərovun peşəsi — 1997-2000 წელთან,Hidayət Heydərovun peşəsi — 1997-2000 წელთან,0.0,0.0,,
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Mahir Emrelinin əsas fəaliyyəti 1920-1930 ildən 1,Mahir Emrelinin əsas fəaliyyəti 1920-1930 ildən 1,0.0,0.0,,
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,Almaniyada rəsmi dildir 1.  Almanca 2.  რიმანის ე,Almaniyada rəsmi dildir 1.  Almanca 2.  რიმანის ე,0.0,0.0,,
az-082,language,1,Birləşmiş Krallıqda hansı dil rəsmi dildir?,ingilis dili,Birləşmiş Krallıqda rəsmi dildir ინგლისური,Birləşmiş Krallıqda rəsmi dildir ინგლისური.,0.0,0.0,,
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Rus dili üçün 24 təqvimli yazı sistemindən istifadə olunur,Rus dili üçün 24 təqvimli yazı sistemindən istifadə olunur.,0.0,0.0,,
az-094,language,1,Avadhi üçün hansı yazı sistemindən istifadə olunur?,Devanagari,Avadhi üçün მართლმეტრიანი ანბანი იყენე,Avadhi üçün მართლმეტრიანი ანბანი იყენე,0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Yuxarı Gövhərağa məscidin memarının adını yaz,Yuxarı Gövhərağa məscidin memarının adını yaz.,0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,Gəncə quberniyasının yarandığı ili 1923-1924 ildən 192,Gəncə quberniyasının yarandığı ili 1923-1924 ildən 192,0.0,0.0,,
az-1008,culture,3,Süleyman Rüstəmin doğum yerini yaz.,Novxanı,Süleyman Rüstəm Əliyev (1903-1984) — 1948-1,Süleyman Rüstəm Əliyev (1903-1984) — 1948-1,0.0,0.0,,
az-1009,history,0,Müslüm Maqomayev harada vəfat edib?,Nalçik,Müslüm Maqomayev 1937-2013 წელს მის მეტ,Müslüm Maqomayev 1937-2013 წელს მის მეტ,0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Əbdülqadir Marağayi 1922-ci ildə 1922 წელ,Cavab: Əbdülqadir Marağayi 1922-ci ildə 1922 წელ,0.0,0.0,,
