id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-037,history,0,İlham Əliyev hansı ildə anadan olub?,1961,1960年,1960年,0.0,0.0,,
az-057,culture,0,Rüstəm Orucov harada anadan olub?,İrkutsk,İran,Cavab: İran.,0.0,0.0,,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,İstanbul,İstanbul,0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Müəllim,Cavab: Müəllim.,0.0,0.0,,
az-079,language,2,Çinin dövlət dili necə adlanır?,Putonqhua,Çin dili,Cavab: Çin dili,0.0,0.0,,
az-081,language,0,İspaniyanın rəsmi dili hansıdır?,ispan dili,İspanca,Cavab: İspanca,0.0,0.0,,
az-088,language,3,Norveç dilinin yazı sistemini yaz.,latın əlifbası,Rumani,Rumani.,0.0,0.0,,
az-099,history,2,Bibiheybət məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,İsmail İşkəndər,Cavab: İsmail İşkəndər.,0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1938,1938.,0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Müəlləm,Cavab: Müəlləm.,0.0,0.0,,
az-1033,language,0,Qətran Təbrizi hansı dildə yazıb?,fars dili,Türkçə,Cavab: Türkçə,0.0,0.0,,
az-1036,science,1,Müslüm Maqomayev hansı təhsil müəssisəsini bitirib?,Zaqafqaziya Müəllimlər Seminariyası,İslam təhsili,Cavab: İslam təhsili.,0.0,0.0,,
az-1040,science,1,Altay Yusifoğlu hansı təhsil müəssisəsini bitirib?,Gəncə Dövlət Universiteti,İstanbul Teknik Üniversiteti,İstanbul Teknik Üniversiteti,0.0,0.0,,
az-1054,history,0,Gövhər ağa məscidinin memarı kimdir?,Kərbəlayı Səfixan Qarabaği,İsməəль əl-İnəər,Cavab: İsməəль əl-İnəər.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,İ. �əhəd оглы,Cavab: İ. �əhəd оглы.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1058,history,0,Yusif Küseyir oğlu türbəsinin memarı kimdir?,Əcəmi Naxçıvani,İsmələд-Дин,Cavab: İsmələд-Дин.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,İslam İrələ (İslam İrələ),Cavab: İslam İrələ (İslam İrələ),0.0,0.0,,
az-1060,history,2,Molla Əhməd Məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,İbn Ənər Примечания. 1,Cavab: İbn Ənər Примечания. 1.,0.0,0.286,"kiril, zəncir bərpa etmir",
az-1073,mathematics,—,30 və 42 ədədlərinin ən kiçik ortaq bölünəni neçədir?,210,14,14,0.0,0.0,,
az-1079,mathematics,—,32 ədədindən sonra gələn ilk sadə ədəd nədir?,37,33,33,0.0,0.0,,
az-1162,mathematics,—,20-ci sadə ədədi yaz.,71,20,20,0.0,0.0,,
az-1168,mathematics,—,20-bucaqlının diaqonallarının sayı neçədir?,170,10,10,0.0,0.0,,
az-1170,mathematics,—,128-dən böyük sadə ədədlərin ən kiçiyi neçədir?,131,173,173,0.0,0.0,,
az-1172,mathematics,—,14 və 21 hansı ən böyük ədədə tam bölünür?,7,14 və 21 ən böyük ədədə tam bölünür — 28,14 və 21 ən böyük ədədə tam bölünür — **28**.,0.0,0.0,,
az-1183,mathematics,—,Daxili bucaqlarının cəmini tap: 20-bucaq.,3240,1800⁰,1800⁰,0.0,0.0,,
az-1196,science,1,Dövri cədvəldə Titan hansı nömrə ilə durur?,22,18,Cavab: 18.,0.0,0.0,,
az-1207,science,0,Qallium elementinin atom nömrəsi neçədir?,31,18,18,0.0,0.0,,
az-1212,science,1,Dövri cədvəldə Selen hansı nömrə ilə durur?,34,16,16,0.0,0.0,,
az-1250,science,3,Hansı alim fosfor elementini kəşf etmişdir?,Henniq Brand,Пётр Вильгельм Гёте (Peter Wilhelm Gustav Heinrich Richter) — 1771 — 18,Cavab: Пётр Вильгельм Гёте (Peter Wilhelm Gustav Heinrich Richter) — 1771 — 18,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1251,science,0,Xlor elementini kim kəşf edib?,Karl Vilhelm Şeyele,Менд́елье́в,Cavab: Менд́елье́в,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1293,world,1,Banqladeşdə beynəlxalq telefon kodu hansıdır?,+880,+90,+90,0.0,0.0,,
az-1302,world,2,Keniyanın beynəlxalq telefon kodunu yaz.,+254,+233,+233,0.0,0.0,,
az-1305,world,1,Suriyada beynəlxalq telefon kodu hansıdır?,+963,+962,+962,0.0,0.0,,
az-1308,world,0,Liviyanın telefon kodu nədir?,+218,+27,+27,0.0,0.0,,
az-1319,world,3,Hansı telefon kodu Şimali Makedoniyanın aiddir?,+389,+359,+359,0.0,0.0,,
az-1335,mathematics,—,46913 sayının rəqəmlərini toplasaq nə alınar?,23,13,13,0.0,0.0,,
az-1345,mathematics,—,Rəqəmlərinin cəmini tap: 12345.,15,12345,12345,0.0,0.0,,
az-1346,mathematics,—,Fərqli sadə bölənlərin sayını tap: 1155.,4,1155,1155.,0.0,0.0,,
az-1347,mathematics,—,Üçbucağın üçüncü bucağını tap: 32 dərəcə və 88 dərəcə.,60,180 - 32 - 88 = 60,180 - 32 - 88 = 60.,0.0,0.4,qismən üst-üstə düşmə,
az-135,culture,1,Habil Əliyevin ifa etdiyi alət hansıdır?,kamança,Żərə,Cavab: **Żərə**,0.0,0.0,,
az-1402,mathematics,—,2 ədədinin 15-ci qüvvəti neçədir?,32768,215 = 32768,215 = 32768,0.0,0.667,qismən üst-üstə düşmə,
az-1408,mathematics,—,10 ilə 20 arasındakı bütün tam ədədlərin cəmi neçədir (hər ikisi daxil olmaqla)?,165,100,100,0.0,0.0,,
az-1410,mathematics,—,100 sayının 7 sayına bölünməsindən alınan qalıq nədir?,2,3,3,0.0,0.0,,
az-1442,geography,2,Anqolanın paytaxtının adı nədir?,Luanda,Reyкиn,Cavab: Reyкиn.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1443,geography,3,Monqolustanın paytaxtını yaz.,Ulan-Bator,Бухара,Бухара,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1460,geography,0,Zambiyanın paytaxtı hansı şəhərdir?,Lusaka,Луанга (Luanda),Cavab: Луанга (Luanda),0.0,0.0,"kiril, zəncir bərpa etmir",
az-1476,geography,0,Kosta-Rikanın paytaxtı hansı şəhərdir?,San-Xose,Сан-Хуан,Сан-Хуан.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1478,geography,2,Qambiyanın paytaxtının adı nədir?,Banjul,Мангул Примечания,"Cavab: Мангул Примечания.  
İzahat: Qambiya (Mangala) paytaxtı Mangul (Mang",0.0,0.0,"kiril, zəncir bərpa etmir",
az-1491,geography,3,Maldiv adalarının paytaxtını yaz.,Male,Ма́лді́в (Ма́лді́в) — қа́лə́н �,Cavab: Ма́лді́в (Ма́лді́в) — қа́лə́н �,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1498,geography,2,Kosovonun paytaxtının adı nədir?,Priştina,Prishtina,Prishtina,0.0,0.0,,
az-1505,geography,1,Hansı şəhər Dominikan Respublikasının paytaxtıdır?,Santo-Dominqo,Sahin,Sahin.,0.0,0.0,,
az-1510,geography,2,Naurunun paytaxtının adı nədir?,Yaren,Naurunun paytaxtı — Żərət,Naurunun paytaxtı — **Żərət**.,0.0,0.0,,
az-1519,geography,3,Qrenadanın paytaxtını yaz.,Sent Corces,İstanbül,Cavab: İstanbül,0.0,0.0,,
az-1534,geography,2,Danimarka krallığının paytaxtının adı nədir?,Kopenhagen,København,Cavab: København,0.0,0.0,,
az-1548,geography,0,Şimali Kiprin pul vahidi nədir?,Türk lirəsi,Şərхи,Cavab: Şərхи.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1550,language,0,Anqolanın rəsmi dili hansıdır?,portuqal dili,Türkçə,Cavab: Türkçə,0.0,0.0,,
az-1551,language,1,Monakoda hansı dil rəsmi dildir?,fransız dili,Türkçə,Cavab: Türkçə,0.0,0.0,,
az-1557,language,3,Tacikistanın rəsmi dilini yaz.,tacik dili,Türkmen,Cavab: Türkmen.,0.0,0.0,,
az-1558,language,0,Butanın rəsmi dili hansıdır?,Dzonqxa,Türkmen,Cavab: Türkmen.,0.0,0.0,,
az-1559,language,1,Türkmənistanda hansı dil rəsmi dildir?,türkmən dili,Türkmen 🇩,Cavab: Türkmen 🇩,0.0,0.0,,
az-1565,science,3,Samarium elementində neçə proton var?,62,67,Cavab: 67,0.0,0.0,,
az-1591,science,1,Dövri cədvəldə Livermorium hansı nömrə ilə durur?,116,13,13.,0.0,0.0,,
az-1593,science,3,Flörovium elementində neçə proton var?,114,106,106,0.0,0.0,,
az-529,geography,—,Muğan düzü hansı çaylar arasindadir?,Kür və Araz,Çaylar arası — Çaylar arası — Çaylar arası — Çaylar arası — Çaylar ar,Cavab: Çaylar arası — Çaylar arası — Çaylar arası — Çaylar arası — Çaylar ar,0.0,0.0,,
az-541,science,—,Qazil neft harada yaranir?,Yer qabiginda,Çağatay (Çağatay),Cavab: Çağatay (Çağatay),0.0,0.0,,
az-562,science,—,İnsan bədəninin temperaturu neçədir?,36.6 °C,"36,6°C (normal temperatur)","36,6°C (normal temperatur)",0.0,0.75,qismən üst-üstə düşmə,
az-588,culture,—,Fikrət Əmirov hansı əsərin müəllifidir?,Babək,Çəkər,"Cavab: ""Çəkər""",0.0,0.0,,
az-604,culture,—,Plov Azərbaycan mətbəxində neçə növ olur?,30-dan çox,3,3,0.0,0.0,,
az-609,culture,—,Azərbaycanda çay məclisləri nə vaxt olur?,Hər gün,Azərbaycanda çay məclisləri şübhənə və əvvələnə,Azərbaycanda çay məclisləri **şübhənə və əvvələnə**,0.0,0.0,,
az-617,culture,—,Azərbaycanda ilk rəssam kimdir?,Mir Möhsun Nəvvab,İsmail Гəzəл оглы (İsmail Гəзəл оглы),Cavab: İsmail Гəzəл оглы (İsmail Гəзəл оглы),0.0,0.0,"kiril, zəncir bərpa etmir",
az-623,language,—,Azərbaycan ədəbi dilin əsası hansı ləhqədir?,Bakıda ləhqəsi,Türkü,Cavab: Türkü.,0.0,0.0,,
az-624,language,—,Azərbaycan dilində neçə ləhqə var?,4 əsas ləhqə,12,12,0.0,0.0,,
az-626,language,—,Azərbaycan dilində isim nədir?,Ad bildirən söz,Azərbaycan dili,Azərbaycan dili.,0.0,0.0,,
az-654,language,—,Azərbaycan dilində şəxs şəkilçiləri neçədir?,6 şəxs,10,10,0.0,0.0,,
az-659,culture,—,Azərbaycan Olimpiya Oyunlarinda neçə medal qazanıb?,57 medal,Azərbaycan Olimpiya Oyunlarında 2020-2022-ci illərə qədə,Azərbaycan Olimpiya Oyunlarında 2020-2022-ci illərə qədə,0.0,0.0,,
az-660,culture,—,Azərbaycanın ilk Olimpiya medalı hansı idmançı qazanıb?,Namiq Abdullayev,Şəhər,Cavab: Şəhər.,0.0,0.0,,
az-663,culture,—,Azərbaycanın ilk Olimpiya qizil medalini kim qazanıb?,Zemfira Meftahətdinova,Şərəфəт əliyev,Cavab: Şərəфəт əliyev,0.0,0.0,"kiril, zəncir bərpa etmir",
az-670,culture,—,Sakit Məmmədov hansı sahədə taninib?,Təsviri sənət,"Şəxsiyyət, adət, ədəb","Cavab: Şəxsiyyət, adət, ədəb.",0.0,0.0,,
az-673,culture,—,Azərbaycan Dövlət Rəsm Qalereyası haradadır?,Bakıda,Azərbaycan Dövlət Rəsm Qalereyası — Azərbaycan Milli Müşərrif,Azərbaycan Dövlət Rəsm Qalereyası — **Azərbaycan Milli Müşərrif,0.0,0.0,,
az-682,world,—,Yaponiyanın paytaxtı haradadır?,Tokio,Tokyo,Tokyo,0.0,0.0,,
az-699,world,—,ABŞ-da hansı pul vahidindən istifadə olunur?,Dollar,Dinar,Cavab: Dinar.,0.0,0.0,,
az-705,world,—,Hindistanda hansı pul vahidindən istifadə olunur?,Rupi,Rupee,Rupee,1.0,0.0,diakritika,
az-706,world,—,Çında hansı pul vahidindən istifadə olunur?,Yuan,Çınadən 1000 çınadən 1 çınadən 100 çın,Cavab: Çınadən 1000 çınadən 1 çınadən 100 çın,0.0,0.0,,
az-709,world,—,Dünyada ən kiçik ölkə hansıdır?,Vatikan,Мальдивские острова (Мальдивы),Cavab: Мальдивские острова (Мальдивы),0.0,0.0,"kiril, zəncir bərpa etmir",
az-712,world,—,Dünyada ən uzun çay hansıdır?,Nil,Амазонка,Cavab: Амазонка,0.0,0.0,"kiril, zəncir bərpa etmir",
az-715,world,—,Avropa qitəsində neçə ölkə var?,44 ölkə,27,27,0.0,0.0,,
az-718,world,—,Amerika qitəsində neçə ölkə var?,35 ölkə,50,50,0.0,0.0,,
az-719,world,—,Avstraliya qitəsində neçə ölkə var?,14 ölkə,15,15,0.0,0.0,,
az-803,history,—,Babək Xürrəmilər hərəkatına nə vaxt başçılıq etməyə başlayıb?,816-cı ildə,1918-1919年,1918-1919年,0.0,0.0,,
az-817,history,—,11-ci Qırmızı Ordu Bakıya nə vaxt daxil olub?,27 aprel 1920,2009-2010 əllər,2009-2010 əllər.,0.0,0.0,,
az-819,history,—,Azərbaycan müstəqilliyini nə vaxt bərpa etmişdir?,1991-ci ildə,1991年12月31日。,1991年12月31日。,0.0,0.0,,
az-925,mathematics,—,Alqoritm sözü hansı alimin adından yaranmışdır?,Əl-Xarəzmi,İbn-İnşə (İbn-İnşə),Cavab: İbn-İnşə (İbn-İnşə),0.0,0.0,,
az-947,geography,2,Serbiyanın rəsmi valyutası necə adlanır?,Serb dinarı,Евро,Евро,0.0,0.0,"kiril, zəncir bərpa etmir",
az-954,science,1,Kimyada Qalay hansı simvolla işarə olunur?,Sn,Ga,Cavab: **Ga**,0.0,0.0,,
az-956,science,3,Civə elementinin simvolunu yaz.,Hg,Ne,Cavab: **Ne**,0.0,0.0,,
az-968,history,3,Tofiq Bəhramovun anadan olduğu ili yaz.,1925,1908,1908,0.0,0.0,,
az-975,culture,2,Mirzə Xəzər hansı yaşayış məntəqəsində dünyaya gəlib?,Göyçay,Çıxış məntəqəsində,Cavab: Çıxış məntəqəsində.,0.0,0.0,,
az-985,language,0,Misirin rəsmi dili hansıdır?,ərəb dili,Arabça,Arabça,0.0,0.0,,
az-998,history,1,Şirvanşahlar neçənci ildə təsis edilib?,861,1699,1699,0.0,0.0,,
az-999,history,2,Eldənizlərin yaranma ili hansıdır?,1136,1917年,1917年,0.0,0.0,,
