id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-018,geography,1,Çində hansı pul vahidi işlənir?,Çin yuanı,Ruan,Ruan,0.0,0.0,,
az-020,geography,3,Avstraliyanın pul vahidinin adını yaz.,Avstraliya dolları,Avstraliya dolları (AUD),Avstraliya dolları (AUD),0.0,0.8,qismən üst-üstə düşmə,
az-031,science,2,Karbonun kimyəvi işarəsi nədir?,C,C₂,C₂,0.0,0.0,,
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,1933,1933,0.0,0.0,,
az-046,history,1,Səfurə Əlizadə neçənci ildə doğulub?,1992,1983,1983,0.0,0.0,,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,1966,1966,0.0,0.0,,
az-072,culture,3,Zemfira Meftahətdinovanın peşəsini yaz.,atıcı,Aktyor,Aktyor,0.0,0.0,,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japoniya,Japoniya,0.0,0.0,,
az-083,language,2,Polşanın dövlət dili necə adlanır?,polyak dili,Poşça,Poşça,0.0,0.0,,
az-085,language,0,İspan dili hansı yazı sistemi ilə yazılır?,latın əlifbası,Latın,Latın,0.0,0.667,qismən üst-üstə düşmə,
az-089,language,0,Mandarin çincəsi hansı yazı sistemi ilə yazılır?,Çin yazısı,Hanyu,Hanyu,0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Məscid-i Məhərrəf,Məscid-i Məhərrəf,0.0,0.0,,
az-1005,culture,0,Əbdülqadir Marağayi harada anadan olub?,Marağa,Qahirə,Qahirə,0.0,0.0,,
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Təbriz,Təbriz,0.0,0.0,,
az-101,history,0,Azərbaycan Dövlət Kukla Teatrının memarı kimdir?,İosif Ploşko,İvan İvanov,İvan İvanov,0.0,0.0,,
az-1014,history,1,Gödək Əhmədin vəfat etdiyi yer haradır?,İsfahan,Məramə,Məramə,0.0,0.0,,
az-1026,culture,1,Cəmil Əmirov nə ilə məşğul olub?,musiqiçi,Tərcümə,Tərcümə,0.0,0.0,,
az-1035,science,0,Mikayıl Müşfiq harada təhsil alıb?,Bakı Dövlət Universiteti,Şəmkir,Şəmkir,0.0,0.0,,
az-1052,language,2,Əfşar dilinin yazı sistemi hansıdır?,fars əlifbası,Farsi,Farsi,0.0,0.0,,
az-1055,history,1,Müqəddəs Bakirə Məryəmin Məsum Hamiləliyi kilsəsi kimin layihəsidir?,İosif Ploşko,Məryəmin Məsum Hamiləliyi,Məryəmin Məsum Hamiləliyi,0.0,0.0,,
az-1059,history,1,Azad qadın heykəli kimin layihəsidir?,Mikayıl Hüseynov,Statü,Statü,0.0,0.0,,
az-1061,history,3,Jen Mironosets Baş Kafedral kilsəsinin memarının adını yaz.,Fyodor Verjbitski,Jen Mironosets,Jen Mironosets,0.0,0.0,,
az-1063,geography,1,Oxçuçayın mənsəbi haradır?,Araz,Qafiq,Qafiq,0.0,0.0,,
az-1069,mathematics,—,6-cı sadə ədəd hansıdır?,13,6,6,0.0,0.0,,
az-1089,mathematics,—,14-dən sonrakı sadə ədədi tap.,17,15,15,0.0,0.0,,
az-1138,mathematics,—,"Birdən 30-ə kimi bütün natural ədədləri toplasaq, neçə alınar?",465,486,486,0.0,0.0,,
az-1146,mathematics,—,48 ədədinin neçə böləni var?,10,24,24,0.0,0.0,,
az-1150,mathematics,—,196 ədədinin kvadrat kökü neçədir?,14,141,141,0.0,0.0,,
az-1168,mathematics,—,20-bucaqlının diaqonallarının sayı neçədir?,170,3,3,0.0,0.0,,
