id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-040,history,3,Şəhriyar Məmmədyarovun anadan olduğu ili yaz.,1985,Şəhriyar M,"Sual: Şəhriyar Məmmədyarovun anadan olduğu ili yaz.  
Cavab: Şəhriyar M",0.0,0.0,,
az-043,history,2,Teymur Rəcəbovun doğum ili hansıdır?,1987,1990. ilə,"Sual: Teymur Rəcəbovun doğum ili hansıdır?  
Cavab: 1990. ilə.",0.0,0.0,,
az-052,culture,3,Şəhriyar Məmmədyarovun doğum yerini yaz.,Sumqayıt,Şəhriyar Mə,"Sual: Şəhriyar Məmmədyarovun doğum yerini yaz.  
Cavab: Şəhriyar Mə",0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Samirə,"Sual: Samirə Əfəndi hansı peşə ilə tanınır?  
Cavab: Samirə",0.0,0.0,,
az-075,language,2,Rusiyanın dövlət dili necə adlanır?,rus dili,Rusça,"Sual: Rusiyanın dövlət dili necə adlanır?  
Cavab: Rusça.  

**Iz",0.0,0.0,,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japoniyanın rəsmi dilı,"Sual: Yaponiyanın rəsmi dilini yaz.  
Cavab: Japoniyanın rəsmi dilı",0.0,0.0,,
az-079,language,2,Çinin dövlət dili necə adlanır?,Putonqhua,Çin dövlət dili,"Sual: Çinin dövlət dili necə adlanır?  
Cavab: Çin dövlət dili",0.0,0.0,,
az-089,language,0,Mandarin çincəsi hansı yazı sistemi ilə yazılır?,Çin yazısı,Çin hərələri,"Sual: Mandarin çincəsi hansı yazı sistemi ilə yazılır?  
Cavab: Çin hərələri",0.0,0.5,qismən üst-üstə düşmə,
az-096,language,3,Qədim türk dilinin yazı sistemini yaz.,Orxon əlifbası,Qədim türk dilinin yazı sistemi,"Sual: Qədim türk dilinin yazı sistemini yaz.  
Cavab: Qədim türk dilinin yazı sistemi",0.0,0.0,,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Mimar Sinan,"Sual: Yuxarı Gövhərağa məscidinin memarının adını yaz.  
Cavab: Mimar Sinan",0.0,0.0,,
az-1003,culture,2,Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya gəlib?,Zəviyəye-Sadat,Sual: Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya,Sual: Seyid Cəfər Pişəvəri hansı yaşayış məntəqəsində dünyaya,0.0,0.0,,
az-1012,history,3,Yusif Vəzir Çəmənzəminlinin vəfat yerini yaz.,Unjlaq,Yusif,"Sual: Yusif Vəzir Çəmənzəminlinin vəfat yerini yaz.  
Cavab: Yusif",0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,"Mirvarid Dilbazi, 1","Sual: Mirvarid Dilbazi harada dəfn olunub?  
Cavab: Mirvarid Dilbazi, 1",0.0,0.0,,
az-1025,culture,0,Asəf Zeynallının peşəsi nədir?,bəstəkar,Asəf Zeynallı,"Sual: Asəf Zeynallının peşəsi nədir?  
Cavab: Asəf Zeynallı",0.0,0.0,,
az-1032,culture,3,Əli Vəkilin fəaliyyət növünü yaz.,tərcüməçi,Əli Və,"Sual: Əli Vəkilin fəaliyyət növünü yaz.  
Cavab: Əli Və",0.0,0.0,,
az-1036,science,1,Müslüm Maqomayev hansı təhsil müəssisəsini bitirib?,Zaqafqaziya Müəllimlər Seminariyası,,"Sual: Müslüm Maqomayev hansı təhsil müəssisəsini bitirib?  
Cavab:",0.0,0.0,boş cavab,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Məmməd,"Sual: Məmməd Altunbayın təhsil aldığı yer haradır?  
Cavab: Məmməd",0.0,0.0,,
