id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-031,science,2,Karbonun kimyəvi işarəsi nədir?,C,C: C,C: C,0.0,0.667,qismən üst-üstə düşmə,
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,1934,1934,0.0,0.0,,
az-043,history,2,Teymur Rəcəbovun doğum ili hansıdır?,1987,1905,1905,0.0,0.0,,
az-044,history,3,Ayaz Mütəllibovun anadan olduğu ili yaz.,1938,1935,1935,0.0,0.0,,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Samirə Əfəndi müsəlman peşəsində tanınır,Samirə Əfəndi müsəlman peşəsində tanınır.,0.0,0.0,,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japonca,Cavab: Japonca,0.0,0.0,,
az-079,language,2,Çinin dövlət dili necə adlanır?,Putonqhua,Çin dili,Cavab: Çin dili,0.0,0.0,,
az-1000,history,3,Gəncə quberniyasının yarandığı ili yaz.,1867,1924,1924.,0.0,0.0,,
az-1007,culture,2,Yusif Vəzir Çəmənzəminli hansı yaşayış məntəqəsində dünyaya gəlib?,Şuşa,Əl-İzər məntəqəsində,Cavab: Əl-İzər məntəqəsində.,0.0,0.0,,
az-1013,history,0,Firidun bəy Köçərli harada vəfat edib?,Gəncə,İran,Cavab: İran,0.0,0.0,,
az-1017,culture,0,Mirvarid Dilbazi harada dəfn olunub?,Yasamal qəbiristanlığı,İranда,Cavab: İranда,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1019,culture,2,Ümgülsüm Sadıqzadə hansı yerdə torpağa tapşırılıb?,Şaxəndan,Məsələyə əsaslanan yer – Əl-İzər,Cavab: Məsələyə əsaslanan yer – Əl-İzər.,0.0,0.0,,
az-1024,culture,3,Məhəmməd Hadinin dəfn yerini yaz.,Səbiskar qəbiristanlığı,Məhəmməd Hadin dəfn edilən yer Məkədədir,Cavab: Məhəmməd Hadin dəfn edilən yer Məkədədir.,0.0,0.0,,
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,müəllim,Cavab: müəllim,0.0,0.0,,
az-1031,culture,2,Sabir Mustafayev hansı sahədə fəaliyyət göstərib?,tərcüməçi,Sabir Mustafayev təqdimat sahəsində fəaliyyət göstərib,Sabir Mustafayev təqdimat sahəsində fəaliyyət göstərib.,0.0,0.0,,
az-1033,language,0,Qətran Təbrizi hansı dildə yazıb?,fars dili,Arap dili,Cavab: Arap dili.,0.0,0.5,qismən üst-üstə düşmə,
az-1038,science,3,Eynəli bəy Sultanovun təhsil müəssisəsini yaz.,İrəvan kişi gimnaziyası,Eynəli Bəy Sultanovun təhsil müəssisəsi — Eynəli Bəy,Cavab: Eynəli Bəy Sultanovun təhsil müəssisəsi — Eynəli Bəy,0.0,0.0,,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Məmməd Altunbayın təhsil aldığı yer – Bakı,Cavab: Məmməd Altunbayın təhsil aldığı yer – Bakı.,0.0,0.0,,
