id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-043,history,2,Teymur Rəcəbovun doğum ili hansıdır?,1987,1974,1974,0.0,0.0,,
az-053,culture,0,Əbülfəz Elçibəy harada anadan olub?,Kələki,Naxçıvan,Naxçıvan,0.0,0.0,,
az-067,culture,2,Mariya Stadnikin əsas fəaliyyət sahəsi nədir?,güləşçi,Güləş,Güləş,0.0,0.0,,
az-079,language,2,Çinin dövlət dili necə adlanır?,Putonqhua,Mandarin,Mandarin,0.0,0.0,,
az-084,language,3,Ukraynanın rəsmi dilini yaz.,ukrain dili,Ukrayna dili,Ukrayna dili,0.0,0.667,qismən üst-üstə düşmə,
az-098,history,1,Təzəpir məscidi kimin layihəsidir?,Yevgeni Skibinski,Zivər bəy Əhmədbəyov,Zivər bəy Əhmədbəyov,0.0,0.0,,
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Bakı,Bakı,0.0,0.0,,
az-1015,history,2,Ümgülsüm Sadıqzadə hansı şəhərdə dünyasını dəyişib?,Şamaxı,Bakı,Bakı,0.0,0.0,,
az-1022,culture,1,Ceyhun bəy Hacıbəylinin məzarı haradadır?,Sen-Klu qəbiristanlığı,Nardaran qəbiristanlığı,Nardaran qəbiristanlığı,0.0,0.4,qismən üst-üstə düşmə,
az-1028,culture,3,Əjdər Ağayevin fəaliyyət növünü yaz.,pedaqoq,Şair,Şair,0.0,0.0,,
az-1037,science,2,Kəramət Böyükçölün təhsil aldığı yer haradır?,BDU Filologiya fakültəsi,Bakı Dövlət Universiteti,Bakı Dövlət Universiteti,0.0,0.0,,
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Bakı Dövlət Universiteti,Bakı Dövlət Universiteti,0.0,0.0,,
az-1050,language,0,Ebla dili hansı yazı sistemi ilə yazılır?,mixi yazı,Klin yazısı,Klin yazısı,0.0,0.5,qismən üst-üstə düşmə,
az-1053,language,3,Qədim Anadolu türkcəsinin yazı sistemini yaz.,Osmanlı əlifbası,Orxun əlifbası,Orxun əlifbası,0.0,0.5,qismən üst-üstə düşmə,
az-1056,history,2,Azadlıq prospekti metrostansiyasının layihəsini kim hazırlayıb?,Elbay Qasımzadə,Tofiq Əbdürrəhmanov,Tofiq Əbdürrəhmanov,0.0,0.0,,
az-1060,history,2,Molla Əhməd Məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Mimar Sinan,Mimar Sinan,0.0,0.0,,
az-1064,geography,2,Pirsaatçay hansı su hövzəsinə qovuşur?,Xəzər dənizi,Kür,Kür,0.0,0.0,,
az-1065,culture,0,«Növbədən qayıdanlar» əsərinin müəllifi kimdir?,Tahir Salahov,Cəlil Məmmədquluzadə,Cəlil Məmmədquluzadə,0.0,0.0,,
az-1247,science,0,Maqnezium elementini kim kəşf edib?,Cozef Blek,Deyivid,Deyivid,0.0,0.0,,
az-1248,science,1,Silisiumun kəşfi kimə aiddir?,Yens Yakov Bertselius,Yens Yakob Berzelius,Yens Yakob Berzelius,0.0,0.333,qismən üst-üstə düşmə,
az-1249,science,2,Kalium elementinin kəşfçisini yaz.,Hemfri Devi,Humphry Davy,Humphry Davy,0.0,0.0,,
az-1251,science,0,Xlor elementini kim kəşf edib?,Karl Vilhelm Şeyele,Karl Vilhelm Şele,Karl Vilhelm Şele,0.0,0.667,qismən üst-üstə düşmə,
az-1254,science,3,Hansı alim Molibden elementini kəşf etmişdir?,Karl Vilhelm Şeyele,Karl Vilhelm Şele,Karl Vilhelm Şele,0.0,0.667,qismən üst-üstə düşmə,
az-1255,science,0,Astat elementini kim kəşf edib?,Emilio Gino Segre,Emilio Segrè,Emilio Segrè,0.0,0.4,qismən üst-üstə düşmə,
az-1263,science,0,Ununseptium elementini kim kəşf edib?,Yuri Oqanesyan,Rusiya və ABŞ-nin elmi qrupları,Rusiya və ABŞ-nin elmi qrupları,0.0,0.0,,
az-1341,mathematics,—,"33 ədədindən 44 ədədinə qədər bütün tam ədədləri toplasaq, nə alınar (uc nöqtələr daxildir)?",462,693,693,0.0,0.0,,
az-1384,mathematics,—,Fərqli sadə bölənlərin sayını tap: 1729.,3,4,4,0.0,0.0,,
az-1418,mathematics,—,"26 ədədindən 39 ədədinə qədər bütün tam ədədləri toplasaq, nə alınar (uc nöqtələr daxildir)?",455,845,845,0.0,0.0,,
az-1420,mathematics,—,Qalığı hesabla: 555 ədədinin 14 ədədinə bölünməsi.,9,39.642857,39.642857,0.0,0.0,,
az-1450,geography,2,İordaniyanın paytaxtının adı nədir?,Amman,Əmman,Əmman,0.0,0.0,,
