id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type_auto,error_type
az-036,science,3,Kükürd elementinin simvolunu yaz.,S,S: Күкірт элементінің символын жаз,"S: Күкірт элементінің символын жаз.  
Ж: S",0.0,0.333,"kiril, zəncir bərpa etmir",
az-037,history,0,İlham Əliyev hansı ildə anadan olub?,1961,1970 жылы,1970 жылы,0.0,0.0,"kiril, zəncir bərpa etmir",
az-055,culture,2,Toğrul Əsgərov hansı yaşayış məntəqəsində dünyaya gəlib?,Gəncə,Тоғыл Әсқаров Қазақстанда туылған,Тоғыл Әсқаров Қазақстанда туылған.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-056,culture,3,Xetaq Qazyumovun doğum yerini yaz.,Alagir,Алматы,Алматы,0.0,0.0,"kiril, zəncir bərpa etmir",
az-061,culture,0,İlham Əliyevin peşəsi nədir?,siyasətçi,Илхам Әлиевтің пәні — музыка,Илхам Әлиевтің пәні — музыка.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Самире Афенді актриса ретінде танымал,Самире Афенді актриса ретінде танымал.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-071,culture,2,Mahir Emrelinin əsas fəaliyyət sahəsi nədir?,futbolçu,Махир Эмрелиннің негізгі қызмет саласы — музыка,Махир Эмрелиннің негізгі қызмет саласы — музыка.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-086,language,1,Rus dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,Кириллица,Кириллица,0.0,0.0,"kiril, zəncir bərpa etmir",
az-099,history,2,Bibiheybət məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Мұхаммед Бин Хайдер,Мұхаммед Бин Хайдер,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1006,culture,1,Qətran Təbrizinin doğulduğu yer haradır?,Şadbad-i Məşayiq,Тәбриз,Тәбриз,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1008,culture,3,Süleyman Rüstəmin doğum yerini yaz.,Novxanı,Сүлейман Рүстемнің туған жерін анықтау үшін тарихи,Сүлейман Рүстемнің туған жерін анықтау үшін тарихи,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1011,history,2,Əbdülqadir Marağayi hansı şəhərdə dünyasını dəyişib?,Herat,Алжир,Алжир,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1015,history,2,Ümgülsüm Sadıqzadə hansı şəhərdə dünyasını dəyişib?,Şamaxı,Сұрақ: Үмгүлсүм Садықзаде қай қалада дүниег,Сұрақ: Үмгүлсүм Садықзаде қай қалада дүниег,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1029,culture,0,Zeynalabdin İsgəndərovun peşəsi nədir?,heykəltaraş,Зейналабдин Исгандеров — күйші,Зейналабдин Исгандеров — күйші.,0.0,0.0,"kiril, zəncir bərpa etmir",
az-1041,science,2,Məmməd Altunbayın təhsil aldığı yer haradır?,Odessa Hərbi Akademiyası,Мемлекеттік университет,Мемлекеттік университет,0.0,0.0,"kiril, zəncir bərpa etmir",
